"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./intesection.ltl3tela.l3:1.1-62.7",,3,15,38,80,1,15,6,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0698495,3,15,38,80,1,15,6,1,0
"./intesection.ltl3tela.l3:63.1-103.7",,3,10,22,52,0,10,4,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.065901,3,10,22,52,0,10,4,1,0
"./intesection.ltl3tela.l3:104.1-205.7",,4,20,73,208,1,20,8,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0689148,4,20,73,208,1,20,8,1,0
"./intesection.ltl3tela.l3:206.1-325.7",,3,23,88,139,2,23,11,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0659105,3,23,88,139,2,23,11,1,0
"./intesection.ltl3tela.l3:326.1-419.7",,4,23,62,235,0,23,11,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0691104,4,23,62,235,0,23,11,1,0
"./intesection.ltl3tela.l3:420.1-481.7",,3,15,38,80,1,15,6,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0675798,3,15,38,80,1,15,6,1,0
"./intesection.ltl3tela.l3:482.1-491.7",,3,1,0,0,0,1,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0706761,3,1,0,0,0,1,0,0,0
"./intesection.ltl3tela.l3:492.1-701.7",,4,43,158,422,1,34,24,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0669027,4,43,158,422,1,34,24,1,0
"./intesection.ltl3tela.l3:702.1-742.7",,4,10,22,52,0,10,4,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0703333,4,10,22,52,0,10,4,1,0
"./intesection.ltl3tela.l3:743.1-752.7",,3,1,0,0,0,1,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0676381,3,1,0,0,0,1,0,0,0
"./intesection.ltl3tela.l3:753.1-1199.7",,4,100,338,1117,1,95,53,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0737361,4,100,338,1117,1,95,53,1,0
"./intesection.ltl3tela.l3:1200.1-1316.7",,4,20,88,208,1,14,8,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0628878,4,20,88,208,1,14,8,1,0
"./intesection.ltl3tela.l3:1317.1-1376.7",,4,15,36,128,1,15,6,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0679058,4,15,36,128,1,15,6,1,0
"./intesection.ltl3tela.l3:1377.1-1531.7",,4,34,112,379,0,34,20,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0683183,4,34,112,379,0,34,20,1,0
"./intesection.ltl3tela.l3:1532.1-1624.7",,3,26,58,86,0,26,11,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0670262,3,26,58,86,0,26,11,1,0
"./intesection.ltl3tela.l3:1625.1-1665.7",,3,10,22,52,0,10,4,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0700854,3,10,22,52,0,10,4,1,0
"./intesection.ltl3tela.l3:1666.1-1868.7",,4,41,153,433,1,41,31,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0668181,4,41,153,433,1,41,31,1,0
"./intesection.ltl3tela.l3:1869.1-2037.7",,4,41,119,366,1,41,17,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0732613,4,41,119,366,1,41,17,1,0
"./intesection.ltl3tela.l3:2038.1-2153.7",,4,26,81,294,1,26,11,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0695959,4,26,81,294,1,26,11,1,0
"./intesection.ltl3tela.l3:2154.1-2263.7",,3,26,75,147,1,26,11,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0709115,3,26,75,147,1,26,11,1,0
"./intesection.ltl3tela.l3:2264.1-2337.7",,3,18,47,105,1,18,7,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0665125,3,18,47,105,1,18,7,1,0
"./intesection.ltl3tela.l3:2338.1-2388.7",,3,12,30,67,0,12,5,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0718821,3,12,30,67,0,12,5,1,0
"./intesection.ltl3tela.l3:2389.1-2434.7",,3,11,26,58,0,11,5,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0673666,3,11,26,58,0,11,5,1,0
"./intesection.ltl3tela.l3:2435.1-2466.7",,3,8,15,31,0,8,3,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0741397,3,8,15,31,0,8,3,1,0
"./intesection.ltl3tela.l3:2467.1-2699.7",,3,51,173,287,2,51,27,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.06725,3,51,173,287,2,51,27,1,0
"./intesection.ltl3tela.l3:2700.1-3119.7",,4,80,331,908,2,80,43,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0708206,4,80,331,908,2,80,43,1,0
"./intesection.ltl3tela.l3:3120.1-3282.7",,4,38,116,404,1,38,17,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0721792,4,38,116,404,1,38,17,1,0
"./intesection.ltl3tela.l3:3283.1-3323.7",,3,10,22,52,0,10,4,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0669691,3,10,22,52,0,10,4,1,0
"./intesection.ltl3tela.l3:3324.1-3494.7",,3,39,123,212,2,35,23,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0688957,3,39,123,212,2,35,23,1,0
"./intesection.ltl3tela.l3:3495.1-3702.7",,3,53,146,268,1,53,19,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0657392,3,53,146,268,1,53,19,1,0
"./intesection.ltl3tela.l3:3703.1-3853.7",,4,34,108,296,1,30,14,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0728688,4,34,108,296,1,30,14,1,0
"./intesection.ltl3tela.l3:3854.1-3900.7",,3,11,27,59,0,11,5,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.06519,3,11,27,59,0,11,5,1,0
"./intesection.ltl3tela.l3:3901.1-3961.7",,3,14,38,90,1,14,6,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0675703,3,14,38,90,1,14,6,1,0
"./intesection.ltl3tela.l3:3962.1-4151.7",,4,31,151,397,2,26,18,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0682228,4,31,151,397,2,26,18,1,0
"./intesection.ltl3tela.l3:4152.1-4238.7",,3,20,58,104,1,20,8,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0722095,3,20,58,104,1,20,8,1,0
"./intesection.ltl3tela.l3:4239.1-4277.7",,3,10,20,34,0,10,4,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0655781,3,10,20,34,0,10,4,1,0
"./intesection.ltl3tela.l3:4278.1-4345.7",,3,15,44,84,1,15,7,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0733282,3,15,44,84,1,15,7,1,0
"./intesection.ltl3tela.l3:4346.1-4467.7",,4,31,82,291,1,31,13,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0673709,4,31,82,291,1,31,13,1,0
"./intesection.ltl3tela.l3:4468.1-4559.7",,4,21,62,200,1,21,9,1,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0713382,4,21,62,200,1,21,9,1,0
