"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./intesection.rab4.l2:1.1-85.7",,3,17,59,85,1,12,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0699853,3,17,59,85,1,12,0,0,0
"./intesection.rab4.l2:86.1-154.7",,3,14,46,72,0,10,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0655189,3,14,46,72,0,10,0,0,0
"./intesection.rab4.l2:155.1-304.7",,4,27,114,276,1,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0700256,4,27,114,276,1,19,0,0,0
"./intesection.rab4.l2:305.1-424.7",,4,24,87,219,0,18,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0669916,4,24,87,219,0,18,0,0,0
"./intesection.rab4.l2:425.1-509.7",,3,17,59,85,1,12,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0680718,3,17,59,85,1,12,0,0,0
"./intesection.rab4.l2:510.1-520.7",,3,1,0,0,0,1,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0648145,3,1,0,0,0,1,0,0,0
"./intesection.rab4.l2:521.1-589.7",,4,14,46,72,0,10,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0714763,4,14,46,72,0,10,0,0,0
"./intesection.rab4.l2:590.1-600.7",,3,1,0,0,0,1,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0665118,3,1,0,0,0,1,0,0,0
"./intesection.rab4.l2:601.1-996.7",,4,71,316,693,2,43,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0700685,4,71,316,693,2,43,0,0,0
"./intesection.rab4.l2:997.1-1208.7",,4,27,176,276,1,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0641796,4,27,176,276,1,11,0,0,0
"./intesection.rab4.l2:1209.1-1285.7",,4,16,52,130,1,12,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0718143,4,16,52,130,1,12,0,0,0
"./intesection.rab4.l2:1286.1-1438.7",,4,31,113,308,0,22,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0678953,4,31,113,308,0,22,0,0,0
"./intesection.rab4.l2:1439.1-1476.7",,3,11,18,33,0,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0693149,3,11,18,33,0,11,0,0,0
"./intesection.rab4.l2:1477.1-1545.7",,4,14,46,144,0,10,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0662664,4,14,46,144,0,10,0,0,0
"./intesection.rab4.l2:1546.1-1773.7",,4,39,180,333,1,23,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0707874,4,39,180,333,1,23,0,0,0
"./intesection.rab4.l2:1774.1-1889.7",,4,27,80,254,1,23,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0645839,4,27,80,254,1,23,0,0,0
"./intesection.rab4.l2:1890.1-2038.7",,4,27,113,280,1,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0693725,4,27,113,280,1,19,0,0,0
"./intesection.rab4.l2:2039.1-2184.7",,3,31,106,163,1,25,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0655547,3,31,106,163,1,25,0,0,0
"./intesection.rab4.l2:2185.1-2278.7",,3,19,66,100,1,14,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0677514,3,19,66,100,1,14,0,0,0
"./intesection.rab4.l2:2279.1-2355.7",,3,16,52,83,0,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0666622,3,16,52,83,0,11,0,0,0
"./intesection.rab4.l2:2356.1-2413.7",,3,12,37,60,0,8,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0690308,3,12,37,60,0,8,0,0,0
"./intesection.rab4.l2:2414.1-2443.7",,3,7,14,21,0,6,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0664506,3,7,14,21,0,6,0,0,0
"./intesection.rab4.l2:2444.1-2627.7",,4,35,140,334,1,28,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0716243,4,35,140,334,1,28,0,0,0
"./intesection.rab4.l2:2628.1-2696.7",,4,14,46,144,0,10,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0654052,4,14,46,144,0,10,0,0,0
"./intesection.rab4.l2:2697.1-2932.7",,3,51,176,237,1,43,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0674432,3,51,176,237,1,43,0,0,0
