"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./union.ltl2tgba.l2:1.1-97.7",,3,17,70,136,1,13,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0690551,3,17,70,136,1,13,0,0,0
"./union.ltl2tgba.l2:98.1-164.7",,3,12,45,96,0,9,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0630253,3,12,45,96,0,9,0,0,0
"./union.ltl2tgba.l2:165.1-320.7",,4,23,123,368,1,17,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.066525,4,23,123,368,1,17,0,0,0
"./union.ltl2tgba.l2:321.1-471.7",,3,25,116,200,2,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0615821,3,25,116,200,2,19,0,0,0
"./union.ltl2tgba.l2:472.1-654.7",,4,31,142,496,1,24,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0687266,4,31,142,496,1,24,0,0,0
"./union.ltl2tgba.l2:655.1-747.7",,3,16,67,128,1,12,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0706895,3,16,67,128,1,12,0,0,0
"./union.ltl2tgba.l2:748.1-814.7",,3,12,45,96,1,9,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0642893,3,12,45,96,1,9,0,0,0
"./union.ltl2tgba.l2:815.1-1362.7",,4,63,475,1008,1,26,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0684341,4,63,475,1008,1,26,0,0,0
"./union.ltl2tgba.l2:1363.1-1526.7",,4,23,131,368,1,17,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0683367,4,23,131,368,1,17,0,0,0
"./union.ltl2tgba.l2:1527.1-1593.7",,3,12,45,96,1,9,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0632455,3,12,45,96,1,9,0,0,0
"./union.ltl2tgba.l2:1594.1-2238.7",,4,95,540,1520,2,57,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0661733,4,95,540,1520,2,57,0,0,0
"./union.ltl2tgba.l2:2239.1-2441.7",,4,23,170,368,1,10,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0713609,4,23,170,368,1,10,0,0,0
"./union.ltl2tgba.l2:2442.1-2579.7",,4,25,103,400,1,18,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0668828,4,25,103,400,1,18,0,0,0
"./union.ltl2tgba.l2:2580.1-2818.7",,4,42,187,672,1,29,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0615342,4,42,187,672,1,29,0,0,0
"./union.ltl2tgba.l2:2819.1-2940.7",,3,24,88,192,1,21,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0678355,3,24,88,192,1,21,0,0,0
"./union.ltl2tgba.l2:2941.1-3007.7",,3,12,45,96,0,9,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0629152,3,12,45,96,0,9,0,0,0
"./union.ltl2tgba.l2:3008.1-3407.7",,4,56,334,896,1,33,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0666852,4,56,334,896,1,33,0,0,0
"./union.ltl2tgba.l2:3408.1-3622.7",,4,41,164,656,1,35,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0737461,4,41,164,656,1,35,0,0,0
"./union.ltl2tgba.l2:3623.1-3776.7",,4,25,119,400,1,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0671173,4,25,119,400,1,19,0,0,0
"./union.ltl2tgba.l2:3777.1-3908.7",,3,24,98,192,1,20,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0621559,3,24,98,192,1,20,0,0,0
"./union.ltl2tgba.l2:3909.1-4010.7",,3,18,74,144,1,14,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0697441,3,18,74,144,1,14,0,0,0
"./union.ltl2tgba.l2:4011.1-4122.7",,3,21,81,168,1,15,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.063569,3,21,81,168,1,15,0,0,0
"./union.ltl2tgba.l2:4123.1-4236.7",,3,22,82,176,1,16,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0653679,3,22,82,176,1,16,0,0,0
"./union.ltl2tgba.l2:4237.1-4338.7",,3,18,74,144,1,14,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0678958,3,18,74,144,1,14,0,0,0
"./union.ltl2tgba.l2:4339.1-4702.7",,3,56,298,448,2,39,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.068664,3,56,298,448,2,39,0,0,0
"./union.ltl2tgba.l2:4703.1-5606.7",,4,109,785,1744,1,60,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0628622,4,109,785,1744,1,60,0,0,0
"./union.ltl2tgba.l2:5607.1-5859.7",,4,42,201,672,1,34,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0659098,4,42,201,672,1,34,0,0,0
"./union.ltl2tgba.l2:5860.1-5926.7",,3,12,45,96,0,9,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0615734,3,12,45,96,0,9,0,0,0
"./union.ltl2tgba.l2:5927.1-6221.7",,3,44,241,352,2,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0639329,3,44,241,352,2,19,0,0,0
