"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./union.rab4.l3:1.1-114.7",,3,20,85,160,2,15,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0662672,3,20,85,160,2,15,0,0,0
"./union.rab4.l3:115.1-198.7",,3,15,60,120,1,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0624419,3,15,60,120,1,11,0,0,0
"./union.rab4.l3:199.1-398.7",,4,29,161,464,2,21,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.069713,4,29,161,464,2,21,0,0,0
"./union.rab4.l3:399.1-580.7",,3,30,143,240,3,22,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0687172,3,30,143,240,3,22,0,0,0
"./union.rab4.l3:581.1-812.7",,4,37,186,592,2,28,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0688092,4,37,186,592,2,28,0,0,0
"./union.rab4.l3:813.1-922.7",,3,19,82,152,2,14,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0629229,3,19,82,152,2,14,0,0,0
"./union.rab4.l3:923.1-1007.7",,3,15,60,120,1,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.065126,3,15,60,120,1,11,0,0,0
"./union.rab4.l3:1008.1-1221.7",,4,29,176,464,2,21,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0644744,4,29,176,464,2,21,0,0,0
"./union.rab4.l3:1222.1-1306.7",,3,15,60,120,1,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0649743,3,15,60,120,1,11,0,0,0
"./union.rab4.l3:1307.1-2017.7",,4,103,598,1648,3,63,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0697207,4,103,598,1648,3,63,0,0,0
"./union.rab4.l3:2018.1-2283.7",,4,29,227,464,2,12,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.070166,4,29,227,464,2,12,0,0,0
"./union.rab4.l3:2284.1-2451.7",,4,30,129,480,2,22,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0617951,4,30,129,480,2,22,0,0,0
"./union.rab4.l3:2452.1-2734.7",,4,50,224,800,2,35,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0678933,4,50,224,800,2,35,0,0,0
"./union.rab4.l3:2735.1-2874.7",,3,27,104,216,2,23,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0623287,3,27,104,216,2,23,0,0,0
"./union.rab4.l3:2875.1-2958.7",,4,15,60,240,1,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0645655,4,15,60,240,1,11,0,0,0
"./union.rab4.l3:2959.1-3388.7",,4,59,361,944,2,35,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0719483,4,59,361,944,2,35,0,0,0
"./union.rab4.l3:3389.1-3640.7",,4,47,196,752,2,39,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0658773,4,47,196,752,2,39,0,0,0
"./union.rab4.l3:3641.1-3833.7",,4,30,154,480,2,22,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0638253,4,30,154,480,2,22,0,0,0
"./union.rab4.l3:3834.1-4028.7",,3,35,151,280,2,29,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0687253,3,35,151,280,2,29,0,0,0
"./union.rab4.l3:4029.1-4148.7",,3,21,90,168,2,16,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.062345,3,21,90,168,2,16,0,0,0
"./union.rab4.l3:4149.1-4290.7",,3,26,107,208,2,18,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.06807,3,26,107,208,2,18,0,0,0
"./union.rab4.l3:4291.1-4434.7",,3,27,108,216,2,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0697687,3,27,108,216,2,19,0,0,0
"./union.rab4.l3:4435.1-4554.7",,3,21,90,168,2,16,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0651371,3,21,90,168,2,16,0,0,0
"./union.rab4.l3:4555.1-5561.7",,4,118,880,1888,2,73,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0629207,4,118,880,1888,2,73,0,0,0
"./union.rab4.l3:5562.1-5864.7",,4,49,245,784,2,39,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0683247,4,49,245,784,2,39,0,0,0
"./union.rab4.l3:5865.1-5948.7",,4,15,60,240,1,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.062173,4,15,60,240,1,11,0,0,0
"./union.rab4.l3:5949.1-6373.7",,3,72,344,576,2,60,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0698951,3,72,344,576,2,60,0,0,0
"./union.rab4.l3:6374.1-6715.7",,4,49,284,784,2,31,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0724036,4,49,284,784,2,31,0,0,0
"./union.rab4.l3:6716.1-6859.7",,3,27,108,216,2,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0653545,3,27,108,216,2,19,0,0,0
"./union.rab4.l3:6860.1-6961.7",,3,18,75,144,2,13,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0612367,3,18,75,144,2,13,0,0,0
"./union.rab4.l3:6962.1-7259.7",,4,35,254,560,4,22,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0674966,4,35,254,560,4,22,0,0,0
"./union.rab4.l3:7260.1-7380.7",,3,21,90,168,2,17,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0628227,3,21,90,168,2,17,0,0,0
"./union.rab4.l3:7381.1-7495.7",,4,21,85,336,2,17,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0671997,4,21,85,336,2,17,0,0,0
"./union.rab4.l3:7496.1-7616.7",,4,21,91,336,2,15,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0684639,4,21,91,336,2,15,0,0,0
"./union.rab4.l3:7617.1-7802.7",,4,35,142,560,2,27,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0659893,4,35,142,560,2,27,0,0,0
"./union.rab4.l3:7803.1-7965.7",,4,29,125,464,2,23,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0620366,4,29,125,464,2,23,0,0,0
"./union.rab4.l3:7966.1-8225.7",,3,46,205,368,2,36,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0669077,3,46,205,368,2,36,0,0,0
"./union.rab4.l3:8226.1-8310.7",,4,15,60,240,1,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.064428,4,15,60,240,1,11,0,0,0
"./union.rab4.l3:8311.1-8524.7",,4,29,176,464,2,21,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0680494,4,29,176,464,2,21,0,0,0
"./union.rab4.l3:8525.1-8667.7",,3,27,107,216,2,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0709714,3,27,107,216,2,19,0,0,0
"./union.rab4.l3:8668.1-8829.7",,4,26,126,416,2,16,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0640878,4,26,126,416,2,16,0,0,0
"./union.rab4.l3:8830.1-8973.7",,3,27,108,216,2,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.061452,3,27,108,216,2,19,0,0,0
"./union.rab4.l3:8974.1-9135.7",,3,27,125,216,3,21,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.064817,3,27,125,216,3,21,0,0,0
"./union.rab4.l3:9136.1-9335.7",,4,34,157,544,2,26,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0643768,4,34,157,544,2,26,0,0,0
"./union.rab4.l3:9336.1-9451.7",,4,19,88,304,2,12,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0690828,4,19,88,304,2,12,0,0,0
"./union.rab4.l3:9452.1-9916.7",,4,70,386,1120,2,47,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0717254,4,70,386,1120,2,47,0,0,0
"./union.rab4.l3:9917.1-10042.7",,3,15,102,120,3,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0659961,3,15,102,120,3,11,0,0,0
"./union.rab4.l3:10043.1-10323.7",,4,44,228,704,2,36,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0626213,4,44,228,704,2,36,0,0,0
"./union.rab4.l3:10324.1-10429.7",,3,15,82,120,2,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0678886,3,15,82,120,2,11,0,0,0
"./union.rab4.l3:10430.1-11043.7",,4,73,532,1168,2,40,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0672813,4,73,532,1168,2,40,0,0,0
"./union.rab4.l3:11044.1-11140.7",,3,15,72,120,2,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0661161,3,15,72,120,2,11,0,0,0
"./union.rab4.l3:11141.1-11281.7",,4,25,107,400,1,18,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.070074,4,25,107,400,1,18,0,0,0
"./union.rab4.l3:11282.1-11395.7",,3,20,85,160,2,15,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.215255,3,20,85,160,2,15,0,0,0
"./union.rab4.l3:11396.1-11479.7",,3,15,60,120,1,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0638738,3,15,60,120,1,11,0,0,0
"./union.rab4.l3:11480.1-11679.7",,4,29,161,464,2,21,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0753647,4,29,161,464,2,21,0,0,0
"./union.rab4.l3:11680.1-11861.7",,3,30,143,240,3,22,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0656325,3,30,143,240,3,22,0,0,0
"./union.rab4.l3:11862.1-12093.7",,4,37,186,592,2,28,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0654378,4,37,186,592,2,28,0,0,0
"./union.rab4.l3:12094.1-12203.7",,3,19,82,152,2,14,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0708337,3,19,82,152,2,14,0,0,0
"./union.rab4.l3:12204.1-12288.7",,3,15,60,120,1,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0638135,3,15,60,120,1,11,0,0,0
"./union.rab4.l3:12289.1-12502.7",,4,29,176,464,2,21,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.070925,4,29,176,464,2,21,0,0,0
"./union.rab4.l3:12503.1-12587.7",,3,15,60,120,1,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0711322,3,15,60,120,1,11,0,0,0
"./union.rab4.l3:12588.1-13298.7",,4,103,598,1648,3,63,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.069109,4,103,598,1648,3,63,0,0,0
"./union.rab4.l3:13299.1-13564.7",,4,29,227,464,2,12,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0658194,4,29,227,464,2,12,0,0,0
"./union.rab4.l3:13565.1-13732.7",,4,30,129,480,2,22,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0675036,4,30,129,480,2,22,0,0,0
"./union.rab4.l3:13733.1-14015.7",,4,50,224,800,2,35,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0642531,4,50,224,800,2,35,0,0,0
"./union.rab4.l3:14016.1-14155.7",,3,27,104,216,2,23,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0682587,3,27,104,216,2,23,0,0,0
"./union.rab4.l3:14156.1-14239.7",,4,15,60,240,1,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0706089,4,15,60,240,1,11,0,0,0
"./union.rab4.l3:14240.1-14669.7",,4,59,361,944,2,35,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0712641,4,59,361,944,2,35,0,0,0
"./union.rab4.l3:14670.1-14921.7",,4,47,196,752,2,39,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0624126,4,47,196,752,2,39,0,0,0
"./union.rab4.l3:14922.1-15114.7",,4,30,154,480,2,22,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0655284,4,30,154,480,2,22,0,0,0
"./union.rab4.l3:15115.1-15309.7",,3,35,151,280,2,29,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.060841,3,35,151,280,2,29,0,0,0
"./union.rab4.l3:15310.1-15429.7",,3,21,90,168,2,16,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0675804,3,21,90,168,2,16,0,0,0
"./union.rab4.l3:15430.1-15571.7",,3,26,107,208,2,18,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0718173,3,26,107,208,2,18,0,0,0
"./union.rab4.l3:15572.1-15715.7",,3,27,108,216,2,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0653763,3,27,108,216,2,19,0,0,0
