"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"ltl2tgba_det.filt.hoa:1.1-25.7","(FGp2 R !p2) | GFp1",2,4,10,16,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00853069,2,4,10,16,2,4,0,0,0
"ltl2tgba_det.filt.hoa:1.1-25.7","(FGp2 R !p2) | GFp1",2,4,10,16,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.631018,2,4,10,16,2,4,0,0,0
"ltl2tgba_det.filt.hoa:1.1-25.7","(FGp2 R !p2) | GFp1",2,4,10,16,2,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00869772,2,4,10,16,2,4,0,0,0
"ltl2tgba_det.filt.hoa:1.1-25.7","(FGp2 R !p2) | GFp1",2,4,10,16,2,4,0,0,0,"autfilt %H > %O --small","ok",0,0.0087305,2,4,10,16,2,4,0,0,0
"ltl2tgba_det.filt.hoa:26.1-128.7","X((Fp2 W Xp0) <-> (p2 <-> Fp3))",3,21,73,143,2,13,0,0,0,"autfilt %H > %O","ok",0,0.00917438,3,21,73,143,2,13,0,0,0
"ltl2tgba_det.filt.hoa:26.1-128.7","X((Fp2 W Xp0) <-> (p2 <-> Fp3))",3,21,73,143,2,13,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.779445,3,21,73,143,2,13,0,0,0
"ltl2tgba_det.filt.hoa:26.1-128.7","X((Fp2 W Xp0) <-> (p2 <-> Fp3))",3,21,73,143,2,13,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00875627,3,21,73,143,2,13,0,0,0
"ltl2tgba_det.filt.hoa:26.1-128.7","X((Fp2 W Xp0) <-> (p2 <-> Fp3))",3,21,73,143,2,13,0,0,0,"autfilt %H > %O --small","ok",0,0.00971882,3,21,73,143,2,13,0,0,0
"ltl2tgba_det.filt.hoa:129.1-225.7","F((!p2 & F(Fp1 R p3)) | (p2 & G(G!p1 U !p3)))",3,15,71,120,2,10,0,0,0,"autfilt %H > %O","ok",0,0.0263706,3,15,71,120,2,10,0,0,0
"ltl2tgba_det.filt.hoa:129.1-225.7","F((!p2 & F(Fp1 R p3)) | (p2 & G(G!p1 U !p3)))",3,15,71,120,2,10,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.794227,3,15,71,120,2,10,0,0,0
"ltl2tgba_det.filt.hoa:129.1-225.7","F((!p2 & F(Fp1 R p3)) | (p2 & G(G!p1 U !p3)))",3,15,71,120,2,10,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00894596,3,15,71,120,2,10,0,0,0
"ltl2tgba_det.filt.hoa:129.1-225.7","F((!p2 & F(Fp1 R p3)) | (p2 & G(G!p1 U !p3)))",3,15,71,120,2,10,0,0,0,"autfilt %H > %O --small","ok",0,0.010327,3,15,71,120,2,10,0,0,0
"ltl2tgba_det.filt.hoa:226.1-273.7","X(!p3 <-> F((Fp2 & Gp3) | (G!p2 & F!p3)))",2,9,28,36,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00862292,2,9,28,36,2,4,0,0,0
"ltl2tgba_det.filt.hoa:226.1-273.7","X(!p3 <-> F((Fp2 & Gp3) | (G!p2 & F!p3)))",2,9,28,36,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.690911,2,9,28,36,2,4,0,0,0
"ltl2tgba_det.filt.hoa:226.1-273.7","X(!p3 <-> F((Fp2 & Gp3) | (G!p2 & F!p3)))",2,9,28,36,2,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0080759,2,9,28,36,2,4,0,0,0
"ltl2tgba_det.filt.hoa:226.1-273.7","X(!p3 <-> F((Fp2 & Gp3) | (G!p2 & F!p3)))",2,9,28,36,2,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00897313,2,9,28,36,2,4,0,0,0
"ltl2tgba_det.filt.hoa:274.1-317.7","p0 | G(FGp0 U ((p2 | Gp3) R p3))",3,8,25,64,3,5,0,0,0,"autfilt %H > %O","ok",0,0.00841342,3,8,25,64,3,5,0,0,0
"ltl2tgba_det.filt.hoa:274.1-317.7","p0 | G(FGp0 U ((p2 | Gp3) R p3))",3,8,25,64,3,5,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.723557,3,8,25,64,3,5,0,0,0
"ltl2tgba_det.filt.hoa:274.1-317.7","p0 | G(FGp0 U ((p2 | Gp3) R p3))",3,8,25,64,3,5,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00855042,3,8,25,64,3,5,0,0,0
"ltl2tgba_det.filt.hoa:274.1-317.7","p0 | G(FGp0 U ((p2 | Gp3) R p3))",3,8,25,64,3,5,0,0,0,"autfilt %H > %O --small","ok",0,0.00945609,3,8,25,64,3,5,0,0,0
"ltl2tgba_det.filt.hoa:318.1-350.7","F((p1 & GFp2) | (!p1 & FG!p2))",2,6,16,24,2,5,0,0,0,"autfilt %H > %O","ok",0,0.00870972,2,6,16,24,2,5,0,0,0
"ltl2tgba_det.filt.hoa:318.1-350.7","F((p1 & GFp2) | (!p1 & FG!p2))",2,6,16,24,2,5,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.625741,2,6,16,24,2,5,0,0,0
"ltl2tgba_det.filt.hoa:318.1-350.7","F((p1 & GFp2) | (!p1 & FG!p2))",2,6,16,24,2,5,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0085576,2,6,16,24,2,5,0,0,0
"ltl2tgba_det.filt.hoa:318.1-350.7","F((p1 & GFp2) | (!p1 & FG!p2))",2,6,16,24,2,5,0,0,0,"autfilt %H > %O --small","ok",0,0.00894457,2,6,16,24,2,5,0,0,0
"ltl2tgba_det.filt.hoa:351.1-366.7","G(p3 M Fp1)",2,1,4,4,2,1,0,0,0,"autfilt %H > %O","ok",0,0.00820281,2,1,4,4,2,1,0,0,0
"ltl2tgba_det.filt.hoa:351.1-366.7","G(p3 M Fp1)",2,1,4,4,2,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.62899,2,1,4,4,2,1,0,0,0
"ltl2tgba_det.filt.hoa:351.1-366.7","G(p3 M Fp1)",2,1,4,4,2,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00861938,2,1,4,4,2,1,0,0,0
"ltl2tgba_det.filt.hoa:351.1-366.7","G(p3 M Fp1)",2,1,4,4,2,1,0,0,0,"autfilt %H > %O --small","ok",0,0.0263893,2,1,4,4,2,1,0,0,0
"ltl2tgba_det.filt.hoa:367.1-395.7","(G!p1 M F!p3) R (p3 | Fp0)",3,5,13,40,2,3,0,0,0,"autfilt %H > %O","ok",0,0.0242906,3,5,13,40,2,3,0,0,0
"ltl2tgba_det.filt.hoa:367.1-395.7","(G!p1 M F!p3) R (p3 | Fp0)",3,5,13,40,2,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.64562,3,5,13,40,2,3,0,0,0
