"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"set3.hoa:1.1-37.7",,4,5,23,72,3,4,2,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.465947,4,5,23,72,3,4,2,1,0
"set3.hoa:38.1-110.7",,3,11,53,67,3,6,6,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.631873,3,11,53,67,3,6,6,1,0
"set3.hoa:111.1-152.7",,3,6,27,45,3,5,2,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.506864,3,6,27,45,3,5,2,1,0
"set3.hoa:153.1-238.7",,3,15,62,127,3,12,4,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.766085,3,15,62,127,3,12,4,1,0
"set3.hoa:239.1-285.7",,3,6,32,50,3,3,3,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.728546,3,6,32,50,3,3,3,1,0
"set3.hoa:286.1-394.7",,3,22,78,157,3,15,12,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,2.34842,3,22,78,157,3,15,12,1,0
"set3.hoa:395.1-475.7",,3,15,57,113,3,12,2,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.573231,3,15,57,113,3,12,2,1,0
"set3.hoa:476.1-528.7",,3,9,35,60,3,4,5,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.9719,3,9,35,60,3,4,5,1,0
"set3.hoa:529.1-615.7",,3,15,63,149,3,11,7,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.547004,3,15,63,149,3,11,7,1,0
"set3.hoa:616.1-733.7",,4,19,90,218,3,9,13,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,4.1722,4,19,90,218,3,9,13,1,0
"set3.hoa:734.1-792.7",,4,9,41,84,3,4,2,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.650687,4,9,41,84,3,4,2,1,0
"set3.hoa:793.1-846.7",,3,9,36,48,3,6,3,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.635384,3,9,36,48,3,6,3,1,0
"set3.hoa:847.1-901.7",,4,7,39,56,3,4,2,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.902904,4,7,39,56,3,4,2,1,0
"set3.hoa:902.1-1002.7",,3,21,71,180,3,18,5,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.772451,3,21,71,180,3,18,5,1,0
"set3.hoa:1003.1-1066.7",,4,10,45,171,3,8,6,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.481121,4,10,45,171,3,8,6,1,0
"set3.hoa:1067.1-1145.7",,3,12,58,88,3,7,5,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,1.15562,3,12,58,88,3,7,5,1,0
"set3.hoa:1146.1-1225.7",,4,17,54,254,3,15,10,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.619649,4,17,54,254,3,15,10,1,0
"set3.hoa:1226.1-1292.7",,3,12,46,110,3,10,5,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.505328,3,12,46,110,3,10,5,1,0
"set3.hoa:1293.1-1390.7",,4,13,77,163,4,8,6,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,5.62531,4,13,77,163,4,8,6,1,0
"set3.hoa:1391.1-1418.7",,3,5,14,40,3,5,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.411671,3,5,14,40,3,5,0,0,0
"set3.hoa:1419.1-1470.7",,3,7,36,72,4,5,4,1,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,1.30285,3,7,36,72,4,5,4,1,0
