"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"set4.hoa:1.1-31.7",,3,6,17,51,4,6,2,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.423762,3,6,17,51,2,6,2,1,0
"set4.hoa:32.1-65.7",,3,6,20,50,3,4,3,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.519047,3,6,20,50,2,4,3,1,0
"set4.hoa:66.1-93.7",,3,5,14,38,2,5,1,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.42154,3,5,14,38,2,5,1,1,0
"set4.hoa:94.1-127.7",,3,6,20,48,3,6,2,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.496085,3,6,20,48,3,6,2,1,0
"set4.hoa:128.1-201.7",,3,15,51,95,4,11,0,0,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.731572,3,15,51,95,2,11,0,0,0
"set4.hoa:202.1-285.7",,3,15,61,110,3,12,4,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.787934,3,15,61,110,3,12,4,1,0
"set4.hoa:286.1-321.7",,3,7,20,53,2,7,1,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.42713,3,7,20,53,2,7,1,1,0
"set4.hoa:322.1-355.7",,3,6,20,56,3,5,2,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.429873,3,6,20,56,2,5,2,1,0
"set4.hoa:356.1-388.7",,4,4,21,60,4,3,1,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,32.4241,4,4,21,60,4,3,1,1,0
"set4.hoa:389.1-421.7",,3,7,17,50,2,7,0,0,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.419405,3,7,17,50,2,7,0,0,0
"set4.hoa:422.1-482.7",,4,11,42,150,4,10,2,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.466825,4,11,42,150,2,10,2,1,0
"set4.hoa:483.1-511.7",,3,5,15,32,2,5,1,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.424491,3,5,15,32,2,5,1,1,0
"set4.hoa:512.1-534.7",,3,4,11,28,3,4,0,0,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.437763,3,4,11,28,2,4,0,0,0
"set4.hoa:535.1-558.7",,3,4,12,30,4,4,0,0,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.505794,3,4,12,30,2,4,0,0,0
"set4.hoa:559.1-588.7",,2,5,17,22,6,4,4,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.809755,2,5,17,22,3,4,4,1,0
"set4.hoa:589.1-627.7",,3,8,22,65,2,7,3,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.35845,3,8,22,65,1,7,3,1,0
"set4.hoa:628.1-655.7",,3,5,14,40,4,5,0,0,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.422676,3,5,14,40,2,5,0,0,0
"set4.hoa:656.1-717.7",,3,13,41,94,5,13,3,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.624778,3,13,41,94,3,13,3,1,0
"set4.hoa:718.1-745.7",,3,5,15,26,3,4,1,1,0,"python3 ./main.py -F%H -O%O -M 3","ok",0,0.471171,3,5,15,26,3,4,1,1,0
