"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-delag.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00426889,1,2,3,4,1,2,0,0,0
"patterns-delag.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,1,2,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.463309,1,2,3,4,1,2,0,0,0
"patterns-delag.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,1,2,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.463863,1,2,3,4,1,2,0,0,0
"patterns-delag.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,1,2,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.4668,1,2,3,4,1,2,0,0,0
"patterns-delag.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,1,2,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.457863,1,2,3,4,1,2,0,0,0
"patterns-delag.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00428168,2,4,9,16,1,4,0,0,0
"patterns-delag.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,1,4,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.465984,2,4,9,16,1,4,0,0,0
"patterns-delag.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,1,4,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.462408,2,4,9,16,1,4,0,0,0
"patterns-delag.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,1,4,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.466127,2,4,9,16,1,4,0,0,0
"patterns-delag.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,1,4,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.464605,2,4,9,16,1,4,0,0,0
"patterns-delag.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,1,8,0,0,0,"autfilt %H > %O","ok",0,0.00437423,3,8,27,64,1,8,0,0,0
"patterns-delag.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,1,8,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.419418,3,8,27,64,1,8,0,0,0
"patterns-delag.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,1,8,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.462279,3,8,27,64,1,8,0,0,0
"patterns-delag.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,1,8,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.422742,3,8,27,64,1,8,0,0,0
"patterns-delag.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,1,8,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.465385,3,8,27,64,1,8,0,0,0
"patterns-delag.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,1,16,0,0,0,"autfilt %H > %O","ok",0,0.00471717,4,16,81,256,1,16,0,0,0
"patterns-delag.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,1,16,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.470995,4,16,81,256,1,16,0,0,0
"patterns-delag.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,1,16,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.471822,4,16,81,256,1,16,0,0,0
"patterns-delag.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,1,16,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.467703,4,16,81,256,1,16,0,0,0
"patterns-delag.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,1,16,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.46741,4,16,81,256,1,16,0,0,0
"patterns-delag.hoa:195.1-480.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5)))",5,32,243,1024,1,32,0,0,0,"autfilt %H > %O","ok",0,0.00550467,5,32,243,1024,1,32,0,0,0
"patterns-delag.hoa:195.1-480.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5)))",5,32,243,1024,1,32,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.468113,5,32,243,1024,1,32,0,0,0
"patterns-delag.hoa:195.1-480.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5)))",5,32,243,1024,1,32,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.472914,5,32,243,1024,1,32,0,0,0
"patterns-delag.hoa:195.1-480.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5)))",5,32,243,1024,1,32,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.467341,5,32,243,1024,1,32,0,0,0
"patterns-delag.hoa:195.1-480.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5)))",5,32,243,1024,1,32,0,0,0,"python3 /home/duri/phd/telatko/main.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.4267,5,32,243,1024,1,32,0,0,0
