"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00726527,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.55509,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.55168,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.546304,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.56432,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00869007,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.557475,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.556062,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.549221,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.547053,2,4,9,16,1,4,0,0,0
