"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"autfilt %H > %O","ok",0,0.00833051,1,2,3,4,2,2,0,0,0
"patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.572644,1,2,3,4,1,2,0,0,0
"patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.54397,1,2,3,4,1,2,0,0,0
"patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.560695,1,2,3,4,1,2,0,0,0
"patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.574078,1,2,3,4,1,2,0,0,0
"patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00733723,2,4,9,16,2,4,0,0,0
"patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.529201,2,4,9,16,1,4,0,0,0
"patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.519944,2,4,9,16,1,4,0,0,0
"patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.522289,2,4,9,16,1,4,0,0,0
"patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.527961,2,4,9,16,1,4,0,0,0
