"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00892509,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.596891,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.519179,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.525637,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.507289,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00695388,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.509404,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.518231,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.518395,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.516473,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"autfilt %H > %O","ok",0,0.0112287,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.585217,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.522416,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.522211,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.521023,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:87.1-194.7","Fp1 & Fp2 & Fp3 & Fp4",4,16,81,256,1,16,0,0,0,"autfilt %H > %O","ok",0,0.00715551,4,16,81,256,1,16,0,0,0
"patterns-ltl2tgba.hoa:87.1-194.7","Fp1 & Fp2 & Fp3 & Fp4",4,16,81,256,1,16,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.525183,4,16,81,256,1,16,0,0,0
"patterns-ltl2tgba.hoa:87.1-194.7","Fp1 & Fp2 & Fp3 & Fp4",4,16,81,256,1,16,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.518995,4,16,81,256,1,16,0,0,0
"patterns-ltl2tgba.hoa:87.1-194.7","Fp1 & Fp2 & Fp3 & Fp4",4,16,81,256,1,16,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.522919,4,16,81,256,1,16,0,0,0
"patterns-ltl2tgba.hoa:87.1-194.7","Fp1 & Fp2 & Fp3 & Fp4",4,16,81,256,1,16,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.525551,4,16,81,256,1,16,0,0,0
"patterns-ltl2tgba.hoa:195.1-210.7","FGp1",1,2,3,4,1,2,1,1,0,"autfilt %H > %O","ok",0,0.00687561,1,2,3,4,1,2,1,1,0
"patterns-ltl2tgba.hoa:195.1-210.7","FGp1",1,2,3,4,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.517996,1,2,3,4,1,2,1,1,0
"patterns-ltl2tgba.hoa:195.1-210.7","FGp1",1,2,3,4,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.526442,1,2,3,4,1,2,1,1,0
"patterns-ltl2tgba.hoa:195.1-210.7","FGp1",1,2,3,4,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.51866,1,2,3,4,1,2,1,1,0
"patterns-ltl2tgba.hoa:195.1-210.7","FGp1",1,2,3,4,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.522009,1,2,3,4,1,2,1,1,0
"patterns-ltl2tgba.hoa:211.1-226.7","FG(p1 & p2)",2,2,3,6,1,2,1,1,0,"autfilt %H > %O","ok",0,0.00663102,2,2,3,6,1,2,1,1,0
"patterns-ltl2tgba.hoa:211.1-226.7","FG(p1 & p2)",2,2,3,6,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.523449,2,2,3,6,1,2,1,1,0
"patterns-ltl2tgba.hoa:211.1-226.7","FG(p1 & p2)",2,2,3,6,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.510724,2,2,3,6,1,2,1,1,0
"patterns-ltl2tgba.hoa:211.1-226.7","FG(p1 & p2)",2,2,3,6,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.514405,2,2,3,6,1,2,1,1,0
"patterns-ltl2tgba.hoa:211.1-226.7","FG(p1 & p2)",2,2,3,6,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.50946,2,2,3,6,1,2,1,1,0
"patterns-ltl2tgba.hoa:227.1-242.7","FG(p1 & p2 & p3)",3,2,3,10,1,2,1,1,0,"autfilt %H > %O","ok",0,0.00723461,3,2,3,10,1,2,1,1,0
"patterns-ltl2tgba.hoa:227.1-242.7","FG(p1 & p2 & p3)",3,2,3,10,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.514645,3,2,3,10,1,2,1,1,0
"patterns-ltl2tgba.hoa:227.1-242.7","FG(p1 & p2 & p3)",3,2,3,10,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.503974,3,2,3,10,1,2,1,1,0
"patterns-ltl2tgba.hoa:227.1-242.7","FG(p1 & p2 & p3)",3,2,3,10,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.506405,3,2,3,10,1,2,1,1,0
"patterns-ltl2tgba.hoa:227.1-242.7","FG(p1 & p2 & p3)",3,2,3,10,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.537906,3,2,3,10,1,2,1,1,0
"patterns-ltl2tgba.hoa:243.1-258.7","FG(p1 & p2 & p3 & p4)",4,2,3,18,1,2,1,1,0,"autfilt %H > %O","ok",0,0.00698097,4,2,3,18,1,2,1,1,0
"patterns-ltl2tgba.hoa:243.1-258.7","FG(p1 & p2 & p3 & p4)",4,2,3,18,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.530895,4,2,3,18,1,2,1,1,0
"patterns-ltl2tgba.hoa:243.1-258.7","FG(p1 & p2 & p3 & p4)",4,2,3,18,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.517643,4,2,3,18,1,2,1,1,0
"patterns-ltl2tgba.hoa:243.1-258.7","FG(p1 & p2 & p3 & p4)",4,2,3,18,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.515363,4,2,3,18,1,2,1,1,0
"patterns-ltl2tgba.hoa:243.1-258.7","FG(p1 & p2 & p3 & p4)",4,2,3,18,1,2,1,1,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.507705,4,2,3,18,1,2,1,1,0
"patterns-ltl2tgba.hoa:259.1-272.7","GFp1",1,1,2,2,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00703007,1,1,2,2,1,1,0,0,0
"patterns-ltl2tgba.hoa:259.1-272.7","GFp1",1,1,2,2,1,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.533191,1,1,2,2,1,1,0,0,0
"patterns-ltl2tgba.hoa:259.1-272.7","GFp1",1,1,2,2,1,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.516404,1,1,2,2,1,1,0,0,0
"patterns-ltl2tgba.hoa:259.1-272.7","GFp1",1,1,2,2,1,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.524601,1,1,2,2,1,1,0,0,0
"patterns-ltl2tgba.hoa:259.1-272.7","GFp1",1,1,2,2,1,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.516066,1,1,2,2,1,1,0,0,0
"patterns-ltl2tgba.hoa:273.1-288.7","G(Fp1 & Fp2)",2,1,4,4,2,1,0,0,0,"autfilt %H > %O","ok",0,0.006794,2,1,4,4,2,1,0,0,0
"patterns-ltl2tgba.hoa:273.1-288.7","G(Fp1 & Fp2)",2,1,4,4,2,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.557215,2,1,4,4,2,1,0,0,0
"patterns-ltl2tgba.hoa:273.1-288.7","G(Fp1 & Fp2)",2,1,4,4,2,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.544154,2,1,4,4,2,1,0,0,0
"patterns-ltl2tgba.hoa:273.1-288.7","G(Fp1 & Fp2)",2,1,4,4,2,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.54888,2,1,4,4,2,1,0,0,0
"patterns-ltl2tgba.hoa:273.1-288.7","G(Fp1 & Fp2)",2,1,4,4,2,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.581323,2,1,4,4,2,1,0,0,0
"patterns-ltl2tgba.hoa:289.1-308.7","G(Fp1 & Fp2 & Fp3)",3,1,8,8,3,1,0,0,0,"autfilt %H > %O","ok",0,0.00695002,3,1,8,8,3,1,0,0,0
"patterns-ltl2tgba.hoa:289.1-308.7","G(Fp1 & Fp2 & Fp3)",3,1,8,8,3,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.568663,3,1,8,8,3,1,0,0,0
"patterns-ltl2tgba.hoa:289.1-308.7","G(Fp1 & Fp2 & Fp3)",3,1,8,8,3,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.562367,3,1,8,8,3,1,0,0,0
"patterns-ltl2tgba.hoa:289.1-308.7","G(Fp1 & Fp2 & Fp3)",3,1,8,8,3,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.578664,3,1,8,8,3,1,0,0,0
"patterns-ltl2tgba.hoa:289.1-308.7","G(Fp1 & Fp2 & Fp3)",3,1,8,8,3,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.630398,3,1,8,8,3,1,0,0,0
"patterns-ltl2tgba.hoa:309.1-336.7","G(Fp1 & Fp2 & Fp3 & Fp4)",4,1,16,16,4,1,0,0,0,"autfilt %H > %O","ok",0,0.00708644,4,1,16,16,4,1,0,0,0
"patterns-ltl2tgba.hoa:309.1-336.7","G(Fp1 & Fp2 & Fp3 & Fp4)",4,1,16,16,4,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.608909,4,1,16,16,4,1,0,0,0
"patterns-ltl2tgba.hoa:309.1-336.7","G(Fp1 & Fp2 & Fp3 & Fp4)",4,1,16,16,4,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.610813,4,1,16,16,4,1,0,0,0
"patterns-ltl2tgba.hoa:309.1-336.7","G(Fp1 & Fp2 & Fp3 & Fp4)",4,1,16,16,4,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.618438,4,1,16,16,4,1,0,0,0
"patterns-ltl2tgba.hoa:309.1-336.7","G(Fp1 & Fp2 & Fp3 & Fp4)",4,1,16,16,4,1,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.743727,4,1,16,16,4,1,0,0,0
"patterns-ltl2tgba.hoa:337.1-360.7","Fp1 & Fq1",2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00732514,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:337.1-360.7","Fp1 & Fq1",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.516606,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:337.1-360.7","Fp1 & Fq1",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.508521,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:337.1-360.7","Fp1 & Fq1",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.511279,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:337.1-360.7","Fp1 & Fq1",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.507271,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:361.1-416.7","F(p1 & Fp2) & F(q1 & Fq2)",4,9,36,144,1,9,0,0,0,"autfilt %H > %O","ok",0,0.00723935,4,9,36,144,1,9,0,0,0
"patterns-ltl2tgba.hoa:361.1-416.7","F(p1 & Fp2) & F(q1 & Fq2)",4,9,36,144,1,9,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.536957,4,9,36,144,1,9,0,0,0
"patterns-ltl2tgba.hoa:361.1-416.7","F(p1 & Fp2) & F(q1 & Fq2)",4,9,36,144,1,9,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.548986,4,9,36,144,1,9,0,0,0
"patterns-ltl2tgba.hoa:361.1-416.7","F(p1 & Fp2) & F(q1 & Fq2)",4,9,36,144,1,9,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.509731,4,9,36,144,1,9,0,0,0
"patterns-ltl2tgba.hoa:361.1-416.7","F(p1 & Fp2) & F(q1 & Fq2)",4,9,36,144,1,9,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.511035,4,9,36,144,1,9,0,0,0
"patterns-ltl2tgba.hoa:417.1-543.7","F(p1 & F(p2 & Fp3)) & F(q1 & F(q2 & Fq3))",6,16,100,1024,1,16,0,0,0,"autfilt %H > %O","ok",0,0.00781474,6,16,100,1024,1,16,0,0,0
"patterns-ltl2tgba.hoa:417.1-543.7","F(p1 & F(p2 & Fp3)) & F(q1 & F(q2 & Fq3))",6,16,100,1024,1,16,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.515297,6,16,100,1024,1,16,0,0,0
"patterns-ltl2tgba.hoa:417.1-543.7","F(p1 & F(p2 & Fp3)) & F(q1 & F(q2 & Fq3))",6,16,100,1024,1,16,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.534973,6,16,100,1024,1,16,0,0,0
"patterns-ltl2tgba.hoa:417.1-543.7","F(p1 & F(p2 & Fp3)) & F(q1 & F(q2 & Fq3))",6,16,100,1024,1,16,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.512027,6,16,100,1024,1,16,0,0,0
"patterns-ltl2tgba.hoa:417.1-543.7","F(p1 & F(p2 & Fp3)) & F(q1 & F(q2 & Fq3))",6,16,100,1024,1,16,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.509973,6,16,100,1024,1,16,0,0,0
"patterns-ltl2tgba.hoa:544.1-804.7","F(p1 & F(p2 & F(p3 & Fp4))) & F(q1 & F(q2 & F(q3 & Fq4)))",8,25,225,6400,1,25,0,0,0,"autfilt %H > %O","ok",0,0.00841749,8,25,225,6400,1,25,0,0,0
"patterns-ltl2tgba.hoa:544.1-804.7","F(p1 & F(p2 & F(p3 & Fp4))) & F(q1 & F(q2 & F(q3 & Fq4)))",8,25,225,6400,1,25,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.522029,8,25,225,6400,1,25,0,0,0
"patterns-ltl2tgba.hoa:544.1-804.7","F(p1 & F(p2 & F(p3 & Fp4))) & F(q1 & F(q2 & F(q3 & Fq4)))",8,25,225,6400,1,25,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.519054,8,25,225,6400,1,25,0,0,0
"patterns-ltl2tgba.hoa:544.1-804.7","F(p1 & F(p2 & F(p3 & Fp4))) & F(q1 & F(q2 & F(q3 & Fq4)))",8,25,225,6400,1,25,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.525188,8,25,225,6400,1,25,0,0,0
"patterns-ltl2tgba.hoa:544.1-804.7","F(p1 & F(p2 & F(p3 & Fp4))) & F(q1 & F(q2 & F(q3 & Fq4)))",8,25,225,6400,1,25,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.517993,8,25,225,6400,1,25,0,0,0
"patterns-ltl2tgba.hoa:805.1-828.7","Fp & Fq",2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00714483,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:805.1-828.7","Fp & Fq",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.51145,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:805.1-828.7","Fp & Fq",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.513395,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:805.1-828.7","Fp & Fq",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.518064,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:805.1-828.7","Fp & Fq",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.512921,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:829.1-873.7","F(p & Xp) & F(q & Xq)",2,9,25,36,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00704704,2,9,25,36,1,4,0,0,0
"patterns-ltl2tgba.hoa:829.1-873.7","F(p & Xp) & F(q & Xq)",2,9,25,36,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.5224,2,9,25,36,1,4,0,0,0
"patterns-ltl2tgba.hoa:829.1-873.7","F(p & Xp) & F(q & Xq)",2,9,25,36,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.512346,2,9,25,36,1,4,0,0,0
"patterns-ltl2tgba.hoa:829.1-873.7","F(p & Xp) & F(q & Xq)",2,9,25,36,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.515726,2,9,25,36,1,4,0,0,0
"patterns-ltl2tgba.hoa:829.1-873.7","F(p & Xp) & F(q & Xq)",2,9,25,36,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.523322,2,9,25,36,1,4,0,0,0
"patterns-ltl2tgba.hoa:874.1-949.7","F(p & X(p & Xp)) & F(q & X(q & Xq))",2,16,49,64,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00717908,2,16,49,64,1,4,0,0,0
"patterns-ltl2tgba.hoa:874.1-949.7","F(p & X(p & Xp)) & F(q & X(q & Xq))",2,16,49,64,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.536194,2,16,49,64,1,4,0,0,0
"patterns-ltl2tgba.hoa:874.1-949.7","F(p & X(p & Xp)) & F(q & X(q & Xq))",2,16,49,64,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.518869,2,16,49,64,1,4,0,0,0
"patterns-ltl2tgba.hoa:874.1-949.7","F(p & X(p & Xp)) & F(q & X(q & Xq))",2,16,49,64,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.532001,2,16,49,64,1,4,0,0,0
"patterns-ltl2tgba.hoa:874.1-949.7","F(p & X(p & Xp)) & F(q & X(q & Xq))",2,16,49,64,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.520938,2,16,49,64,1,4,0,0,0
"patterns-ltl2tgba.hoa:950.1-1066.7","F(p & X(p & X(p & Xp))) & F(q & X(q & X(q & Xq)))",2,25,81,100,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00788669,2,25,81,100,1,4,0,0,0
"patterns-ltl2tgba.hoa:950.1-1066.7","F(p & X(p & X(p & Xp))) & F(q & X(q & X(q & Xq)))",2,25,81,100,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.526612,2,25,81,100,1,4,0,0,0
"patterns-ltl2tgba.hoa:950.1-1066.7","F(p & X(p & X(p & Xp))) & F(q & X(q & X(q & Xq)))",2,25,81,100,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.52252,2,25,81,100,1,4,0,0,0
"patterns-ltl2tgba.hoa:950.1-1066.7","F(p & X(p & X(p & Xp))) & F(q & X(q & X(q & Xq)))",2,25,81,100,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.517572,2,25,81,100,1,4,0,0,0
"patterns-ltl2tgba.hoa:950.1-1066.7","F(p & X(p & X(p & Xp))) & F(q & X(q & X(q & Xq)))",2,25,81,100,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.523036,2,25,81,100,1,4,0,0,0
"patterns-ltl2tgba.hoa:1067.1-1142.7","F(p & X(p & Xp)) & F(q & X(q & Xq))",2,16,49,64,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00682203,2,16,49,64,1,4,0,0,0
"patterns-ltl2tgba.hoa:1067.1-1142.7","F(p & X(p & Xp)) & F(q & X(q & Xq))",2,16,49,64,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.548029,2,16,49,64,1,4,0,0,0
