"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00927616,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.556564,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.572509,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.537083,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.516632,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00684367,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -S -O %O","ok",0,0.54137,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -S -O %O","ok",0,0.51866,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -S -O %O","ok",0,0.510931,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -S -O %O","ok",0,0.51301,2,4,9,16,1,4,0,0,0
