"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.0099514,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.592008,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00892689,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O --small","ok",0,0.00941041,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.0166184,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.596552,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00867394,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O --small","ok",0,0.0089537,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"autfilt %H > %O","ok",0,0.0248369,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.594773,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00887138,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"autfilt %H > %O --small","ok",0,0.00906441,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"autfilt %H > %O","ok",0,0.0265787,4,16,81,256,1,16,0,0,0
"patterns-ltl3tela.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.593354,4,16,81,256,1,16,0,0,0
"patterns-ltl3tela.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00914045,4,16,81,256,1,16,0,0,0
"patterns-ltl3tela.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"autfilt %H > %O --small","ok",0,0.0115779,4,16,81,256,1,16,0,0,0
"patterns-ltl3tela.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O","ok",0,0.0137867,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.605789,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0089163,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00908481,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"autfilt %H > %O","ok",0,0.0125491,2,1,2,4,1,1,0,0,0
"patterns-ltl3tela.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.594865,2,1,2,4,1,1,0,0,0
"patterns-ltl3tela.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0190941,2,1,2,4,1,1,0,0,0
"patterns-ltl3tela.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.0125774,2,1,2,4,1,1,0,0,0
"patterns-ltl3tela.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"autfilt %H > %O","ok",0,0.0246301,3,1,2,8,1,1,0,0,0
"patterns-ltl3tela.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.591881,3,1,2,8,1,1,0,0,0
"patterns-ltl3tela.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00866847,3,1,2,8,1,1,0,0,0
"patterns-ltl3tela.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00878069,3,1,2,8,1,1,0,0,0
"patterns-ltl3tela.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00861523,4,1,2,16,1,1,0,0,0
"patterns-ltl3tela.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.58369,4,1,2,16,1,1,0,0,0
"patterns-ltl3tela.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00886434,4,1,2,16,1,1,0,0,0
"patterns-ltl3tela.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.0259892,4,1,2,16,1,1,0,0,0
"patterns-ltl3tela.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O","ok",0,0.0183583,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.57865,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0144341,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.0168871,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela.hoa:256.1-270.7",,2,1,4,4,2,1,0,0,0,"autfilt %H > %O","ok",0,0.017098,2,1,4,4,2,1,0,0,0
