"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-ltl3tela_det.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.0259752,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela_det.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.615982,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela_det.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00901186,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela_det.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O --small","ok",0,0.00900203,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela_det.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00944619,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela_det.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.571806,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela_det.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00893683,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela_det.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00893927,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela_det.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"autfilt %H > %O","ok",0,0.0112303,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela_det.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.594392,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela_det.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00861084,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela_det.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"autfilt %H > %O --small","ok",0,0.00949068,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela_det.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"autfilt %H > %O","ok",0,0.00951398,4,16,81,256,1,16,0,0,0
"patterns-ltl3tela_det.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.599232,4,16,81,256,1,16,0,0,0
"patterns-ltl3tela_det.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00952651,4,16,81,256,1,16,0,0,0
"patterns-ltl3tela_det.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"autfilt %H > %O --small","ok",0,0.0122518,4,16,81,256,1,16,0,0,0
"patterns-ltl3tela_det.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O","ok",0,0.0192421,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela_det.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.601613,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela_det.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00877016,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela_det.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.0100677,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela_det.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"autfilt %H > %O","ok",0,0.0192087,2,1,2,4,1,1,0,0,0
"patterns-ltl3tela_det.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.604385,2,1,2,4,1,1,0,0,0
"patterns-ltl3tela_det.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00869391,2,1,2,4,1,1,0,0,0
"patterns-ltl3tela_det.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00912792,2,1,2,4,1,1,0,0,0
"patterns-ltl3tela_det.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00828104,3,1,2,8,1,1,0,0,0
"patterns-ltl3tela_det.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.578889,3,1,2,8,1,1,0,0,0
"patterns-ltl3tela_det.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.014797,3,1,2,8,1,1,0,0,0
"patterns-ltl3tela_det.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.0261993,3,1,2,8,1,1,0,0,0
"patterns-ltl3tela_det.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"autfilt %H > %O","ok",0,0.0137655,4,1,2,16,1,1,0,0,0
"patterns-ltl3tela_det.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.594647,4,1,2,16,1,1,0,0,0
"patterns-ltl3tela_det.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00918087,4,1,2,16,1,1,0,0,0
"patterns-ltl3tela_det.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.0106432,4,1,2,16,1,1,0,0,0
"patterns-ltl3tela_det.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O","ok",0,0.0195351,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela_det.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.609774,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela_det.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00917458,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela_det.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.0100149,1,1,2,2,1,1,0,0,0
"patterns-ltl3tela_det.hoa:256.1-270.7",,2,1,4,4,2,1,0,0,0,"autfilt %H > %O","ok",0,0.0188094,2,1,4,4,2,1,0,0,0
"patterns-ltl3tela_det.hoa:256.1-270.7",,2,1,4,4,2,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.662264,2,1,4,4,2,1,0,0,0
"patterns-ltl3tela_det.hoa:256.1-270.7",,2,1,4,4,2,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0257528,2,1,4,4,2,1,0,0,0
"patterns-ltl3tela_det.hoa:256.1-270.7",,2,1,4,4,2,1,0,0,0,"autfilt %H > %O --small","ok",0,0.0252251,2,1,4,4,2,1,0,0,0
"patterns-ltl3tela_det.hoa:271.1-289.7",,3,1,8,8,3,1,0,0,0,"autfilt %H > %O","ok",0,0.0183628,3,1,8,8,3,1,0,0,0
"patterns-ltl3tela_det.hoa:271.1-289.7",,3,1,8,8,3,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.665339,3,1,8,8,3,1,0,0,0
"patterns-ltl3tela_det.hoa:271.1-289.7",,3,1,8,8,3,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0195518,3,1,8,8,3,1,0,0,0
"patterns-ltl3tela_det.hoa:271.1-289.7",,3,1,8,8,3,1,0,0,0,"autfilt %H > %O --small","ok",0,0.0127954,3,1,8,8,3,1,0,0,0
"patterns-ltl3tela_det.hoa:290.1-316.7",,4,1,16,16,4,1,0,0,0,"autfilt %H > %O","ok",0,0.0111947,4,1,16,16,4,1,0,0,0
"patterns-ltl3tela_det.hoa:290.1-316.7",,4,1,16,16,4,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.801493,4,1,16,16,4,1,0,0,0
"patterns-ltl3tela_det.hoa:290.1-316.7",,4,1,16,16,4,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00918633,4,1,16,16,4,1,0,0,0
"patterns-ltl3tela_det.hoa:290.1-316.7",,4,1,16,16,4,1,0,0,0,"autfilt %H > %O --small","ok",0,0.0103089,4,1,16,16,4,1,0,0,0
"patterns-ltl3tela_det.hoa:317.1-339.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.0153175,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela_det.hoa:317.1-339.7",,2,4,9,16,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.59141,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela_det.hoa:317.1-339.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00916737,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela_det.hoa:317.1-339.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00933038,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela_det.hoa:340.1-394.7",,4,9,36,144,1,9,0,0,0,"autfilt %H > %O","ok",0,0.0134169,4,9,36,144,1,9,0,0,0
"patterns-ltl3tela_det.hoa:340.1-394.7",,4,9,36,144,1,9,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.58112,4,9,36,144,1,9,0,0,0
"patterns-ltl3tela_det.hoa:340.1-394.7",,4,9,36,144,1,9,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00926628,4,9,36,144,1,9,0,0,0
"patterns-ltl3tela_det.hoa:340.1-394.7",,4,9,36,144,1,9,0,0,0,"autfilt %H > %O --small","ok",0,0.0109014,4,9,36,144,1,9,0,0,0
"patterns-ltl3tela_det.hoa:395.1-520.7",,6,16,100,1024,1,16,0,0,0,"autfilt %H > %O","ok",0,0.0215747,6,16,100,1024,1,16,0,0,0
"patterns-ltl3tela_det.hoa:395.1-520.7",,6,16,100,1024,1,16,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.568496,6,16,100,1024,1,16,0,0,0
"patterns-ltl3tela_det.hoa:395.1-520.7",,6,16,100,1024,1,16,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00984743,6,16,100,1024,1,16,0,0,0
"patterns-ltl3tela_det.hoa:395.1-520.7",,6,16,100,1024,1,16,0,0,0,"autfilt %H > %O --small","ok",0,0.013263,6,16,100,1024,1,16,0,0,0
"patterns-ltl3tela_det.hoa:521.1-780.7",,8,25,225,6400,1,25,0,0,0,"autfilt %H > %O","ok",0,0.0194973,8,25,225,6400,1,25,0,0,0
"patterns-ltl3tela_det.hoa:521.1-780.7",,8,25,225,6400,1,25,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.598153,8,25,225,6400,1,25,0,0,0
"patterns-ltl3tela_det.hoa:521.1-780.7",,8,25,225,6400,1,25,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0106309,8,25,225,6400,1,25,0,0,0
"patterns-ltl3tela_det.hoa:521.1-780.7",,8,25,225,6400,1,25,0,0,0,"autfilt %H > %O --small","ok",0,0.0388159,8,25,225,6400,1,25,0,0,0
"patterns-ltl3tela_det.hoa:781.1-803.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.0146352,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela_det.hoa:781.1-803.7",,2,4,9,16,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.584311,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela_det.hoa:781.1-803.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00885965,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela_det.hoa:781.1-803.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O --small","ok",0,0.0105723,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela_det.hoa:804.1-847.7",,2,9,25,36,1,4,0,0,0,"autfilt %H > %O","ok",0,0.0192136,2,9,25,36,1,4,0,0,0
"patterns-ltl3tela_det.hoa:804.1-847.7",,2,9,25,36,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.598729,2,9,25,36,1,4,0,0,0
"patterns-ltl3tela_det.hoa:804.1-847.7",,2,9,25,36,1,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00883711,2,9,25,36,1,4,0,0,0
"patterns-ltl3tela_det.hoa:804.1-847.7",,2,9,25,36,1,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00928559,2,9,25,36,1,4,0,0,0
"patterns-ltl3tela_det.hoa:848.1-922.7",,2,16,49,64,1,4,0,0,0,"autfilt %H > %O","ok",0,0.0253526,2,16,49,64,1,4,0,0,0
"patterns-ltl3tela_det.hoa:848.1-922.7",,2,16,49,64,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.60296,2,16,49,64,1,4,0,0,0
"patterns-ltl3tela_det.hoa:848.1-922.7",,2,16,49,64,1,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00911864,2,16,49,64,1,4,0,0,0
"patterns-ltl3tela_det.hoa:848.1-922.7",,2,16,49,64,1,4,0,0,0,"autfilt %H > %O --small","ok",0,0.0118957,2,16,49,64,1,4,0,0,0
"patterns-ltl3tela_det.hoa:923.1-1038.7",,2,25,81,100,1,4,0,0,0,"autfilt %H > %O","ok",0,0.0162774,2,25,81,100,1,4,0,0,0
"patterns-ltl3tela_det.hoa:923.1-1038.7",,2,25,81,100,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.596452,2,25,81,100,1,4,0,0,0
"patterns-ltl3tela_det.hoa:923.1-1038.7",,2,25,81,100,1,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00872963,2,25,81,100,1,4,0,0,0
"patterns-ltl3tela_det.hoa:923.1-1038.7",,2,25,81,100,1,4,0,0,0,"autfilt %H > %O --small","ok",0,0.012367,2,25,81,100,1,4,0,0,0
"patterns-ltl3tela_det.hoa:1039.1-1113.7",,2,16,49,64,1,4,0,0,0,"autfilt %H > %O","ok",0,0.0150378,2,16,49,64,1,4,0,0,0
"patterns-ltl3tela_det.hoa:1039.1-1113.7",,2,16,49,64,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.607554,2,16,49,64,1,4,0,0,0
"patterns-ltl3tela_det.hoa:1039.1-1113.7",,2,16,49,64,1,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00896441,2,16,49,64,1,4,0,0,0
