"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"delag.hoa:1.1-55.7","Automaton for ((X(p1)) R (((((G(p1)) R (p2))) W (p3))))",3,11,34,57,0,8,0,0,0,"autfilt %H > %O","ok",0,0.0110574,3,11,34,57,0,8,0,0,0
"delag.hoa:1.1-55.7","Automaton for ((X(p1)) R (((((G(p1)) R (p2))) W (p3))))",3,11,34,57,0,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.593632,3,11,34,57,0,8,0,0,0
"delag.hoa:1.1-55.7","Automaton for ((X(p1)) R (((((G(p1)) R (p2))) W (p3))))",3,11,34,57,0,8,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0088387,3,11,34,57,0,8,0,0,0
"delag.hoa:1.1-55.7","Automaton for ((X(p1)) R (((((G(p1)) R (p2))) W (p3))))",3,11,34,57,0,8,0,0,0,"autfilt %H > %O --small","ok",0,0.0101323,3,11,34,57,1,8,0,0,0
"delag.hoa:56.1-75.7","Automaton for ((F(p3)) | (G(!p2)))",2,3,6,12,1,3,0,0,0,"autfilt %H > %O","ok",0,0.00873776,2,3,6,12,1,3,0,0,0
"delag.hoa:56.1-75.7","Automaton for ((F(p3)) | (G(!p2)))",2,3,6,12,1,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.580245,2,3,6,12,1,3,0,0,0
"delag.hoa:56.1-75.7","Automaton for ((F(p3)) | (G(!p2)))",2,3,6,12,1,3,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00914532,2,3,6,12,1,3,0,0,0
"delag.hoa:56.1-75.7","Automaton for ((F(p3)) | (G(!p2)))",2,3,6,12,1,3,0,0,0,"autfilt %H > %O --small","ok",0,0.00884546,2,3,6,12,1,3,0,0,0
"delag.hoa:76.1-88.7","Automaton for true",0,1,1,1,0,1,0,0,0,"autfilt %H > %O","ok",0,0.00901546,0,1,1,1,0,1,0,0,0
"delag.hoa:76.1-88.7","Automaton for true",0,1,1,1,0,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.546658,0,1,1,1,0,1,0,0,0
"delag.hoa:76.1-88.7","Automaton for true",0,1,1,1,0,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00805871,0,1,1,1,0,1,0,0,0
"delag.hoa:76.1-88.7","Automaton for true",0,1,1,1,0,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00809715,0,1,1,1,1,1,0,0,0
"delag.hoa:89.1-105.7","Automaton for F(((p0) R (p1)))",2,2,4,8,2,2,0,0,0,"autfilt %H > %O","ok",0,0.0250774,2,2,4,8,2,2,0,0,0
