"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"delag.filt.hoa:1.1-17.7","Automaton for F(((p0) R (p1)))",2,2,4,8,2,2,0,0,0,"autfilt %H > %O","ok",0,0.00833363,2,2,4,8,2,2,0,0,0
"delag.filt.hoa:1.1-17.7","Automaton for F(((p0) R (p1)))",2,2,4,8,2,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.541278,2,2,4,8,1,2,0,0,0
"delag.filt.hoa:1.1-17.7","Automaton for F(((p0) R (p1)))",2,2,4,8,2,2,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00833499,2,2,4,8,1,2,0,0,0
"delag.filt.hoa:1.1-17.7","Automaton for F(((p0) R (p1)))",2,2,4,8,2,2,0,0,0,"autfilt %H > %O --small","ok",0,0.00892114,2,2,4,8,1,2,0,0,0
"delag.filt.hoa:18.1-42.7","Automaton for ((G(F(p1))) | (((F(G(p2))) R (!p2))))",2,4,10,16,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00999758,2,4,10,16,2,4,0,0,0
"delag.filt.hoa:18.1-42.7","Automaton for ((G(F(p1))) | (((F(G(p2))) R (!p2))))",2,4,10,16,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.654839,2,4,10,16,2,4,0,0,0
"delag.filt.hoa:18.1-42.7","Automaton for ((G(F(p1))) | (((F(G(p2))) R (!p2))))",2,4,10,16,2,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00893657,2,4,10,16,2,4,0,0,0
"delag.filt.hoa:18.1-42.7","Automaton for ((G(F(p1))) | (((F(G(p2))) R (!p2))))",2,4,10,16,2,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00892862,2,4,9,16,2,4,0,0,0
"delag.filt.hoa:43.1-145.7","Automaton for X(((((F(p2)) W (X(p0)))) <-> (((p2) <-> (F(p3))))))",3,21,73,143,2,13,0,0,0,"autfilt %H > %O","ok",0,0.00888773,3,21,73,143,2,13,0,0,0
"delag.filt.hoa:43.1-145.7","Automaton for X(((((F(p2)) W (X(p0)))) <-> (((p2) <-> (F(p3))))))",3,21,73,143,2,13,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.801847,3,21,73,143,2,13,0,0,0
"delag.filt.hoa:43.1-145.7","Automaton for X(((((F(p2)) W (X(p0)))) <-> (((p2) <-> (F(p3))))))",3,21,73,143,2,13,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00842597,3,21,73,143,2,13,0,0,0
"delag.filt.hoa:43.1-145.7","Automaton for X(((((F(p2)) W (X(p0)))) <-> (((p2) <-> (F(p3))))))",3,21,73,143,2,13,0,0,0,"autfilt %H > %O --small","ok",0,0.00891323,3,21,73,143,2,13,0,0,0
"delag.filt.hoa:146.1-224.7","Automaton for ((((p0) U (G(p2)))) R (((p0) R (X(p1)))))",3,13,56,75,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00972233,3,13,56,75,2,4,0,0,0
"delag.filt.hoa:146.1-224.7","Automaton for ((((p0) U (G(p2)))) R (((p0) R (X(p1)))))",3,13,56,75,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.585043,3,13,56,75,1,4,0,0,0
"delag.filt.hoa:146.1-224.7","Automaton for ((((p0) U (G(p2)))) R (((p0) R (X(p1)))))",3,13,56,75,2,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00901213,3,13,56,75,1,4,0,0,0
"delag.filt.hoa:146.1-224.7","Automaton for ((((p0) U (G(p2)))) R (((p0) R (X(p1)))))",3,13,56,75,2,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00980501,3,8,25,45,1,4,0,0,0
"delag.filt.hoa:225.1-320.7","Automaton for ((F(((p2) & (G(((G(!p1)) U (!p3))))))) | (F(((!p2) & (F(((F(p1)) R (p3))))))))",3,15,71,120,3,9,0,0,0,"autfilt %H > %O","ok",0,0.010978,3,15,71,120,3,9,0,0,0
"delag.filt.hoa:225.1-320.7","Automaton for ((F(((p2) & (G(((G(!p1)) U (!p3))))))) | (F(((!p2) & (F(((F(p1)) R (p3))))))))",3,15,71,120,3,9,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.770327,3,15,71,120,2,9,0,0,0
"delag.filt.hoa:225.1-320.7","Automaton for ((F(((p2) & (G(((G(!p1)) U (!p3))))))) | (F(((!p2) & (F(((F(p1)) R (p3))))))))",3,15,71,120,3,9,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00915586,3,15,71,120,3,9,0,0,0
"delag.filt.hoa:225.1-320.7","Automaton for ((F(((p2) & (G(((G(!p1)) U (!p3))))))) | (F(((!p2) & (F(((F(p1)) R (p3))))))))",3,15,71,120,3,9,0,0,0,"autfilt %H > %O --small","ok",0,0.0119243,3,11,54,88,3,8,0,0,0
"delag.filt.hoa:321.1-380.7","Automaton for X(X(F(((((((X(p0)) & (((!p2) R (F(!p0)))))) | (((X(!p0)) & (((p2) U (G(p0)))))))) R (!p0)))))",2,13,37,52,4,9,0,0,0,"autfilt %H > %O","ok",0,0.0136617,2,13,37,52,4,9,0,0,0
"delag.filt.hoa:321.1-380.7","Automaton for X(X(F(((((((X(p0)) & (((!p2) R (F(!p0)))))) | (((X(!p0)) & (((p2) U (G(p0)))))))) R (!p0)))))",2,13,37,52,4,9,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.649137,2,13,37,52,1,9,0,0,0
