"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"ltl2tgba.hoa:1.1-55.7","Xp1 R ((Gp1 R p2) W p3)",3,11,34,57,1,8,0,0,0,"autfilt %H > %O","ok",0,0.0209272,3,11,34,57,1,8,0,0,0
"ltl2tgba.hoa:1.1-55.7","Xp1 R ((Gp1 R p2) W p3)",3,11,34,57,1,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.616159,3,11,34,57,1,8,0,0,0
"ltl2tgba.hoa:1.1-55.7","Xp1 R ((Gp1 R p2) W p3)",3,11,34,57,1,8,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0090342,3,11,34,57,1,8,0,0,0
"ltl2tgba.hoa:1.1-55.7","Xp1 R ((Gp1 R p2) W p3)",3,11,34,57,1,8,0,0,0,"autfilt %H > %O --small","ok",0,0.00981891,3,11,34,57,1,8,0,0,0
"ltl2tgba.hoa:56.1-75.7","Fp3 | G!p2",2,3,6,12,1,3,0,0,0,"autfilt %H > %O","ok",0,0.00866886,2,3,6,12,1,3,0,0,0
"ltl2tgba.hoa:56.1-75.7","Fp3 | G!p2",2,3,6,12,1,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.604086,2,3,6,12,1,3,0,0,0
"ltl2tgba.hoa:56.1-75.7","Fp3 | G!p2",2,3,6,12,1,3,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00924342,2,3,6,12,1,3,0,0,0
"ltl2tgba.hoa:56.1-75.7","Fp3 | G!p2",2,3,6,12,1,3,0,0,0,"autfilt %H > %O --small","ok",0,0.00929421,2,3,6,12,1,3,0,0,0
"ltl2tgba.hoa:76.1-88.7","1",0,1,1,1,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00925728,0,1,1,1,1,1,0,0,0
"ltl2tgba.hoa:76.1-88.7","1",0,1,1,1,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.595499,0,1,1,1,0,1,0,0,0
"ltl2tgba.hoa:76.1-88.7","1",0,1,1,1,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0091452,0,1,1,1,0,1,0,0,0
"ltl2tgba.hoa:76.1-88.7","1",0,1,1,1,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00945367,0,1,1,1,1,1,0,0,0
"ltl2tgba.hoa:89.1-105.7","F(p0 R p1)",2,2,4,8,1,2,0,0,0,"autfilt %H > %O","ok",0,0.0135652,2,2,4,8,1,2,0,0,0
"ltl2tgba.hoa:89.1-105.7","F(p0 R p1)",2,2,4,8,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.636931,2,2,4,8,1,2,0,0,0
"ltl2tgba.hoa:89.1-105.7","F(p0 R p1)",2,2,4,8,1,2,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00918848,2,2,4,8,1,2,0,0,0
"ltl2tgba.hoa:89.1-105.7","F(p0 R p1)",2,2,4,8,1,2,0,0,0,"autfilt %H > %O --small","ok",0,0.00917626,2,2,4,8,1,2,0,0,0
"ltl2tgba.hoa:106.1-131.7","(FGp2 R !p2) | GFp1",2,4,11,16,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00927971,2,4,11,16,2,4,0,0,0
"ltl2tgba.hoa:106.1-131.7","(FGp2 R !p2) | GFp1",2,4,11,16,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.655489,2,4,11,16,2,4,0,0,0
"ltl2tgba.hoa:106.1-131.7","(FGp2 R !p2) | GFp1",2,4,11,16,2,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00877481,2,4,11,16,2,4,0,0,0
"ltl2tgba.hoa:106.1-131.7","(FGp2 R !p2) | GFp1",2,4,11,16,2,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00904055,2,4,10,16,2,4,0,0,0
"ltl2tgba.hoa:132.1-151.7","X(p3 & X(p3 W !p0))",2,4,5,13,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00903452,2,4,5,13,1,4,0,0,0
"ltl2tgba.hoa:132.1-151.7","X(p3 & X(p3 W !p0))",2,4,5,13,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.577925,2,4,5,13,1,4,0,0,0
"ltl2tgba.hoa:132.1-151.7","X(p3 & X(p3 W !p0))",2,4,5,13,1,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00909675,2,4,5,13,1,4,0,0,0
"ltl2tgba.hoa:132.1-151.7","X(p3 & X(p3 W !p0))",2,4,5,13,1,4,0,0,0,"autfilt %H > %O --small","ok",0,0.0260513,2,4,5,13,1,4,0,0,0
"ltl2tgba.hoa:152.1-167.7","Fp3",1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.014848,1,2,3,4,1,2,0,0,0
"ltl2tgba.hoa:152.1-167.7","Fp3",1,2,3,4,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.609657,1,2,3,4,1,2,0,0,0
"ltl2tgba.hoa:152.1-167.7","Fp3",1,2,3,4,1,2,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00875526,1,2,3,4,1,2,0,0,0
"ltl2tgba.hoa:152.1-167.7","Fp3",1,2,3,4,1,2,0,0,0,"autfilt %H > %O --small","ok",0,0.00894053,1,2,3,4,1,2,0,0,0
"ltl2tgba.hoa:168.1-179.7","0",0,1,0,0,0,1,0,0,0,"autfilt %H > %O","ok",0,0.00925895,0,1,0,0,0,1,0,0,0
"ltl2tgba.hoa:168.1-179.7","0",0,1,0,0,0,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.61916,0,1,0,0,0,1,0,0,0
"ltl2tgba.hoa:168.1-179.7","0",0,1,0,0,0,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00836113,0,1,0,0,0,1,0,0,0
"ltl2tgba.hoa:168.1-179.7","0",0,1,0,0,0,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00835234,0,1,0,0,0,1,0,0,0
