"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"ltl2tgba.filt.hoa:1.1-26.7","(FGp2 R !p2) | GFp1",2,4,11,16,2,4,0,0,0,"autfilt %H > %O","ok",0,0.0115373,2,4,11,16,2,4,0,0,0
"ltl2tgba.filt.hoa:1.1-26.7","(FGp2 R !p2) | GFp1",2,4,11,16,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.677716,2,4,11,16,2,4,0,0,0
"ltl2tgba.filt.hoa:1.1-26.7","(FGp2 R !p2) | GFp1",2,4,11,16,2,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0088919,2,4,11,16,2,4,0,0,0
"ltl2tgba.filt.hoa:1.1-26.7","(FGp2 R !p2) | GFp1",2,4,11,16,2,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00869719,2,4,10,16,2,4,0,0,0
"ltl2tgba.filt.hoa:27.1-129.7","X((Fp2 W Xp0) <-> (p2 <-> Fp3))",3,21,73,143,2,13,0,0,0,"autfilt %H > %O","ok",0,0.00916881,3,21,73,143,2,13,0,0,0
"ltl2tgba.filt.hoa:27.1-129.7","X((Fp2 W Xp0) <-> (p2 <-> Fp3))",3,21,73,143,2,13,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.785093,3,21,73,143,2,13,0,0,0
"ltl2tgba.filt.hoa:27.1-129.7","X((Fp2 W Xp0) <-> (p2 <-> Fp3))",3,21,73,143,2,13,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0121347,3,21,73,143,2,13,0,0,0
"ltl2tgba.filt.hoa:27.1-129.7","X((Fp2 W Xp0) <-> (p2 <-> Fp3))",3,21,73,143,2,13,0,0,0,"autfilt %H > %O --small","ok",0,0.0130275,3,21,73,143,2,13,0,0,0
"ltl2tgba.filt.hoa:130.1-226.7","F((!p2 & F(Fp1 R p3)) | (p2 & G(G!p1 U !p3)))",3,15,71,120,2,10,0,0,0,"autfilt %H > %O","ok",0,0.0141947,3,15,71,120,2,10,0,0,0
"ltl2tgba.filt.hoa:130.1-226.7","F((!p2 & F(Fp1 R p3)) | (p2 & G(G!p1 U !p3)))",3,15,71,120,2,10,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.771866,3,15,71,120,2,10,0,0,0
"ltl2tgba.filt.hoa:130.1-226.7","F((!p2 & F(Fp1 R p3)) | (p2 & G(G!p1 U !p3)))",3,15,71,120,2,10,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00912437,3,15,71,120,2,10,0,0,0
"ltl2tgba.filt.hoa:130.1-226.7","F((!p2 & F(Fp1 R p3)) | (p2 & G(G!p1 U !p3)))",3,15,71,120,2,10,0,0,0,"autfilt %H > %O --small","ok",0,0.0107822,3,15,71,120,2,10,0,0,0
