"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"ltl2tgba_det.hoa:1.1-55.7","Xp1 R ((Gp1 R p2) W p3)",3,11,34,57,1,8,0,0,0,"autfilt %H > %O","ok",0,0.00888522,3,11,34,57,1,8,0,0,0
"ltl2tgba_det.hoa:1.1-55.7","Xp1 R ((Gp1 R p2) W p3)",3,11,34,57,1,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.756934,3,11,34,57,1,8,0,0,0
"ltl2tgba_det.hoa:1.1-55.7","Xp1 R ((Gp1 R p2) W p3)",3,11,34,57,1,8,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00896616,3,11,34,57,1,8,0,0,0
"ltl2tgba_det.hoa:1.1-55.7","Xp1 R ((Gp1 R p2) W p3)",3,11,34,57,1,8,0,0,0,"autfilt %H > %O --small","ok",0,0.00989383,3,11,34,57,1,8,0,0,0
"ltl2tgba_det.hoa:56.1-75.7","Fp3 | G!p2",2,3,6,12,1,3,0,0,0,"autfilt %H > %O","ok",0,0.00873828,2,3,6,12,1,3,0,0,0
"ltl2tgba_det.hoa:56.1-75.7","Fp3 | G!p2",2,3,6,12,1,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.581299,2,3,6,12,1,3,0,0,0
"ltl2tgba_det.hoa:56.1-75.7","Fp3 | G!p2",2,3,6,12,1,3,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00883231,2,3,6,12,1,3,0,0,0
"ltl2tgba_det.hoa:56.1-75.7","Fp3 | G!p2",2,3,6,12,1,3,0,0,0,"autfilt %H > %O --small","ok",0,0.0089447,2,3,6,12,1,3,0,0,0
"ltl2tgba_det.hoa:76.1-88.7","1",0,1,1,1,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00863239,0,1,1,1,1,1,0,0,0
"ltl2tgba_det.hoa:76.1-88.7","1",0,1,1,1,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.564653,0,1,1,1,0,1,0,0,0
"ltl2tgba_det.hoa:76.1-88.7","1",0,1,1,1,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00855443,0,1,1,1,0,1,0,0,0
"ltl2tgba_det.hoa:76.1-88.7","1",0,1,1,1,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00898349,0,1,1,1,1,1,0,0,0
"ltl2tgba_det.hoa:89.1-105.7","F(p0 R p1)",2,2,4,8,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00872708,2,2,4,8,1,2,0,0,0
