"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"ltl3tela.hoa:1.1-41.7",,3,10,22,52,0,10,4,1,0,"autfilt %H > %O","ok",0,0.0123844,3,10,22,52,0,10,4,1,0
"ltl3tela.hoa:1.1-41.7",,3,10,22,52,0,10,4,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.593267,3,10,22,52,0,10,4,1,0
"ltl3tela.hoa:1.1-41.7",,3,10,22,52,0,10,4,1,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00877184,3,10,22,52,0,10,4,1,0
"ltl3tela.hoa:1.1-41.7",,3,10,22,52,0,10,4,1,0,"autfilt %H > %O --small","ok",0,0.0126838,3,10,22,52,0,10,4,1,0
"ltl3tela.hoa:42.1-60.7",,2,3,6,12,1,3,0,0,0,"autfilt %H > %O","ok",0,0.0114059,2,3,6,12,1,3,0,0,0
"ltl3tela.hoa:42.1-60.7",,2,3,6,12,1,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.575368,2,3,6,12,1,3,0,0,0
"ltl3tela.hoa:42.1-60.7",,2,3,6,12,1,3,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00868084,2,3,6,12,1,3,0,0,0
"ltl3tela.hoa:42.1-60.7",,2,3,6,12,1,3,0,0,0,"autfilt %H > %O --small","ok",0,0.00888661,2,3,6,12,1,3,0,0,0
"ltl3tela.hoa:61.1-72.7",,0,1,1,1,0,1,0,0,0,"autfilt %H > %O","ok",0,0.0116202,0,1,1,1,0,1,0,0,0
"ltl3tela.hoa:61.1-72.7",,0,1,1,1,0,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.571817,0,1,1,1,0,1,0,0,0
"ltl3tela.hoa:61.1-72.7",,0,1,1,1,0,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00864188,0,1,1,1,0,1,0,0,0
"ltl3tela.hoa:61.1-72.7",,0,1,1,1,0,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00822449,0,1,1,1,1,1,0,0,0
"ltl3tela.hoa:73.1-88.7",,2,2,4,8,1,2,0,0,0,"autfilt %H > %O","ok",0,0.0250194,2,2,4,8,1,2,0,0,0
"ltl3tela.hoa:73.1-88.7",,2,2,4,8,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.586123,2,2,4,8,1,2,0,0,0
"ltl3tela.hoa:73.1-88.7",,2,2,4,8,1,2,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00846194,2,2,4,8,1,2,0,0,0
"ltl3tela.hoa:73.1-88.7",,2,2,4,8,1,2,0,0,0,"autfilt %H > %O --small","ok",0,0.00872768,2,2,4,8,1,2,0,0,0
"ltl3tela.hoa:89.1-110.7",,2,3,10,14,2,3,1,1,0,"autfilt %H > %O","ok",0,0.00830333,2,3,10,14,2,3,1,1,0
"ltl3tela.hoa:89.1-110.7",,2,3,10,14,2,3,1,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.647896,2,3,10,14,2,3,1,1,0
"ltl3tela.hoa:89.1-110.7",,2,3,10,14,2,3,1,1,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0115961,2,3,10,14,2,3,1,1,0
"ltl3tela.hoa:89.1-110.7",,2,3,10,14,2,3,1,1,0,"autfilt %H > %O --small","ok",0,0.00979247,2,3,9,14,2,3,1,1,0
