"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"ltl3tela.filt.hoa:1.1-22.7",,2,3,10,14,2,3,1,1,0,"autfilt %H > %O","ok",0,0.027723,2,3,10,14,2,3,1,1,0
"ltl3tela.filt.hoa:1.1-22.7",,2,3,10,14,2,3,1,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.679571,2,3,10,14,2,3,1,1,0
"ltl3tela.filt.hoa:1.1-22.7",,2,3,10,14,2,3,1,1,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00898637,2,3,10,14,2,3,1,1,0
"ltl3tela.filt.hoa:1.1-22.7",,2,3,10,14,2,3,1,1,0,"autfilt %H > %O --small","ok",0,0.00907753,2,3,9,14,2,3,1,1,0
"ltl3tela.filt.hoa:23.1-53.7",,3,6,17,51,4,6,2,1,0,"autfilt %H > %O","ok",0,0.00879047,3,6,17,51,4,6,2,1,0
"ltl3tela.filt.hoa:23.1-53.7",,3,6,17,51,4,6,2,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.69126,3,6,17,51,2,6,2,1,0
"ltl3tela.filt.hoa:23.1-53.7",,3,6,17,51,4,6,2,1,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0092751,3,6,17,51,4,6,2,1,0
"ltl3tela.filt.hoa:23.1-53.7",,3,6,17,51,4,6,2,1,0,"autfilt %H > %O --small","ok",0,0.0125503,3,6,17,51,4,6,2,1,0
"ltl3tela.filt.hoa:54.1-92.7",,2,10,20,39,2,10,2,1,0,"autfilt %H > %O","ok",0,0.025702,2,10,20,39,2,10,2,1,0
"ltl3tela.filt.hoa:54.1-92.7",,2,10,20,39,2,10,2,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.697892,2,10,20,39,2,10,2,1,0
"ltl3tela.filt.hoa:54.1-92.7",,2,10,20,39,2,10,2,1,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00862381,2,10,20,39,2,10,2,1,0
"ltl3tela.filt.hoa:54.1-92.7",,2,10,20,39,2,10,2,1,0,"autfilt %H > %O --small","ok",0,0.0101035,2,10,20,37,2,10,2,1,0
"ltl3tela.filt.hoa:93.1-129.7",,2,8,20,30,2,7,3,1,0,"autfilt %H > %O","ok",0,0.00859645,2,8,20,30,2,7,3,1,0
"ltl3tela.filt.hoa:93.1-129.7",,2,8,20,30,2,7,3,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.662217,2,8,20,30,2,7,3,1,0
"ltl3tela.filt.hoa:93.1-129.7",,2,8,20,30,2,7,3,1,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0085843,2,8,20,30,2,7,3,1,0
"ltl3tela.filt.hoa:93.1-129.7",,2,8,20,30,2,7,3,1,0,"autfilt %H > %O --small","ok",0,0.00929519,2,8,20,30,2,7,3,1,0
"ltl3tela.filt.hoa:130.1-163.7",,3,6,20,50,3,4,3,1,0,"autfilt %H > %O","ok",0,0.00827152,3,6,20,50,3,4,3,1,0
"ltl3tela.filt.hoa:130.1-163.7",,3,6,20,50,3,4,3,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.669601,3,6,20,50,2,4,3,1,0
"ltl3tela.filt.hoa:130.1-163.7",,3,6,20,50,3,4,3,1,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00885799,3,6,20,50,3,4,3,1,0
"ltl3tela.filt.hoa:130.1-163.7",,3,6,20,50,3,4,3,1,0,"autfilt %H > %O --small","ok",0,0.00984465,3,6,18,49,3,4,3,1,0
"ltl3tela.filt.hoa:164.1-183.7",,2,3,8,16,5,3,1,1,0,"autfilt %H > %O","ok",0,0.0085264,2,3,8,16,5,3,1,1,0
"ltl3tela.filt.hoa:164.1-183.7",,2,3,8,16,5,3,1,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.673323,2,3,8,16,2,3,1,1,0
"ltl3tela.filt.hoa:164.1-183.7",,2,3,8,16,5,3,1,1,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00885465,2,3,8,16,3,3,1,1,0
