"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"ltl3tela_det.hoa:1.1-54.7",,3,11,34,57,1,8,0,0,0,"autfilt %H > %O","ok",0,0.00851059,3,11,34,57,1,8,0,0,0
"ltl3tela_det.hoa:1.1-54.7",,3,11,34,57,1,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.721492,3,11,34,57,1,8,0,0,0
"ltl3tela_det.hoa:1.1-54.7",,3,11,34,57,1,8,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00939526,3,11,34,57,1,8,0,0,0
"ltl3tela_det.hoa:1.1-54.7",,3,11,34,57,1,8,0,0,0,"autfilt %H > %O --small","ok",0,0.00974036,3,11,34,57,1,8,0,0,0
"ltl3tela_det.hoa:55.1-73.7",,2,3,6,12,1,3,0,0,0,"autfilt %H > %O","ok",0,0.00942552,2,3,6,12,1,3,0,0,0
"ltl3tela_det.hoa:55.1-73.7",,2,3,6,12,1,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.59398,2,3,6,12,1,3,0,0,0
"ltl3tela_det.hoa:55.1-73.7",,2,3,6,12,1,3,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00872942,2,3,6,12,1,3,0,0,0
"ltl3tela_det.hoa:55.1-73.7",,2,3,6,12,1,3,0,0,0,"autfilt %H > %O --small","ok",0,0.00862958,2,3,6,12,1,3,0,0,0
"ltl3tela_det.hoa:74.1-89.7",,2,2,4,8,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00867367,2,2,4,8,1,2,0,0,0
"ltl3tela_det.hoa:74.1-89.7",,2,2,4,8,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.543428,2,2,4,8,1,2,0,0,0
"ltl3tela_det.hoa:74.1-89.7",,2,2,4,8,1,2,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0085443,2,2,4,8,1,2,0,0,0
"ltl3tela_det.hoa:74.1-89.7",,2,2,4,8,1,2,0,0,0,"autfilt %H > %O --small","ok",0,0.0089549,2,2,4,8,1,2,0,0,0
"ltl3tela_det.hoa:90.1-112.7",,2,4,9,16,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00876978,2,4,9,16,2,4,0,0,0
"ltl3tela_det.hoa:90.1-112.7",,2,4,9,16,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.654781,2,4,9,16,2,4,0,0,0
"ltl3tela_det.hoa:90.1-112.7",,2,4,9,16,2,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00846949,2,4,9,16,2,4,0,0,0
"ltl3tela_det.hoa:90.1-112.7",,2,4,9,16,2,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00906652,2,4,9,16,2,4,0,0,0
"ltl3tela_det.hoa:113.1-130.7",,2,4,5,13,0,4,0,0,0,"autfilt %H > %O","ok",0,0.00843812,2,4,5,13,0,4,0,0,0
"ltl3tela_det.hoa:113.1-130.7",,2,4,5,13,0,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.58087,2,4,5,13,0,4,0,0,0
"ltl3tela_det.hoa:113.1-130.7",,2,4,5,13,0,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00891201,2,4,5,13,0,4,0,0,0
"ltl3tela_det.hoa:113.1-130.7",,2,4,5,13,0,4,0,0,0,"autfilt %H > %O --small","ok",0,0.0108353,2,4,5,13,1,4,0,0,0
"ltl3tela_det.hoa:131.1-145.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00962215,1,2,3,4,1,2,0,0,0
"ltl3tela_det.hoa:131.1-145.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.574661,1,2,3,4,1,2,0,0,0
"ltl3tela_det.hoa:131.1-145.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00857354,1,2,3,4,1,2,0,0,0
"ltl3tela_det.hoa:131.1-145.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O --small","ok",0,0.00867254,1,2,3,4,1,2,0,0,0
"ltl3tela_det.hoa:146.1-193.7",,3,10,29,61,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00847722,3,10,29,61,1,4,0,0,0
"ltl3tela_det.hoa:146.1-193.7",,3,10,29,61,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.582843,3,10,29,61,1,4,0,0,0
"ltl3tela_det.hoa:146.1-193.7",,3,10,29,61,1,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00932456,3,10,29,61,1,4,0,0,0
"ltl3tela_det.hoa:146.1-193.7",,3,10,29,61,1,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00940296,3,10,29,61,1,4,0,0,0
"ltl3tela_det.hoa:194.1-205.7",,1,1,1,1,0,1,0,0,0,"autfilt %H > %O","ok",0,0.00815988,1,1,1,1,0,1,0,0,0
"ltl3tela_det.hoa:194.1-205.7",,1,1,1,1,0,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.587283,1,1,1,1,0,1,0,0,0
"ltl3tela_det.hoa:194.1-205.7",,1,1,1,1,0,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0080098,1,1,1,1,0,1,0,0,0
"ltl3tela_det.hoa:194.1-205.7",,1,1,1,1,0,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00823954,1,1,1,1,1,1,0,0,0
"ltl3tela_det.hoa:206.1-308.7",,3,21,73,143,2,13,0,0,0,"autfilt %H > %O","ok",0,0.00850929,3,21,73,143,2,13,0,0,0
"ltl3tela_det.hoa:206.1-308.7",,3,21,73,143,2,13,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.755069,3,21,73,143,2,13,0,0,0
"ltl3tela_det.hoa:206.1-308.7",,3,21,73,143,2,13,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00898082,3,21,73,143,2,13,0,0,0
"ltl3tela_det.hoa:206.1-308.7",,3,21,73,143,2,13,0,0,0,"autfilt %H > %O --small","ok",0,0.0103308,3,21,73,143,2,13,0,0,0
"ltl3tela_det.hoa:309.1-324.7",,3,2,4,16,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00905321,3,2,4,16,1,1,0,0,0
"ltl3tela_det.hoa:309.1-324.7",,3,2,4,16,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.578744,3,2,4,16,1,1,0,0,0
"ltl3tela_det.hoa:309.1-324.7",,3,2,4,16,1,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00885575,3,2,4,16,1,1,0,0,0
"ltl3tela_det.hoa:309.1-324.7",,3,2,4,16,1,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00884805,3,2,4,16,1,1,0,0,0
"ltl3tela_det.hoa:325.1-342.7",,3,3,5,14,1,3,0,0,0,"autfilt %H > %O","ok",0,0.00856385,3,3,5,14,1,3,0,0,0
"ltl3tela_det.hoa:325.1-342.7",,3,3,5,14,1,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.56838,3,3,5,14,1,3,0,0,0
"ltl3tela_det.hoa:325.1-342.7",,3,3,5,14,1,3,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00826057,3,3,5,14,1,3,0,0,0
"ltl3tela_det.hoa:325.1-342.7",,3,3,5,14,1,3,0,0,0,"autfilt %H > %O --small","ok",0,0.00836981,3,3,5,14,1,3,0,0,0
"ltl3tela_det.hoa:343.1-379.7",,3,7,21,43,1,5,0,0,0,"autfilt %H > %O","ok",0,0.00806595,3,7,21,43,1,5,0,0,0
"ltl3tela_det.hoa:343.1-379.7",,3,7,21,43,1,5,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.556668,3,7,21,43,1,5,0,0,0
"ltl3tela_det.hoa:343.1-379.7",,3,7,21,43,1,5,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00877962,3,7,21,43,1,5,0,0,0
"ltl3tela_det.hoa:343.1-379.7",,3,7,21,43,1,5,0,0,0,"autfilt %H > %O --small","ok",0,0.00918827,3,7,21,43,1,5,0,0,0
"ltl3tela_det.hoa:380.1-396.7",,2,4,4,7,0,4,0,0,0,"autfilt %H > %O","ok",0,0.00825396,2,4,4,7,0,4,0,0,0
"ltl3tela_det.hoa:380.1-396.7",,2,4,4,7,0,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.575045,2,4,4,7,0,4,0,0,0
"ltl3tela_det.hoa:380.1-396.7",,2,4,4,7,0,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00906919,2,4,4,7,0,4,0,0,0
"ltl3tela_det.hoa:380.1-396.7",,2,4,4,7,0,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00870385,2,4,4,7,1,4,0,0,0
"ltl3tela_det.hoa:397.1-438.7",,3,8,25,45,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00838786,3,8,25,45,1,4,0,0,0
"ltl3tela_det.hoa:397.1-438.7",,3,8,25,45,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.582912,3,8,25,45,1,4,0,0,0
"ltl3tela_det.hoa:397.1-438.7",,3,8,25,45,1,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00832821,3,8,25,45,1,4,0,0,0
"ltl3tela_det.hoa:397.1-438.7",,3,8,25,45,1,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00921598,3,8,25,45,1,4,0,0,0
"ltl3tela_det.hoa:439.1-475.7",,3,8,19,47,1,8,0,0,0,"autfilt %H > %O","ok",0,0.00842097,3,8,19,47,1,8,0,0,0
"ltl3tela_det.hoa:439.1-475.7",,3,8,19,47,1,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.599657,3,8,19,47,1,8,0,0,0
"ltl3tela_det.hoa:439.1-475.7",,3,8,19,47,1,8,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00840147,3,8,19,47,1,8,0,0,0
"ltl3tela_det.hoa:439.1-475.7",,3,8,19,47,1,8,0,0,0,"autfilt %H > %O --small","ok",0,0.00875848,3,8,19,47,1,8,0,0,0
"ltl3tela_det.hoa:476.1-495.7",,3,4,6,32,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00833874,3,4,6,32,1,4,0,0,0
"ltl3tela_det.hoa:476.1-495.7",,3,4,6,32,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.629676,3,4,6,32,1,4,0,0,0
"ltl3tela_det.hoa:476.1-495.7",,3,4,6,32,1,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0081934,3,4,6,32,1,4,0,0,0
"ltl3tela_det.hoa:476.1-495.7",,3,4,6,32,1,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00890951,3,4,6,32,1,4,0,0,0
"ltl3tela_det.hoa:496.1-515.7",,2,4,6,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00887478,2,4,6,16,1,4,0,0,0
"ltl3tela_det.hoa:496.1-515.7",,2,4,6,16,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.607487,2,4,6,16,1,4,0,0,0
