"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"ltl3tela_det.filt.hoa:1.1-23.7",,2,4,9,16,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00837317,2,4,9,16,2,4,0,0,0
"ltl3tela_det.filt.hoa:1.1-23.7",,2,4,9,16,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.640335,2,4,9,16,2,4,0,0,0
"ltl3tela_det.filt.hoa:1.1-23.7",,2,4,9,16,2,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00854057,2,4,9,16,2,4,0,0,0
"ltl3tela_det.filt.hoa:1.1-23.7",,2,4,9,16,2,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00888795,2,4,9,16,2,4,0,0,0
"ltl3tela_det.filt.hoa:24.1-126.7",,3,21,73,143,2,13,0,0,0,"autfilt %H > %O","ok",0,0.00860926,3,21,73,143,2,13,0,0,0
"ltl3tela_det.filt.hoa:24.1-126.7",,3,21,73,143,2,13,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.749895,3,21,73,143,2,13,0,0,0
"ltl3tela_det.filt.hoa:24.1-126.7",,3,21,73,143,2,13,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00873348,3,21,73,143,2,13,0,0,0
"ltl3tela_det.filt.hoa:24.1-126.7",,3,21,73,143,2,13,0,0,0,"autfilt %H > %O --small","ok",0,0.0100058,3,21,73,143,2,13,0,0,0
"ltl3tela_det.filt.hoa:127.1-184.7",,3,9,39,72,2,5,0,0,0,"autfilt %H > %O","ok",0,0.00818388,3,9,39,72,2,5,0,0,0
"ltl3tela_det.filt.hoa:127.1-184.7",,3,9,39,72,2,5,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.736614,3,9,39,72,2,5,0,0,0
"ltl3tela_det.filt.hoa:127.1-184.7",,3,9,39,72,2,5,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00909428,3,9,39,72,2,5,0,0,0
"ltl3tela_det.filt.hoa:127.1-184.7",,3,9,39,72,2,5,0,0,0,"autfilt %H > %O --small","ok",0,0.00966135,3,9,39,72,2,5,0,0,0
"ltl3tela_det.filt.hoa:185.1-231.7",,2,9,28,36,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00881217,2,9,28,36,2,4,0,0,0
"ltl3tela_det.filt.hoa:185.1-231.7",,2,9,28,36,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.714436,2,9,28,36,2,4,0,0,0
"ltl3tela_det.filt.hoa:185.1-231.7",,2,9,28,36,2,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00870114,2,9,28,36,2,4,0,0,0
"ltl3tela_det.filt.hoa:185.1-231.7",,2,9,28,36,2,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00955631,2,9,28,36,2,4,0,0,0
"ltl3tela_det.filt.hoa:232.1-261.7",,3,5,15,40,3,4,0,0,0,"autfilt %H > %O","ok",0,0.0262233,3,5,15,40,3,4,0,0,0
"ltl3tela_det.filt.hoa:232.1-261.7",,3,5,15,40,3,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.71381,3,5,15,40,3,4,0,0,0
"ltl3tela_det.filt.hoa:232.1-261.7",,3,5,15,40,3,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00857263,3,5,15,40,3,4,0,0,0
"ltl3tela_det.filt.hoa:232.1-261.7",,3,5,15,40,3,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00895738,3,5,15,40,3,4,0,0,0
"ltl3tela_det.filt.hoa:262.1-283.7",,2,4,9,16,3,4,0,0,0,"autfilt %H > %O","ok",0,0.00817365,2,4,9,16,3,4,0,0,0
"ltl3tela_det.filt.hoa:262.1-283.7",,2,4,9,16,3,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.670457,2,4,9,16,2,4,0,0,0
"ltl3tela_det.filt.hoa:262.1-283.7",,2,4,9,16,3,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00872901,2,4,9,16,3,4,0,0,0
"ltl3tela_det.filt.hoa:262.1-283.7",,2,4,9,16,3,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00917552,2,4,9,16,3,4,0,0,0
"ltl3tela_det.filt.hoa:284.1-298.7",,2,1,4,4,2,1,0,0,0,"autfilt %H > %O","ok",0,0.00836515,2,1,4,4,2,1,0,0,0
"ltl3tela_det.filt.hoa:284.1-298.7",,2,1,4,4,2,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.630283,2,1,4,4,2,1,0,0,0
"ltl3tela_det.filt.hoa:284.1-298.7",,2,1,4,4,2,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00854018,2,1,4,4,2,1,0,0,0
"ltl3tela_det.filt.hoa:284.1-298.7",,2,1,4,4,2,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00888067,2,1,4,4,2,1,0,0,0
"ltl3tela_det.filt.hoa:299.1-326.7",,3,5,13,40,2,3,0,0,0,"autfilt %H > %O","ok",0,0.00888684,3,5,13,40,2,3,0,0,0
"ltl3tela_det.filt.hoa:299.1-326.7",,3,5,13,40,2,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.66104,3,5,13,40,2,3,0,0,0
"ltl3tela_det.filt.hoa:299.1-326.7",,3,5,13,40,2,3,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00848926,3,5,13,40,2,3,0,0,0
"ltl3tela_det.filt.hoa:299.1-326.7",,3,5,13,40,2,3,0,0,0,"autfilt %H > %O --small","ok",0,0.00892068,3,5,13,40,2,3,0,0,0
"ltl3tela_det.filt.hoa:327.1-348.7",,3,4,9,28,2,3,0,0,0,"autfilt %H > %O","ok",0,0.00883965,3,4,9,28,2,3,0,0,0
"ltl3tela_det.filt.hoa:327.1-348.7",,3,4,9,28,2,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.641845,3,4,9,28,2,3,0,0,0
"ltl3tela_det.filt.hoa:327.1-348.7",,3,4,9,28,2,3,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00838468,3,4,9,28,2,3,0,0,0
"ltl3tela_det.filt.hoa:327.1-348.7",,3,4,9,28,2,3,0,0,0,"autfilt %H > %O --small","ok",0,0.0142569,3,4,9,28,2,3,0,0,0
"ltl3tela_det.filt.hoa:349.1-366.7",,3,2,7,13,2,1,0,0,0,"autfilt %H > %O","ok",0,0.00939317,3,2,7,13,2,1,0,0,0
"ltl3tela_det.filt.hoa:349.1-366.7",,3,2,7,13,2,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.638514,3,2,7,13,1,1,0,0,0
"ltl3tela_det.filt.hoa:349.1-366.7",,3,2,7,13,2,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00853911,3,2,7,13,2,1,0,0,0
"ltl3tela_det.filt.hoa:349.1-366.7",,3,2,7,13,2,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00879367,3,2,7,13,2,1,0,0,0
"ltl3tela_det.filt.hoa:367.1-403.7",,2,6,22,24,4,2,0,0,0,"autfilt %H > %O","ok",0,0.00836277,2,6,22,24,4,2,0,0,0
"ltl3tela_det.filt.hoa:367.1-403.7",,2,6,22,24,4,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,5.69221,2,6,22,24,2,2,0,0,0
"ltl3tela_det.filt.hoa:367.1-403.7",,2,6,22,24,4,2,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00833306,2,6,22,24,4,2,0,0,0
"ltl3tela_det.filt.hoa:367.1-403.7",,2,6,22,24,4,2,0,0,0,"autfilt %H > %O --small","ok",0,0.00862083,2,6,22,24,4,2,0,0,0
