"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"rab4.hoa:1.1-70.7",,3,14,46,72,4,10,0,0,0,"autfilt %H > %O","ok",0,0.00880386,3,14,46,72,4,10,0,0,0
"rab4.hoa:1.1-70.7",,3,14,46,72,4,10,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.703795,3,14,46,72,0,10,0,0,0
"rab4.hoa:1.1-70.7",,3,14,46,72,4,10,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.0158989,3,14,46,72,1,10,0,0,0
"rab4.hoa:1.1-70.7",,3,14,46,72,4,10,0,0,0,"autfilt %H > %O --small","ok",0,0.0118758,3,11,34,57,1,8,0,0,0
"rab4.hoa:71.1-89.7",,2,3,6,12,2,3,0,0,0,"autfilt %H > %O","ok",0,0.0104635,2,3,6,12,2,3,0,0,0
"rab4.hoa:71.1-89.7",,2,3,6,12,2,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.572597,2,3,6,12,1,3,0,0,0
"rab4.hoa:71.1-89.7",,2,3,6,12,2,3,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00832103,2,3,6,12,1,3,0,0,0
"rab4.hoa:71.1-89.7",,2,3,6,12,2,3,0,0,0,"autfilt %H > %O --small","ok",0,0.00816895,2,3,6,12,1,3,0,0,0
"rab4.hoa:90.1-101.7",,0,1,1,1,2,1,0,0,0,"autfilt %H > %O","ok",0,0.0085729,0,1,1,1,2,1,0,0,0
"rab4.hoa:90.1-101.7",,0,1,1,1,2,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.548541,0,1,1,1,0,1,0,0,0
"rab4.hoa:90.1-101.7",,0,1,1,1,2,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00846698,0,1,1,1,0,1,0,0,0
"rab4.hoa:90.1-101.7",,0,1,1,1,2,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00828883,0,1,1,1,1,1,0,0,0
"rab4.hoa:102.1-117.7",,2,2,4,8,2,2,0,0,0,"autfilt %H > %O","ok",0,0.00848877,2,2,4,8,2,2,0,0,0
"rab4.hoa:102.1-117.7",,2,2,4,8,2,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.600826,2,2,4,8,1,2,0,0,0
"rab4.hoa:102.1-117.7",,2,2,4,8,2,2,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00894729,2,2,4,8,2,2,0,0,0
"rab4.hoa:102.1-117.7",,2,2,4,8,2,2,0,0,0,"autfilt %H > %O --small","ok",0,0.00902422,2,2,4,8,1,2,0,0,0
"rab4.hoa:118.1-141.7",,2,4,10,16,4,4,0,0,0,"autfilt %H > %O","ok",0,0.00905973,2,4,10,16,4,4,0,0,0
"rab4.hoa:118.1-141.7",,2,4,10,16,4,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.656764,2,4,10,16,2,4,0,0,0
"rab4.hoa:118.1-141.7",,2,4,10,16,4,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00833802,2,4,10,16,3,4,0,0,0
"rab4.hoa:118.1-141.7",,2,4,10,16,4,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00848926,2,4,9,16,3,4,0,0,0
"rab4.hoa:142.1-160.7",,2,4,5,13,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00853076,2,4,5,13,2,4,0,0,0
"rab4.hoa:142.1-160.7",,2,4,5,13,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.606959,2,4,5,13,0,4,0,0,0
"rab4.hoa:142.1-160.7",,2,4,5,13,2,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00840544,2,4,5,13,1,4,0,0,0
"rab4.hoa:142.1-160.7",,2,4,5,13,2,4,0,0,0,"autfilt %H > %O --small","ok",0,0.00886243,2,4,5,13,1,4,0,0,0
"rab4.hoa:161.1-178.7",,2,3,5,12,2,3,0,0,0,"autfilt %H > %O","ok",0,0.00866535,2,3,5,12,2,3,0,0,0
"rab4.hoa:161.1-178.7",,2,3,5,12,2,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.613943,2,3,5,12,1,3,0,0,0
"rab4.hoa:161.1-178.7",,2,3,5,12,2,3,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00911034,2,3,5,12,1,3,0,0,0
