"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"rab4.filt.hoa:1.1-69.7",,3,14,46,72,4,10,0,0,0,"autfilt %H > %O","ok",0,0.00847575,3,14,46,72,4,10,0,0,0
"rab4.filt.hoa:1.1-69.7",,3,14,46,72,4,10,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.639515,3,14,46,72,0,10,0,0,0
"rab4.filt.hoa:1.1-69.7",,3,14,46,72,4,10,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00847951,3,14,46,72,1,10,0,0,0
"rab4.filt.hoa:1.1-69.7",,3,14,46,72,4,10,0,0,0,"autfilt %H > %O --small","ok",0,0.00894064,3,11,34,57,1,8,0,0,0
"rab4.filt.hoa:70.1-88.7",,2,3,6,12,2,3,0,0,0,"autfilt %H > %O","ok",0,0.00838838,2,3,6,12,2,3,0,0,0
"rab4.filt.hoa:70.1-88.7",,2,3,6,12,2,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.566537,2,3,6,12,1,3,0,0,0
"rab4.filt.hoa:70.1-88.7",,2,3,6,12,2,3,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00827666,2,3,6,12,1,3,0,0,0
"rab4.filt.hoa:70.1-88.7",,2,3,6,12,2,3,0,0,0,"autfilt %H > %O --small","ok",0,0.00850122,2,3,6,12,1,3,0,0,0
"rab4.filt.hoa:89.1-100.7",,0,1,1,1,2,1,0,0,0,"autfilt %H > %O","ok",0,0.00809501,0,1,1,1,2,1,0,0,0
"rab4.filt.hoa:89.1-100.7",,0,1,1,1,2,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.607069,0,1,1,1,0,1,0,0,0
"rab4.filt.hoa:89.1-100.7",,0,1,1,1,2,1,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00830425,0,1,1,1,0,1,0,0,0
"rab4.filt.hoa:89.1-100.7",,0,1,1,1,2,1,0,0,0,"autfilt %H > %O --small","ok",0,0.00861338,0,1,1,1,1,1,0,0,0
"rab4.filt.hoa:101.1-116.7",,2,2,4,8,2,2,0,0,0,"autfilt %H > %O","ok",0,0.00836789,2,2,4,8,2,2,0,0,0
"rab4.filt.hoa:101.1-116.7",,2,2,4,8,2,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.631991,2,2,4,8,1,2,0,0,0
"rab4.filt.hoa:101.1-116.7",,2,2,4,8,2,2,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00828138,2,2,4,8,2,2,0,0,0
"rab4.filt.hoa:101.1-116.7",,2,2,4,8,2,2,0,0,0,"autfilt %H > %O --small","ok",0,0.00830591,2,2,4,8,1,2,0,0,0
"rab4.filt.hoa:117.1-140.7",,2,4,10,16,4,4,0,0,0,"autfilt %H > %O","ok",0,0.00820176,2,4,10,16,4,4,0,0,0
"rab4.filt.hoa:117.1-140.7",,2,4,10,16,4,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.663339,2,4,10,16,2,4,0,0,0
"rab4.filt.hoa:117.1-140.7",,2,4,10,16,4,4,0,0,0,"autfilt %H > %O --simplify-acceptance","ok",0,0.00837345,2,4,10,16,3,4,0,0,0
"rab4.filt.hoa:117.1-140.7",,2,4,10,16,4,4,0,0,0,"autfilt %H > %O --small","ok",0,0.0084891,2,4,9,16,3,4,0,0,0
"rab4.filt.hoa:141.1-158.7",,2,4,5,13,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00813563,2,4,5,13,2,4,0,0,0
