"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"(X(p1)) R (((G(p1)) R (p2)) W (p3))","ltl2tgba_det","ok",0,0.0101758,11,34,57,1,8,0,0,0,"HOA: v1 name: ""Xp1 R ((Gp1 R p2) W p3)"" States: 11 Start: 1 AP: 3 ""p2"" ""p1"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [t] 0 State: 1 [2] 2 [0&1&!2] 4 [0&!1&!2] 6 State: 2 {0} [1] 0 [!1&2] 2 [0&!1&!2] 6 State: 3 {0} [0&!1&2] 3 [0&!1&!2] 6 [0&1] 10 State: 4 [0&!1&2] 3 [0&1&!2] 5 [0&!1&!2] 6 [!0&1&2] 8 [0&1&2] 10 State: 5 {0} [0&1&!2] 5 [0&!1&!2] 7 [!0&1&2] 8 [0&!1&2] 9 [0&1&2] 10 State: 6 {0} [0&!1&2] 3 [0&1&!2] 5 [0&!1&!2] 6 [0&1&2] 10 State: 7 {0} [0&1&!2] 5 [0&!1&!2] 7 [0&!1&2] 9 [0&1&2] 10 State: 8 {0} [1] 8 State: 9 {0} [0&!1] 9 [0&1] 10 State: 10 {0} [!0&1] 8 [0&!1] 9 [0&1] 10 --END--"
"(F(p3)) | (G(!(p2)))","ltl2tgba_det","ok",0,0.00944761,3,6,12,1,3,0,0,1,"HOA: v1 name: ""Fp3 | G!p2"" States: 3 Start: 2 AP: 2 ""p3"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant very-weak --BODY-- State: 0 [!0] 0 [0] 1 State: 1 {0} [t] 1 State: 2 {0} [!0&1] 0 [0] 1 [!0&!1] 2 --END--"
"1","ltl2tgba_det","ok",0,0.00822793,1,1,1,1,1,0,0,1,"HOA: v1 name: ""1"" States: 1 Start: 0 AP: 0 acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored complete deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 --END--"
"F((p0) R (p1))","ltl2tgba_det","ok",0,0.00909368,2,4,8,1,2,0,0,1,"HOA: v1 name: ""F(p0 R p1)"" States: 2 Start: 0 AP: 2 ""p1"" ""p0"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&!1] 0 [!0] 0 {0} [0&1] 1 State: 1 [t] 1 --END--"
"((F(G(p2))) R (!(p2))) | (G(F(p1)))","ltl2tgba_det","ok",0,0.00994288,4,10,16,2,4,0,0,1,"HOA: v1 name: ""(FGp2 R !p2) | GFp1"" States: 4 Start: 0 AP: 2 ""p2"" ""p1"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0] 1 [0] 2 State: 1 [!0&!1] 1 [!0&1] 1 {1} [0] 3 State: 2 [!1] 2 {0} [1] 2 {1} State: 3 [0&!1] 3 [!0&!1] 3 {0} [1] 3 {1} --END--"
"X((p3) & (X((p3) W (!(p0)))))","ltl2tgba_det","ok",0,0.00906122,4,5,13,1,4,0,0,0,"HOA: v1 name: ""X(p3 & X(p3 W !p0))"" States: 4 Start: 3 AP: 2 ""p3"" ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 [0] 1 State: 1 {0} [0&1] 1 [!1] 2 State: 2 {0} [t] 2 State: 3 [t] 0 --END--"
"F(p3)","ltl2tgba_det","ok",0,0.00909938,2,3,4,1,2,0,0,1,"HOA: v1 name: ""Fp3"" States: 2 Start: 1 AP: 1 ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 --END--"
"0","ltl2tgba_det","ok",0,0.00861772,1,0,0,0,1,0,0,0,"HOA: v1 name: ""0"" States: 1 Start: 0 AP: 0 acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic stutter-invariant terminal --BODY-- State: 0 --END--"
"X(X(G(((X(!(p1))) U ((!(p0)) M (!(p3)))) | (X(G(p0))))))","ltl2tgba_det","ok",0,0.0127036,10,29,61,1,4,0,0,0,"HOA: v1 name: ""XXG((X!p1 U (!p0 M !p3)) | XGp0)"" States: 10 Start: 0 AP: 3 ""p3"" ""p0"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [t] 2 State: 2 [!0&!1] 2 {0} [!0&1] 3 [0] 4 State: 3 [!0&!1] 2 {0} [!0&1&!2] 3 {0} [0&1&!2] 4 {0} [!0&1&2] 5 [0&!1&!2] 6 [0&1&2] 7 State: 4 [!0&!1&!2] 2 {0} [!0&1&!2] 3 {0} [0&1&!2] 4 {0} [0&!1&!2] 6 [1&2] 7 State: 5 [!0&!1] 2 {0} [!0&1] 5 {0} [0&1] 7 State: 6 [!0&!1&!2] 2 {0} [0&!2] 6 [!0&1&!2] 8 State: 7 [1] 7 {0} State: 8 [!0&!1] 2 {0} [0&!2] 6 [!0&1&!2] 8 [!0&1&2] 9 State: 9 [!0&!1] 2 {0} [!0&1] 9 --END--"
"G(p0)","ltl2tgba_det","ok",0,0.00961304,1,1,1,1,1,0,0,0,"HOA: v1 name: ""Gp0"" States: 1 Start: 0 AP: 1 ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [0] 0 --END--"
"X(((F(p2)) W (X(p0))) <-> ((p2) <-> (F(p3))))","ltl2tgba_det","ok",0,0.0132534,21,73,143,2,13,0,0,0,"HOA: v1 name: ""X((Fp2 W Xp0) <-> (p2 <-> Fp3))"" States: 21 Start: 20 AP: 3 ""p2"" ""p3"" ""p0"" Acceptance: 2 (Inf(0)&Inf(1)) | (Fin(0) & Fin(1)) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&1] 1 [!0&!1] 2 [0&!1] 3 [!0&1] 4 State: 1 [0&!2] 1 {0 1} [!0&!2] 5 {0} [2] 6 State: 2 [0&!1&!2] 7 {0 1} [!0&!1&!2] 8 {0} [!1&2] 9 [0&1&!2] 10 [!0&1&!2] 11 State: 3 [0&1&!2] 1 [0&!1&!2] 3 {1} [!0&1&!2] 5 [1&2] 6 [!0&!1&!2] 12 [!1&2] 13 State: 4 [0&!2] 10 {1} [!0&!2] 11 State: 5 [0&!2] 1 {0 1} [2] 6 [!0&!2] 14 {0} State: 6 [t] 6 {0 1} State: 7 [!0&!1&!2] 2 {0} [!0&1&!2] 4 [0&!1&!2] 7 {0 1} [!1&2] 9 [0&1&!2] 10 State: 8 [0&!1&!2] 7 {0 1} [!0&!1&!2] 8 {0} [0&!1&2] 9 [0&1&!2] 10 [!0&1&!2] 11 [!0&!1&2] 15 [!0&1&2] 16 State: 9 [!1] 9 {0 1} State: 10 [!0&!2] 4 [0&!2] 10 {1} State: 11 [0&!2] 10 {1} [!0&!2] 11 [!0&2] 16 State: 12 [0&1&!2] 1 [0&!1&!2] 3 {1} [1&2] 6 [!1&2] 13 [!0&1&!2] 14 [!0&!1&!2] 17 State: 13 [1] 6 [!1] 13 {1} State: 14 [0&!2] 1 {0 1} [0&2] 6 [!0&!2] 14 {0} [!0&2] 18 State: 15 [0&!1] 9 [!0&!1] 15 {0} [!0&1] 16 State: 16 [!0] 16 State: 17 [0&1&!2] 1 [0&!1&!2] 3 {1} [0&1&2] 6 [0&!1&2] 13 [!0&1&!2] 14 [!0&!1&!2] 17 [!0&1&2] 18 [!0&!1&2] 19 State: 18 [0] 6 [!0] 18 {0} State: 19 [0&1] 6 [0&!1] 13 [!0&1] 18 [!0&!1] 19 State: 20 [t] 0 --END--"
"F(((p1) | (p2)) & (G(!(p0))))","ltl2tgba_det","ok",0,0.0103031,2,4,16,1,1,0,0,1,"HOA: v1 name: ""F((p1 | p2) & G!p0)"" States: 2 Start: 0 AP: 3 ""p1"" ""p2"" ""p0"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&!1 | 2] 0 {0} [0&!2 | 1&!2] 1 State: 1 [2] 0 {0} [!2] 1 --END--"
"(p3) M (G(((p0) | (p2)) & (X(p2))))","ltl2tgba_det","ok",0,0.0101586,3,5,14,1,3,0,0,0,"HOA: v1 name: ""p3 M G((p0 | p2) & Xp2)"" States: 3 Start: 2 AP: 3 ""p0"" ""p2"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 {0} [1] 0 State: 1 [1&2] 0 [1&!2] 1 State: 2 [0&2 | 1&2] 0 [0&!2 | 1&!2] 1 --END--"
"((X(p0)) | (G((G(p1)) | (X(p2))))) W (p2)","ltl2tgba_det","ok",0,0.0107647,7,21,43,1,5,0,0,0,"HOA: v1 name: ""(Xp0 | G(Gp1 | Xp2)) W p2"" States: 7 Start: 5 AP: 3 ""p1"" ""p2"" ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [!0&1] 0 [0&1] 3 State: 1 {0} [!0&1&!2] 0 [!0&!1&2] 1 [0&!1&2] 2 [0&1&!2] 3 [1&2] 4 State: 2 {0} [!0&1&!2] 0 [!0&!1&2] 1 [0&!1&2] 2 [0&1&!2] 3 [1&2] 4 [0&!1&!2] 6 State: 3 {0} [!0&1] 0 [0&1] 3 [0&!1] 6 State: 4 {0} [t] 4 State: 5 [!0&!1] 1 [0&!1] 2 [1] 4 State: 6 {0} [0] 6 --END--"
