"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"(X(p1)) R (((G(p1)) R (p2)) W (p3))","ltl3tela_det","ok",0,0.0113942,11,34,57,1,8,0,0,0,"HOA: v1 States: 11 Start: 1 AP: 3 ""p1"" ""p3"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [t] 0 State: 1 [1] 2 [0&!1&2] 4 [!0&!1&2] 6 State: 2 {0} [0] 0 [!0&1] 2 [!0&!1&2] 6 State: 3 {0} [!0&1&2] 3 [!0&!1&2] 6 [0&2] 10 State: 4 [!0&1&2] 3 [0&!1&2] 5 [!0&!1&2] 6 [0&1&!2] 9 [0&1&2] 10 State: 5 {0} [0&!1&2] 5 [!0&!1&2] 7 [!0&1&2] 8 [0&1&!2] 9 [0&1&2] 10 State: 6 {0} [!0&1&2] 3 [0&!1&2] 5 [!0&!1&2] 6 [0&1&2] 10 State: 7 {0} [0&!1&2] 5 [!0&!1&2] 7 [!0&1&2] 8 [0&1&2] 10 State: 8 {0} [!0&2] 8 [0&2] 10 State: 9 {0} [0] 9 State: 10 {0} [!0&2] 8 [0&!2] 9 [0&2] 10 --END--"
"(F(p3)) | (G(!(p2)))","ltl3tela_det","ok",0,0.00497321,3,6,12,1,3,0,0,1,"HOA: v1 States: 3 Start: 2 AP: 2 ""p3"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic very-weak --BODY-- State: 0 [!0] 0 [0] 1 State: 1 {0} [t] 1 State: 2 {0} [!0&1] 0 [0] 1 [!0&!1] 2 --END--"
"F((p0) R (p1))","ltl3tela_det","ok",0,0.0052761,2,4,8,1,2,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""p0"" ""p1"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&1] 0 [!1] 0 {0} [0&1] 1 State: 1 [t] 1 --END--"
"((F(G(p2))) R (!(p2))) | (G(F(p1)))","ltl3tela_det","ok",0,0.00798526,4,9,16,2,4,0,0,1,"HOA: v1 States: 4 Start: 0 AP: 2 ""p2"" ""p1"" acc-name: parity min even 2 Acceptance: 2 Inf(0) | Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 1 [0] 2 State: 1 [!0] 1 [0] 3 State: 2 [1] 2 {0} [!1] 2 {1} State: 3 [0&!1] 3 [1] 3 {0} [!0&!1] 3 {1} --END--"
"X((p3) & (X((p3) W (!(p0)))))","ltl3tela_det","ok",0,0.00589001,4,5,13,0,4,0,0,0,"HOA: v1 States: 4 Start: 0 AP: 2 ""p3"" ""p0"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 ""{0}"" [t] 1 State: 1 ""{1,2}"" [0] 2 State: 2 ""{3}"" [0&1] 2 [!1] 3 State: 3 ""{}"" [t] 3 --END--"
"F(p3)","ltl3tela_det","ok",0,0.00462901,2,3,4,1,2,0,0,1,"HOA: v1 States: 2 Start: 1 AP: 1 ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 --END--"
"X(X(G(((X(!(p1))) U ((!(p0)) M (!(p3)))) | (X(G(p0))))))","ltl3tela_det","ok",0,0.029682,10,29,61,1,4,0,0,0,"HOA: v1 States: 10 Start: 0 AP: 3 ""p1"" ""p3"" ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [t] 2 State: 2 [!1&!2] 2 {0} [!1&2] 3 [1] 4 State: 3 [!1&!2] 2 {0} [!0&!1&2] 3 {0} [!0&1&2] 4 {0} [!0&1&!2] 5 [0&!1&2] 6 [0&1&2] 7 State: 4 [!0&!1&!2] 2 {0} [!0&!1&2] 3 {0} [!0&1&2] 4 {0} [!0&1&!2] 5 [0&2] 7 State: 5 [!0&!1&!2] 2 {0} [!0&1] 5 [!0&!1&2] 8 State: 6 [!1&!2] 2 {0} [!1&2] 6 {0} [1&2] 7 State: 7 [2] 7 {0} State: 8 [!1&!2] 2 {0} [!0&1] 5 [!0&!1&2] 8 [0&!1&2] 9 State: 9 [!1&!2] 2 {0} [!1&2] 9 --END--"
"G(p0)","ltl3tela_det","ok",0,0.00531324,1,1,1,0,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""p0"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 [0] 0 --END--"
"X(((F(p2)) W (X(p0))) <-> ((p2) <-> (F(p3))))","ltl3tela_det","ok",0,0.0645964,21,73,143,2,13,0,0,0,"HOA: v1 States: 21 Start: 0 AP: 3 ""p2"" ""p0"" ""p3"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [!0&!2] 2 [!0&2] 3 [0&!2] 4 [0&2] 5 State: 2 [!0&!1&!2] 6 [!0&!1&2] 7 [1&!2] 8 [0&!1&!2] 9 {1} [0&!1&2] 10 State: 3 [!0&!1] 7 [0&!1] 10 State: 4 [0&!1&!2] 4 [0&!1&2] 5 [!0&!1&!2] 11 [!0&!1&2] 12 [1&!2] 13 [1&2] 14 State: 5 [0&!1] 5 {1} [!0&!1] 12 [1] 14 State: 6 [!0&!1&!2] 6 [!0&!1&2] 7 [0&1&!2] 8 [0&!1&!2] 9 {1} [0&!1&2] 10 [!0&1&!2] 15 [!0&1&2] 16 State: 7 [!0&!1] 7 {1} [0&!1] 10 {0} [!0&1] 16 State: 8 [!2] 8 {1} State: 9 [!0&!1&!2] 2 [!0&!1&2] 3 [1&!2] 8 [0&!1&!2] 9 {1} [0&!1&2] 10 State: 10 [!0&!1] 3 [0&!1] 10 State: 11 [0&!1&!2] 4 [0&!1&2] 5 [1&!2] 13 [1&2] 14 [!0&!1&!2] 17 [!0&!1&2] 18 State: 12 [0&!1] 5 {1} [1] 14 [!0&!1] 18 State: 13 [!2] 13 [2] 14 State: 14 [t] 14 {1} State: 15 [0&!2] 8 [!0&!2] 15 [!0&2] 16 State: 16 [!0] 16 {1} State: 17 [0&!1&!2] 4 {0} [0&!1&2] 5 [0&1&!2] 13 [0&1&2] 14 [!0&!1&!2] 17 {1} [!0&!1&2] 18 [!0&1&!2] 19 [!0&1&2] 20 State: 18 [0&!1] 5 {1} [0&1] 14 [!0&!1] 18 [!0&1] 20 State: 19 [0&!2] 13 [0&2] 14 [!0&!2] 19 {1} [!0&2] 20 State: 20 [0] 14 [!0] 20 --END--"
"F(((p1) | (p2)) & (G(!(p0))))","ltl3tela_det","ok",0,0.00859105,2,4,16,1,1,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 3 ""p1"" ""p2"" ""p0"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1 | 2] 0 {0} [0&!2 | 1&!2] 1 State: 1 [2] 0 {0} [!2] 1 --END--"
