"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./bp_sets/ltl3tela.hoa:1.1-41.7",,3,10,22,52,0,10,4,1,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.819987,3,10,22,52,0,10,4,1,0
"./bp_sets/ltl3tela.hoa:42.1-60.7",,2,3,6,12,1,3,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.779245,2,3,6,12,1,3,0,0,0
"./bp_sets/ltl3tela.hoa:61.1-72.7",,0,1,1,1,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.784844,0,1,1,1,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:73.1-88.7",,2,2,4,8,1,2,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.771393,2,2,4,8,1,2,0,0,0
"./bp_sets/ltl3tela.hoa:89.1-110.7",,2,3,10,14,2,3,1,1,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.831117,2,3,10,14,2,3,1,1,0
"./bp_sets/ltl3tela.hoa:111.1-128.7",,2,4,5,13,0,4,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.792671,2,4,5,13,0,4,0,0,0
"./bp_sets/ltl3tela.hoa:129.1-143.7",,1,2,3,4,1,2,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.870989,1,2,3,4,1,2,0,0,0
"./bp_sets/ltl3tela.hoa:144.1-154.7",,0,1,0,0,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.92729,0,1,0,0,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:155.1-181.7",,3,6,12,45,1,4,2,1,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,1.11024,3,6,12,45,1,4,2,1,0
"./bp_sets/ltl3tela.hoa:182.1-193.7",,1,1,1,1,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.948806,1,1,1,1,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:194.1-204.7",,0,1,0,0,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.816982,0,1,0,0,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:205.1-322.7",,3,29,80,190,1,26,10,1,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.812221,3,29,80,190,1,26,10,1,0
"./bp_sets/ltl3tela.hoa:323.1-338.7",,3,2,4,16,1,1,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.792422,3,2,4,16,1,1,0,0,0
"./bp_sets/ltl3tela.hoa:339.1-356.7",,3,3,5,14,1,3,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.785329,3,3,5,14,1,3,0,0,0
"./bp_sets/ltl3tela.hoa:357.1-382.7",,3,5,12,39,0,5,3,1,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.812777,3,5,12,39,0,5,3,1,0
"./bp_sets/ltl3tela.hoa:383.1-399.7",,2,4,4,7,0,4,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.796309,2,4,4,7,0,4,0,0,0
