"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./product_samples/intersection.ltl2tgba:1.1-70.7",,3,14,47,70,1,10,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.419322,3,14,47,70,1,10,0,0,0
"./product_samples/intersection.ltl2tgba:71.1-124.7",,3,11,34,57,1,8,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.426124,3,11,34,57,1,8,0,0,0
"./product_samples/intersection.ltl2tgba:125.1-240.7",,4,21,86,216,1,15,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.472831,4,21,86,216,1,15,0,0,0
"./product_samples/intersection.ltl2tgba:241.1-347.7",,3,22,76,118,2,16,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.528924,3,22,76,118,2,16,0,0,0
"./product_samples/intersection.ltl2tgba:348.1-435.7",,4,19,60,172,1,15,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.445616,4,19,60,172,1,15,0,0,0
"./product_samples/intersection.ltl2tgba:436.1-505.7",,3,14,47,70,1,10,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.433407,3,14,47,70,1,10,0,0,0
"./product_samples/intersection.ltl2tgba:506.1-515.7",,3,1,0,0,1,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.410736,3,1,0,0,0,1,0,0,0
"./product_samples/intersection.ltl2tgba:516.1-804.7",,4,49,231,385,1,19,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.423482,4,49,231,385,1,19,0,0,0
"./product_samples/intersection.ltl2tgba:805.1-858.7",,4,11,34,57,1,8,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.403925,4,11,34,57,1,8,0,0,0
"./product_samples/intersection.ltl2tgba:859.1-868.7",,3,1,0,0,1,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.405913,3,1,0,0,0,1,0,0,0
"./product_samples/intersection.ltl2tgba:869.1-1225.7",,4,65,284,643,2,38,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.480524,4,65,284,643,2,38,0,0,0
"./product_samples/intersection.ltl2tgba:1226.1-1385.7",,4,21,130,216,1,9,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.489572,4,21,130,216,1,9,0,0,0
"./product_samples/intersection.ltl2tgba:1386.1-1449.7",,4,13,42,106,1,9,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.463295,4,13,42,106,1,9,0,0,0
"./product_samples/intersection.ltl2tgba:1450.1-1579.7",,4,26,95,262,1,18,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.436032,4,26,95,262,1,18,0,0,0
"./product_samples/intersection.ltl2tgba:1580.1-1617.7",,3,11,18,33,1,11,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.489769,3,11,18,33,1,11,0,0,0
"./product_samples/intersection.ltl2tgba:1618.1-1671.7",,3,11,34,57,1,8,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.423333,3,11,34,57,1,8,0,0,0
"./product_samples/intersection.ltl2tgba:1672.1-1892.7",,4,39,173,333,1,23,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.422391,4,39,173,333,1,23,0,0,0
"./product_samples/intersection.ltl2tgba:1893.1-1992.7",,4,24,67,224,1,21,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.427193,4,24,67,224,1,21,0,0,0
"./product_samples/intersection.ltl2tgba:1993.1-2109.7",,4,22,86,228,1,16,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.425157,4,22,86,228,1,16,0,0,0
"./product_samples/intersection.ltl2tgba:2110.1-2208.7",,3,21,69,110,1,17,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.441085,3,21,69,110,1,17,0,0,0
"./product_samples/intersection.ltl2tgba:2209.1-2286.7",,3,16,53,85,1,12,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.440547,3,16,53,85,1,12,0,0,0
"./product_samples/intersection.ltl2tgba:2287.1-2343.7",,3,12,36,62,1,9,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.45752,3,12,36,62,1,9,0,0,0
"./product_samples/intersection.ltl2tgba:2344.1-2390.7",,3,10,28,49,1,7,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.420697,3,10,28,49,1,7,0,0,0
"./product_samples/intersection.ltl2tgba:2391.1-2420.7",,3,7,14,21,1,6,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.443789,3,7,14,21,1,6,0,0,0
"./product_samples/intersection.ltl2tgba:2421.1-2666.7",,3,45,192,269,2,30,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.45308,3,45,192,269,2,30,0,0,0
"./product_samples/intersection.ltl2tgba:2667.1-3347.7",,4,97,575,1002,1,52,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.436153,4,97,575,1002,1,52,0,0,0
"./product_samples/intersection.ltl2tgba:3348.1-3501.7",,4,30,115,292,1,25,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.406915,4,30,115,292,1,25,0,0,0
"./product_samples/intersection.ltl2tgba:3502.1-3555.7",,3,11,34,57,1,8,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.452324,3,11,34,57,1,8,0,0,0
"./product_samples/intersection.ltl2tgba:3556.1-3751.7",,3,36,151,194,2,16,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.44089,3,36,151,194,2,16,0,0,0
"./product_samples/intersection.ltl2tgba:3752.1-3951.7",,3,44,147,207,1,37,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.424287,3,44,147,207,1,37,0,0,0
"./product_samples/intersection.ltl2tgba:3952.1-4103.7",,4,28,115,262,1,17,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.428917,4,28,115,262,1,17,0,0,0
"./product_samples/intersection.ltl2tgba:4104.1-4156.7",,3,11,33,54,1,8,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.405644,3,11,33,54,1,8,0,0,0
"./product_samples/intersection.ltl2tgba:4157.1-4219.7",,3,13,41,72,1,10,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.404134,3,13,41,72,1,10,0,0,0
"./product_samples/intersection.ltl2tgba:4220.1-4453.7",,4,38,187,418,3,19,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,8.09404,4,38,187,418,3,19,0,0,0
"./product_samples/intersection.ltl2tgba:4454.1-4531.7",,3,16,53,87,1,13,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.402839,3,16,53,87,1,13,0,0,0
"./product_samples/intersection.ltl2tgba:4532.1-4560.7",,3,7,13,25,1,7,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.387631,3,7,13,25,1,7,0,0,0
"./product_samples/intersection.ltl2tgba:4561.1-4628.7",,3,14,45,72,1,10,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.405911,3,14,45,72,1,10,0,0,0
"./product_samples/intersection.ltl2tgba:4629.1-4695.7",,4,15,43,155,1,12,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.40804,4,15,43,155,1,12,0,0,0
"./product_samples/intersection.ltl2tgba:4696.1-4774.7",,4,17,53,161,1,14,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.407527,4,17,53,161,1,14,0,0,0
"./product_samples/intersection.ltl2tgba:4775.1-4879.7",,3,24,72,112,1,19,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.407456,3,24,72,112,1,19,0,0,0
"./product_samples/intersection.ltl2tgba:4880.1-4889.7",,3,1,0,0,1,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.403731,3,1,0,0,0,1,0,0,0
"./product_samples/intersection.ltl2tgba:4890.1-4943.7",,4,11,34,57,1,8,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.410928,4,11,34,57,1,8,0,0,0
"./product_samples/intersection.ltl2tgba:4944.1-4989.7",,3,10,27,48,1,7,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.407975,3,10,27,48,1,7,0,0,0
"./product_samples/intersection.ltl2tgba:4990.1-5087.7",,4,19,70,212,1,12,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.405784,4,19,70,212,1,12,0,0,0
"./product_samples/intersection.ltl2tgba:5088.1-5140.7",,3,11,33,54,1,8,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.406134,3,11,33,54,1,8,0,0,0
"./product_samples/intersection.ltl2tgba:5141.1-5260.7",,3,24,87,136,2,16,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.417408,3,24,87,136,2,16,0,0,0
