"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./product_samples/intersection.ltl2tgba:1.1-70.7",,3,14,47,70,1,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.485806,3,14,47,70,1,10,0,0,0
"./product_samples/intersection.ltl2tgba:71.1-124.7",,3,11,34,57,1,8,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.462007,3,11,34,57,1,8,0,0,0
"./product_samples/intersection.ltl2tgba:125.1-240.7",,4,21,86,216,1,15,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.614122,4,21,86,216,1,15,0,0,0
"./product_samples/intersection.ltl2tgba:241.1-347.7",,3,22,76,118,2,16,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,1.10059,3,22,76,118,2,16,0,0,0
"./product_samples/intersection.ltl2tgba:348.1-435.7",,4,19,60,172,1,15,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.471846,4,19,60,172,1,15,0,0,0
"./product_samples/intersection.ltl2tgba:436.1-505.7",,3,14,47,70,1,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.477027,3,14,47,70,1,10,0,0,0
"./product_samples/intersection.ltl2tgba:506.1-515.7",,3,1,0,0,1,1,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.478788,3,1,0,0,0,1,0,0,0
"./product_samples/intersection.ltl2tgba:516.1-804.7",,4,49,231,385,1,19,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.504044,4,49,231,385,1,19,0,0,0
"./product_samples/intersection.ltl2tgba:805.1-858.7",,4,11,34,57,1,8,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.531454,4,11,34,57,1,8,0,0,0
"./product_samples/intersection.ltl2tgba:859.1-868.7",,3,1,0,0,1,1,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.502237,3,1,0,0,0,1,0,0,0
"./product_samples/intersection.ltl2tgba:869.1-1225.7",,4,65,284,643,2,38,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.534096,4,65,284,643,2,38,0,0,0
"./product_samples/intersection.ltl2tgba:1226.1-1385.7",,4,21,130,216,1,9,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.472119,4,21,130,216,1,9,0,0,0
"./product_samples/intersection.ltl2tgba:1386.1-1449.7",,4,13,42,106,1,9,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.480752,4,13,42,106,1,9,0,0,0
