"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./product_samples/intersection.ltl3tela:1.1-62.7",,3,15,38,80,1,15,6,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.441758,3,15,38,80,1,15,6,1,0
"./product_samples/intersection.ltl3tela:63.1-103.7",,3,10,22,52,0,10,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.443374,3,10,22,52,0,10,4,1,0
"./product_samples/intersection.ltl3tela:104.1-205.7",,4,20,73,208,1,20,8,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.439495,4,20,73,208,1,20,8,1,0
"./product_samples/intersection.ltl3tela:206.1-325.7",,3,23,88,139,2,23,11,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.543882,3,23,88,139,2,23,11,1,0
"./product_samples/intersection.ltl3tela:326.1-419.7",,4,23,62,235,0,23,11,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.531041,4,23,62,235,0,23,11,1,0
"./product_samples/intersection.ltl3tela:420.1-481.7",,3,15,38,80,1,15,6,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.412514,3,15,38,80,1,15,6,1,0
"./product_samples/intersection.ltl3tela:482.1-491.7",,3,1,0,0,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.459962,3,1,0,0,0,1,0,0,0
"./product_samples/intersection.ltl3tela:492.1-701.7",,4,43,158,422,1,34,24,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.470922,4,43,158,422,1,34,24,1,0
"./product_samples/intersection.ltl3tela:702.1-742.7",,4,10,22,52,0,10,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.447513,4,10,22,52,0,10,4,1,0
"./product_samples/intersection.ltl3tela:743.1-752.7",,3,1,0,0,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.482694,3,1,0,0,0,1,0,0,0
