"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./product_samples/intersection.rab4:1.1-84.7",,3,17,59,85,6,12,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.440515,3,17,59,85,1,12,0,0,0
"./product_samples/intersection.rab4:85.1-152.7",,3,14,46,72,6,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.416766,3,14,46,72,0,10,0,0,0
"./product_samples/intersection.rab4:153.1-301.7",,4,27,114,276,6,19,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.432004,4,27,114,276,2,19,0,0,0
"./product_samples/intersection.rab4:302.1-432.7",,3,27,96,144,8,19,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,1.40889,3,27,96,144,3,19,0,0,0
"./product_samples/intersection.rab4:433.1-551.7",,4,24,87,219,6,18,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.462386,4,24,87,219,0,18,0,0,0
"./product_samples/intersection.rab4:552.1-635.7",,3,17,59,85,6,12,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.402913,3,17,59,85,1,12,0,0,0
"./product_samples/intersection.rab4:636.1-645.7",,3,1,0,0,4,1,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.402622,3,1,0,0,0,1,0,0,0
"./product_samples/intersection.rab4:646.1-1067.7",,4,66,348,498,12,25,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,50.7714,4,66,348,498,7,25,0,0,0
"./product_samples/intersection.rab4:1068.1-1135.7",,4,14,46,72,5,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.406528,4,14,46,72,0,10,0,0,0
"./product_samples/intersection.rab4:1136.1-1145.7",,3,1,0,0,4,1,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.403014,3,1,0,0,0,1,0,0,0
"./product_samples/intersection.rab4:1146.1-1540.7",,4,71,316,693,6,43,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.429296,4,71,316,693,2,43,0,0,0
"./product_samples/intersection.rab4:1541.1-1751.7",,4,27,176,276,5,11,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.420612,4,27,176,276,1,11,0,0,0
"./product_samples/intersection.rab4:1752.1-1827.7",,4,16,52,130,5,12,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.409994,4,16,52,130,1,12,0,0,0
"./product_samples/intersection.rab4:1828.1-1979.7",,4,31,113,308,8,22,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.409716,4,31,113,308,0,22,0,0,0
"./product_samples/intersection.rab4:1980.1-2016.7",,3,11,18,33,5,11,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.407209,3,11,18,33,0,11,0,0,0
"./product_samples/intersection.rab4:2017.1-2084.7",,4,14,46,144,6,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.403474,4,14,46,144,0,10,0,0,0
"./product_samples/intersection.rab4:2085.1-2311.7",,4,39,180,333,7,23,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.413662,4,39,180,333,1,23,0,0,0
"./product_samples/intersection.rab4:2312.1-2426.7",,4,27,80,254,6,23,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.406612,4,27,80,254,1,23,0,0,0
"./product_samples/intersection.rab4:2427.1-2574.7",,4,27,113,280,6,19,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.413298,4,27,113,280,1,19,0,0,0
"./product_samples/intersection.rab4:2575.1-2719.7",,3,31,106,163,6,25,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.414754,3,31,106,163,1,25,0,0,0
"./product_samples/intersection.rab4:2720.1-2812.7",,3,19,66,100,6,14,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.406153,3,19,66,100,1,14,0,0,0
"./product_samples/intersection.rab4:2813.1-2888.7",,3,16,52,83,6,11,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.40466,3,16,52,83,0,11,0,0,0
"./product_samples/intersection.rab4:2889.1-2945.7",,3,12,37,60,6,8,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.358482,3,12,37,60,0,8,0,0,0
"./product_samples/intersection.rab4:2946.1-2974.7",,3,7,14,21,5,6,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.404634,3,7,14,21,0,6,0,0,0
"./product_samples/intersection.rab4:2975.1-3238.7",,3,48,208,284,10,32,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,70.0241,3,48,208,284,4,32,0,0,0
"./product_samples/intersection.rab4:3239.1-4009.7",,4,107,656,1086,10,65,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.516802,4,107,656,1086,1,65,0,0,0
"./product_samples/intersection.rab4:4010.1-4192.7",,4,35,140,334,6,28,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.413834,4,35,140,334,1,28,0,0,0
"./product_samples/intersection.rab4:4193.1-4260.7",,4,14,46,144,6,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.405889,4,14,46,144,0,10,0,0,0
"./product_samples/intersection.rab4:4261.1-4478.7",,3,38,172,201,12,19,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,50.6151,3,38,172,201,6,19,0,0,0
"./product_samples/intersection.rab4:4479.1-4713.7",,3,51,176,237,6,43,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.607758,3,51,176,237,1,43,0,0,0
"./product_samples/intersection.rab4:4714.1-4904.7",,4,34,149,320,8,20,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.532558,4,34,149,320,1,20,0,0,0
"./product_samples/intersection.rab4:4905.1-4971.7",,3,14,45,69,6,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.494284,3,14,45,69,0,10,0,0,0
"./product_samples/intersection.rab4:4972.1-5055.7",,3,17,59,94,6,12,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.529298,3,17,59,94,1,12,0,0,0
"./product_samples/intersection.rab4:5056.1-5275.7",,4,32,180,336,8,20,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,88.5496,4,32,180,336,5,20,0,0,0
"./product_samples/intersection.rab4:5276.1-5368.7",,3,19,66,102,6,15,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.663607,3,19,66,102,2,15,0,0,0
"./product_samples/intersection.rab4:5369.1-5396.7",,4,7,13,50,5,7,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.613393,4,7,13,50,0,7,0,0,0
"./product_samples/intersection.rab4:5397.1-5489.7",,4,19,66,196,6,13,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.578513,4,19,66,196,1,13,0,0,0
"./product_samples/intersection.rab4:5490.1-5571.7",,4,18,56,185,6,14,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.594523,4,18,56,185,1,14,0,0,0
"./product_samples/intersection.rab4:5572.1-5665.7",,4,20,66,191,6,16,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.544972,4,20,66,191,1,16,0,0,0
"./product_samples/intersection.rab4:5666.1-5816.7",,3,35,108,153,6,27,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.596468,3,35,108,153,1,27,0,0,0
"./product_samples/intersection.rab4:5817.1-5826.7",,4,1,0,0,4,1,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.627828,4,1,0,0,0,1,0,0,0
"./product_samples/intersection.rab4:5827.1-5894.7",,4,14,46,72,5,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.585988,4,14,46,72,0,10,0,0,0
"./product_samples/intersection.rab4:5895.1-5950.7",,3,12,36,59,6,8,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.62812,3,12,36,59,0,8,0,0,0
"./product_samples/intersection.rab4:5951.1-6075.7",,4,23,94,256,6,14,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.624386,4,23,94,256,2,14,0,0,0
"./product_samples/intersection.rab4:6076.1-6142.7",,3,14,45,69,6,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.597069,3,14,45,69,0,10,0,0,0
"./product_samples/intersection.rab4:6143.1-6262.7",,3,24,88,128,7,18,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,1.70034,3,24,88,128,2,18,0,0,0
"./product_samples/intersection.rab4:6263.1-6347.7",,4,18,59,149,6,14,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.626871,4,18,59,149,1,14,0,0,0
"./product_samples/intersection.rab4:6348.1-6432.7",,4,17,60,182,6,11,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.748226,4,17,60,182,1,11,0,0,0
"./product_samples/intersection.rab4:6433.1-6728.7",,4,53,235,560,6,35,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.514487,4,53,235,560,1,35,0,0,0
"./product_samples/intersection.rab4:6729.1-6810.7",,3,14,60,72,7,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.513319,3,14,60,72,2,10,0,0,0
"./product_samples/intersection.rab4:6811.1-6970.7",,4,30,122,270,6,25,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.585175,4,30,122,270,1,25,0,0,0
"./product_samples/intersection.rab4:6971.1-7049.7",,3,14,57,72,6,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.588101,3,14,57,72,1,10,0,0,0
"./product_samples/intersection.rab4:7050.1-7403.7",,4,50,296,458,7,28,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.692806,4,50,296,458,1,28,0,0,0
"./product_samples/intersection.rab4:7404.1-7473.7",,3,14,48,72,5,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.659966,3,14,48,72,1,10,0,0,0
"./product_samples/intersection.rab4:7474.1-7589.7",,4,24,84,250,8,17,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.743276,4,24,84,250,0,17,0,0,0
"./product_samples/intersection.rab4:7590.1-7868.7",,4,38,233,374,9,17,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,50.981,4,38,233,374,4,17,0,0,0
"./product_samples/intersection.rab4:7869.1-8101.7",,4,35,190,364,6,24,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.522648,4,35,190,364,1,24,0,0,0
"./product_samples/intersection.rab4:8102.1-8630.7",,4,80,441,950,12,61,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.554606,4,80,441,950,1,61,0,0,0
"./product_samples/intersection.rab4:8631.1-8770.7",,4,32,100,258,6,26,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.536304,4,32,100,258,1,26,0,0,0
"./product_samples/intersection.rab4:8771.1-8854.7",,3,17,59,85,6,12,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.524057,3,17,59,85,1,12,0,0,0
"./product_samples/intersection.rab4:8855.1-8889.7",,4,7,20,26,7,5,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.557741,4,7,20,26,1,5,0,0,0
"./product_samples/intersection.rab4:8890.1-9008.7",,3,25,86,130,6,21,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.55313,3,25,86,130,1,21,0,0,0
"./product_samples/intersection.rab4:9009.1-9076.7",,4,14,46,138,6,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.517543,4,14,46,138,0,10,0,0,0
"./product_samples/intersection.rab4:9077.1-9120.7",,4,11,25,34,5,9,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.575861,4,11,25,34,0,9,0,0,0
"./product_samples/intersection.rab4:9121.1-9340.7",,4,28,184,275,7,20,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.574724,4,28,184,275,2,20,0,0,0
"./product_samples/intersection.rab4:9341.1-9408.7",,4,14,46,140,6,10,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.540261,4,14,46,140,0,10,0,0,0
"./product_samples/intersection.rab4:9409.1-9581.7",,4,29,136,298,6,23,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.518785,4,29,136,298,1,23,0,0,0
"./product_samples/intersection.rab4:9582.1-9609.7",,4,7,13,39,5,7,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.608295,4,7,13,39,0,7,0,0,0
"./product_samples/intersection.rab4:9610.1-9701.7",,4,19,65,157,6,14,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.485137,4,19,65,157,0,14,0,0,0
"./product_samples/intersection.rab4:9702.1-9826.7",,4,18,99,168,7,11,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.57143,4,18,99,168,2,11,0,0,0
"./product_samples/intersection.rab4:9827.1-9962.7",,4,19,109,196,6,13,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.561835,4,19,109,196,1,13,0,0,0
"./product_samples/intersection.rab4:9963.1-10162.7",,4,41,151,308,6,34,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.514616,4,41,151,308,1,34,0,0,0
"./product_samples/intersection.rab4:10163.1-10449.7",,4,54,225,498,6,44,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.545899,4,54,225,498,1,44,0,0,0
"./product_samples/intersection.rab4:10450.1-10847.7",,4,75,315,818,6,36,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.524568,4,75,315,818,1,36,0,0,0
"./product_samples/intersection.rab4:10848.1-10946.7",,3,20,71,105,6,14,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.552482,3,20,71,105,1,14,0,0,0
"./product_samples/intersection.rab4:10947.1-10966.7",,3,4,8,16,5,3,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.511173,3,4,8,16,0,3,0,0,0
"./product_samples/intersection.rab4:10967.1-11260.7",,4,38,248,412,12,19,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,50.8006,4,38,248,412,7,19,0,0,0
"./product_samples/intersection.rab4:11261.1-11494.7",,4,42,184,396,6,31,0,0,0,"python3 ./main.py -F%H -O%O -L 4","ok",0,0.505862,4,42,184,396,1,31,0,0,0
