"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./intesection.rab4.l1:1.1-85.7",,3,17,59,85,1,12,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0655781,3,17,59,85,1,12,0,0,0
"./intesection.rab4.l1:86.1-154.7",,3,14,46,72,0,10,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0758379,3,14,46,72,0,10,0,0,0
"./intesection.rab4.l1:155.1-304.7",,4,27,114,276,1,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0660014,4,27,114,276,1,19,0,0,0
"./intesection.rab4.l1:305.1-436.7",,3,27,96,144,2,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0701993,3,27,96,144,2,19,0,0,0
"./intesection.rab4.l1:437.1-556.7",,4,24,87,219,0,18,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0662118,4,24,87,219,0,18,0,0,0
"./intesection.rab4.l1:557.1-641.7",,3,17,59,85,1,12,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.073014,3,17,59,85,1,12,0,0,0
"./intesection.rab4.l1:642.1-652.7",,3,1,0,0,0,1,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0681483,3,1,0,0,0,1,0,0,0
"./intesection.rab4.l1:653.1-1074.7",,4,66,348,498,7,25,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0712825,4,66,348,498,7,25,0,0,0
"./intesection.rab4.l1:1075.1-1143.7",,4,14,46,72,0,10,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0682212,4,14,46,72,0,10,0,0,0
"./intesection.rab4.l1:1144.1-1154.7",,3,1,0,0,0,1,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0703769,3,1,0,0,0,1,0,0,0
"./intesection.rab4.l1:1155.1-1550.7",,4,71,316,693,2,43,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0689257,4,71,316,693,2,43,0,0,0
"./intesection.rab4.l1:1551.1-1762.7",,4,27,176,276,1,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0679806,4,27,176,276,1,11,0,0,0
"./intesection.rab4.l1:1763.1-1839.7",,4,16,52,130,1,12,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0707101,4,16,52,130,1,12,0,0,0
"./intesection.rab4.l1:1840.1-1992.7",,4,31,113,308,0,22,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0701831,4,31,113,308,0,22,0,0,0
"./intesection.rab4.l1:1993.1-2030.7",,3,11,18,33,0,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0656279,3,11,18,33,0,11,0,0,0
"./intesection.rab4.l1:2031.1-2099.7",,4,14,46,144,0,10,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0718758,4,14,46,144,0,10,0,0,0
"./intesection.rab4.l1:2100.1-2327.7",,4,39,180,333,1,23,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0699013,4,39,180,333,1,23,0,0,0
"./intesection.rab4.l1:2328.1-2443.7",,4,27,80,254,1,23,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.074781,4,27,80,254,1,23,0,0,0
"./intesection.rab4.l1:2444.1-2592.7",,4,27,113,280,1,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0658015,4,27,113,280,1,19,0,0,0
"./intesection.rab4.l1:2593.1-2738.7",,3,31,106,163,1,25,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0691867,3,31,106,163,1,25,0,0,0
"./intesection.rab4.l1:2739.1-2832.7",,3,19,66,100,1,14,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0672018,3,19,66,100,1,14,0,0,0
"./intesection.rab4.l1:2833.1-2909.7",,3,16,52,83,0,11,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0690294,3,16,52,83,0,11,0,0,0
"./intesection.rab4.l1:2910.1-2967.7",,3,12,37,60,0,8,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0678938,3,12,37,60,0,8,0,0,0
"./intesection.rab4.l1:2968.1-2997.7",,3,7,14,21,0,6,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0781727,3,7,14,21,0,6,0,0,0
"./intesection.rab4.l1:2998.1-3262.7",,3,48,208,284,4,32,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.067121,3,48,208,284,4,32,0,0,0
"./intesection.rab4.l1:3263.1-4034.7",,4,107,656,1086,2,65,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0739509,4,107,656,1086,2,65,0,0,0
"./intesection.rab4.l1:4035.1-4218.7",,4,35,140,334,1,28,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0707107,4,35,140,334,1,28,0,0,0
"./intesection.rab4.l1:4219.1-4287.7",,4,14,46,144,0,10,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0717242,4,14,46,144,0,10,0,0,0
"./intesection.rab4.l1:4288.1-4506.7",,3,38,172,201,5,19,0,0,0,"python3 ./print_aut.py -F%H -O%O","ok",0,0.0678818,3,38,172,201,5,19,0,0,0
