"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./product_samples/union.ltl2tgba:1.1-97.7",,3,17,70,136,1,13,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.460898,3,17,70,136,1,13,0,0,0
"./product_samples/union.ltl2tgba:98.1-164.7",,3,12,45,96,1,9,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.461479,3,12,45,96,0,9,0,0,0
"./product_samples/union.ltl2tgba:165.1-320.7",,4,23,123,368,1,17,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.445807,4,23,123,368,1,17,0,0,0
"./product_samples/union.ltl2tgba:321.1-471.7",,3,25,116,200,2,19,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.586111,3,25,116,200,2,19,0,0,0
"./product_samples/union.ltl2tgba:472.1-654.7",,4,31,142,496,1,24,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.451086,4,31,142,496,1,24,0,0,0
"./product_samples/union.ltl2tgba:655.1-747.7",,3,16,67,128,1,12,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.423348,3,16,67,128,1,12,0,0,0
"./product_samples/union.ltl2tgba:748.1-814.7",,3,12,45,96,1,9,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.444474,3,12,45,96,1,9,0,0,0
"./product_samples/union.ltl2tgba:815.1-1362.7",,4,63,475,1008,1,26,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.540026,4,63,475,1008,1,26,0,0,0
"./product_samples/union.ltl2tgba:1363.1-1526.7",,4,23,131,368,1,17,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.522699,4,23,131,368,1,17,0,0,0
"./product_samples/union.ltl2tgba:1527.1-1593.7",,3,12,45,96,1,9,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.407845,3,12,45,96,1,9,0,0,0
"./product_samples/union.ltl2tgba:1594.1-2237.7",,4,95,540,1520,2,57,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.426773,4,95,540,1520,2,57,0,0,0
"./product_samples/union.ltl2tgba:2238.1-2440.7",,4,23,170,368,1,10,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.468726,4,23,170,368,1,10,0,0,0
"./product_samples/union.ltl2tgba:2441.1-2578.7",,4,25,103,400,1,18,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.444231,4,25,103,400,1,18,0,0,0
"./product_samples/union.ltl2tgba:2579.1-2817.7",,4,42,187,672,1,29,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.415328,4,42,187,672,1,29,0,0,0
"./product_samples/union.ltl2tgba:2818.1-2939.7",,3,24,88,192,1,21,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.43958,3,24,88,192,1,21,0,0,0
"./product_samples/union.ltl2tgba:2940.1-3006.7",,3,12,45,96,1,9,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.503711,3,12,45,96,0,9,0,0,0
"./product_samples/union.ltl2tgba:3007.1-3406.7",,4,56,334,896,1,33,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.549946,4,56,334,896,1,33,0,0,0
