"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./product_samples/union.ltl3tela:1.1-89.7",,3,18,62,172,1,18,6,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.541284,3,18,62,172,1,18,6,1,0
"./product_samples/union.ltl3tela:90.1-141.7",,3,11,32,103,0,11,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.532775,3,11,32,103,0,11,4,1,0
"./product_samples/union.ltl3tela:142.1-281.7",,4,22,109,412,1,22,8,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.54986,4,22,109,412,1,22,8,1,0
"./product_samples/union.ltl3tela:282.1-459.7",,3,26,143,263,2,26,12,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.585811,3,26,143,263,2,26,12,1,0
"./product_samples/union.ltl3tela:460.1-652.7",,4,35,149,676,1,35,14,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.48411,4,35,149,676,1,35,14,1,0
"./product_samples/union.ltl3tela:653.1-737.7",,3,17,59,164,1,17,6,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.438478,3,17,59,164,1,17,6,1,0
"./product_samples/union.ltl3tela:738.1-789.7",,3,11,32,103,1,11,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.410741,3,11,32,103,1,11,4,1,0
"./product_samples/union.ltl3tela:790.1-1224.7",,4,59,367,1348,1,48,35,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,1.01705,4,59,367,1348,1,48,35,1,0
"./product_samples/union.ltl3tela:1225.1-1351.7",,4,22,96,412,1,22,8,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.411006,4,22,96,412,1,22,8,1,0
"./product_samples/union.ltl3tela:1352.1-1403.7",,3,11,32,103,1,11,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.410086,3,11,32,103,1,11,4,1,0
"./product_samples/union.ltl3tela:1404.1-2345.7",,4,139,794,3276,1,131,72,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.793311,4,139,794,3276,1,131,72,1,0
"./product_samples/union.ltl3tela:2346.1-2504.7",,4,22,128,412,1,15,8,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.456803,4,22,128,412,1,15,8,1,0
"./product_samples/union.ltl3tela:2505.1-2650.7",,4,28,109,534,1,28,10,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.453918,4,28,109,534,1,28,10,1,0
"./product_samples/union.ltl3tela:2651.1-2940.7",,4,49,232,1039,1,49,28,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.494353,4,49,232,1039,1,49,28,1,0
"./product_samples/union.ltl3tela:2941.1-3159.7",,3,40,170,385,1,40,15,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.441617,3,40,170,385,1,40,15,1,0
"./product_samples/union.ltl3tela:3160.1-3211.7",,3,11,32,103,0,11,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.441891,3,11,32,103,0,11,4,1,0
"./product_samples/union.ltl3tela:3212.1-3591.7",,4,56,315,1217,1,56,42,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.465972,4,56,315,1217,1,56,42,1,0
"./product_samples/union.ltl3tela:3592.1-3929.7",,4,59,270,1126,1,59,21,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.420515,4,59,270,1126,1,59,21,1,0
"./product_samples/union.ltl3tela:3930.1-4089.7",,4,29,122,564,1,29,11,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.453769,4,29,122,564,1,29,11,1,0
"./product_samples/union.ltl3tela:4090.1-4241.7",,3,29,114,282,1,29,11,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.419702,3,29,114,282,1,29,11,1,0
"./product_samples/union.ltl3tela:4242.1-4341.7",,3,20,71,195,1,20,7,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.43722,3,20,71,195,1,20,7,1,0
"./product_samples/union.ltl3tela:4342.1-4444.7",,3,22,72,206,1,22,8,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.437019,3,22,72,206,1,22,8,1,0
"./product_samples/union.ltl3tela:4445.1-4551.7",,3,23,75,221,1,23,9,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.417243,3,23,75,221,1,23,9,1,0
"./product_samples/union.ltl3tela:4552.1-4651.7",,3,20,71,195,1,20,7,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.470608,3,20,71,195,1,20,7,1,0
"./product_samples/union.ltl3tela:4652.1-5103.7",,3,68,376,755,4,68,40,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.517126,3,68,376,755,2,68,40,1,0
"./product_samples/union.ltl3tela:5104.1-5814.7",,4,100,602,2157,2,100,50,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,128.523,4,100,602,2157,2,100,50,1,0
"./product_samples/union.ltl3tela:5815.1-6130.7",,4,56,251,1154,1,56,22,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.701966,4,56,251,1154,1,56,22,1,0
"./product_samples/union.ltl3tela:6131.1-6182.7",,3,11,32,103,0,11,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.451141,3,11,32,103,0,11,4,1,0
"./product_samples/union.ltl3tela:6183.1-6540.7",,3,57,292,617,2,52,36,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.483367,3,57,292,617,2,52,36,1,0
"./product_samples/union.ltl3tela:6541.1-6923.7",,3,72,302,677,1,72,23,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.50573,3,72,302,677,1,72,23,1,0
"./product_samples/union.ltl3tela:6924.1-7213.7",,4,47,234,860,1,42,17,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.481566,4,47,234,860,1,42,17,1,0
"./product_samples/union.ltl3tela:7214.1-7320.7",,3,23,75,221,1,23,9,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.482168,3,23,75,221,1,23,9,1,0
"./product_samples/union.ltl3tela:7321.1-7399.7",,3,16,54,157,1,16,6,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.54262,3,16,54,157,1,16,6,1,0
"./product_samples/union.ltl3tela:7400.1-7732.7",,4,45,280,943,3,38,25,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.564281,4,45,280,943,2,38,25,1,0
"./product_samples/union.ltl3tela:7733.1-7852.7",,3,22,89,206,1,22,8,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.483217,3,22,89,206,1,22,8,1,0
"./product_samples/union.ltl3tela:7853.1-7964.7",,3,22,81,206,1,22,8,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.462876,3,22,81,206,1,22,8,1,0
"./product_samples/union.ltl3tela:7965.1-8055.7",,3,17,65,165,1,17,7,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.419672,3,17,65,165,1,17,7,1,0
"./product_samples/union.ltl3tela:8056.1-8289.7",,4,45,180,854,1,45,17,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.432545,4,45,180,854,1,45,17,1,0
"./product_samples/union.ltl3tela:8290.1-8484.7",,4,34,152,648,1,34,13,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.446023,4,34,152,648,1,34,13,1,0
"./product_samples/union.ltl3tela:8485.1-8930.7",,3,70,367,776,1,70,37,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.507474,3,70,367,776,1,70,37,1,0
"./product_samples/union.ltl3tela:8931.1-8982.7",,3,11,32,103,1,11,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.416158,3,11,32,103,1,11,4,1,0
"./product_samples/union.ltl3tela:8983.1-9109.7",,4,22,96,412,1,22,8,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.415645,4,22,96,412,1,22,8,1,0
"./product_samples/union.ltl3tela:9110.1-9213.7",,3,23,72,221,1,23,9,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.422147,3,23,72,221,1,23,9,1,0
"./product_samples/union.ltl3tela:9214.1-9342.7",,4,23,97,426,1,18,7,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.437874,4,23,97,426,1,18,7,1,0
"./product_samples/union.ltl3tela:9343.1-9449.7",,3,23,75,221,1,23,9,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.430387,3,23,75,221,1,23,9,1,0
"./product_samples/union.ltl3tela:9450.1-9671.7",,3,33,181,412,5,33,19,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.529621,3,33,181,412,3,33,19,1,0
"./product_samples/union.ltl3tela:9672.1-9850.7",,4,34,136,642,1,34,11,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.419049,4,34,136,642,1,34,11,1,0
"./product_samples/union.ltl3tela:9851.1-10014.7",,3,27,128,276,2,20,16,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.43422,3,27,128,276,2,20,16,1,0
"./product_samples/union.ltl3tela:10015.1-10278.7",,4,48,207,914,1,48,18,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.452317,4,48,207,914,1,48,18,1,0
"./product_samples/union.ltl3tela:10279.1-10372.7",,3,11,74,103,2,11,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.440703,3,11,74,103,2,11,4,1,0
"./product_samples/union.ltl3tela:10373.1-10602.7",,4,38,183,826,1,38,21,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.481406,4,38,183,826,1,38,21,1,0
"./product_samples/union.ltl3tela:10603.1-10669.7",,3,11,47,103,1,11,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.420324,3,11,47,103,1,11,4,1,0
"./product_samples/union.ltl3tela:10670.1-11170.7",,4,56,436,1340,2,41,46,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,1.01296,4,56,436,1340,2,41,46,1,0
"./product_samples/union.ltl3tela:11171.1-11239.7",,3,11,49,103,1,11,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.424973,3,11,49,103,1,11,4,1,0
"./product_samples/union.ltl3tela:11240.1-11291.7",,3,11,32,103,0,11,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.414927,3,11,32,103,0,11,4,1,0
"./product_samples/union.ltl3tela:11292.1-11720.7",,4,54,366,1356,1,48,40,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,3.89761,4,54,366,1356,1,48,40,1,0
"./product_samples/union.ltl3tela:11721.1-11948.7",,4,34,185,648,1,34,13,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.392277,4,34,185,648,1,34,13,1,0
"./product_samples/union.ltl3tela:11949.1-12409.7",,4,81,371,1561,1,81,32,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.424993,4,81,371,1561,1,81,32,1,0
"./product_samples/union.ltl3tela:12410.1-12708.7",,4,53,237,1008,1,53,19,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.442941,4,53,237,1008,1,53,19,1,0
"./product_samples/union.ltl3tela:12709.1-12792.7",,3,17,58,164,1,17,6,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.443857,3,17,58,164,1,17,6,1,0
"./product_samples/union.ltl3tela:12793.1-12905.7",,4,20,84,388,1,20,7,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.42742,4,20,84,388,1,20,7,1,0
"./product_samples/union.ltl3tela:12906.1-13088.7",,3,39,135,377,1,39,15,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.421933,3,39,135,377,1,39,15,1,0
