"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./product_samples/union.rab4:1.1-115.7",,3,20,85,160,6,15,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.409544,3,20,85,160,1,15,0,0,0
"./product_samples/union.rab4:116.1-200.7",,3,15,60,120,6,11,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.533509,3,15,60,120,0,11,0,0,0
"./product_samples/union.rab4:201.1-400.7",,4,29,161,464,6,21,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.5375,4,29,161,464,1,21,0,0,0
"./product_samples/union.rab4:401.1-583.7",,3,30,143,240,8,22,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,1.38441,3,30,143,240,2,22,0,0,0
"./product_samples/union.rab4:584.1-816.7",,4,37,186,592,6,28,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.549172,4,37,186,592,1,28,0,0,0
"./product_samples/union.rab4:817.1-927.7",,3,19,82,152,6,14,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.438502,3,19,82,152,1,14,0,0,0
"./product_samples/union.rab4:928.1-1012.7",,3,15,60,120,4,11,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.42292,3,15,60,120,1,11,0,0,0
"./product_samples/union.rab4:1013.1-1790.7",,4,82,686,1312,12,32,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,95.1723,4,82,686,1312,6,32,0,0,0
"./product_samples/union.rab4:1791.1-2005.7",,4,29,176,464,5,21,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.453324,4,29,176,464,1,21,0,0,0
"./product_samples/union.rab4:2006.1-2090.7",,3,15,60,120,4,11,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.434041,3,15,60,120,1,11,0,0,0
"./product_samples/union.rab4:2091.1-2801.7",,4,103,598,1648,6,63,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.477371,4,103,598,1648,2,63,0,0,0
"./product_samples/union.rab4:2802.1-3067.7",,4,29,227,464,5,12,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.437031,4,29,227,464,1,12,0,0,0
"./product_samples/union.rab4:3068.1-3236.7",,4,30,129,480,5,22,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.466014,4,30,129,480,1,22,0,0,0
"./product_samples/union.rab4:3237.1-3520.7",,4,50,224,800,8,35,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.458555,4,50,224,800,1,35,0,0,0
"./product_samples/union.rab4:3521.1-3661.7",,3,27,104,216,5,23,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.438939,3,27,104,216,1,23,0,0,0
"./product_samples/union.rab4:3662.1-3746.7",,4,15,60,240,6,11,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.451391,4,15,60,240,0,11,0,0,0
"./product_samples/union.rab4:3747.1-4176.7",,4,59,361,944,7,35,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.459163,4,59,361,944,1,35,0,0,0
"./product_samples/union.rab4:4177.1-4429.7",,4,47,196,752,6,39,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.421458,4,47,196,752,1,39,0,0,0
"./product_samples/union.rab4:4430.1-4623.7",,4,30,154,480,6,22,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.450653,4,30,154,480,1,22,0,0,0
