"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
".//patterns-ltl3tela_det.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00940484,1,2,3,4,1,2,0,0,0
".//patterns-ltl3tela_det.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,2.47351,1,2,3,4,1,2,0,0,0
".//patterns-ltl3tela_det.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,1.84914,1,2,3,4,1,2,0,0,0
".//patterns-ltl3tela_det.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,1.85261,1,2,3,4,1,2,0,0,0
".//patterns-ltl3tela_det.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,1.84329,1,2,3,4,1,2,0,0,0
".//patterns-ltl3tela_det.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00941959,2,4,9,16,1,4,0,0,0
".//patterns-ltl3tela_det.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,1.80671,2,4,9,16,1,4,0,0,0
".//patterns-ltl3tela_det.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,1.80894,2,4,9,16,1,4,0,0,0
".//patterns-ltl3tela_det.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,1.82188,2,4,9,16,1,4,0,0,0
".//patterns-ltl3tela_det.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,1.84469,2,4,9,16,1,4,0,0,0
".//patterns-ltl3tela_det.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"autfilt %H > %O","ok",0,0.0096431,3,8,27,64,1,8,0,0,0
".//patterns-ltl3tela_det.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,1.83132,3,8,27,64,1,8,0,0,0
".//patterns-ltl3tela_det.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,1.81383,3,8,27,64,1,8,0,0,0
".//patterns-ltl3tela_det.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,1.82694,3,8,27,64,1,8,0,0,0
".//patterns-ltl3tela_det.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,1.83083,3,8,27,64,1,8,0,0,0
".//patterns-ltl3tela_det.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"autfilt %H > %O","ok",0,0.010338,4,16,81,256,1,16,0,0,0
".//patterns-ltl3tela_det.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,1.86128,4,16,81,256,1,16,0,0,0
".//patterns-ltl3tela_det.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,2.67621,4,16,81,256,1,16,0,0,0
".//patterns-ltl3tela_det.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,1.80208,4,16,81,256,1,16,0,0,0
".//patterns-ltl3tela_det.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,1.96893,4,16,81,256,1,16,0,0,0
".//patterns-ltl3tela_det.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00964123,1,1,2,2,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,1.84392,1,1,2,2,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,1.8555,1,1,2,2,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,1.85992,1,1,2,2,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:191.1-203.7",,1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,1.83369,1,1,2,2,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"autfilt %H > %O","ok",0,0.0109571,2,1,2,4,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,1.92784,2,1,2,4,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,1.88067,2,1,2,4,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,2.10529,2,1,2,4,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:204.1-216.7",,2,1,2,4,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,2.04497,2,1,2,4,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00945604,3,1,2,8,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,1.87512,3,1,2,8,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,1.77435,3,1,2,8,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,1.80579,3,1,2,8,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:217.1-229.7",,3,1,2,8,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,1.89941,3,1,2,8,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"autfilt %H > %O","ok",0,0.0100285,4,1,2,16,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,1.9822,4,1,2,16,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,2.21389,4,1,2,16,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,3.38796,4,1,2,16,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:230.1-242.7",,4,1,2,16,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,2.93893,4,1,2,16,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00920883,1,1,2,2,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,1.88212,1,1,2,2,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,1.85616,1,1,2,2,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,1.86964,1,1,2,2,1,1,0,0,0
".//patterns-ltl3tela_det.hoa:243.1-255.7",,1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,1.94323,1,1,2,2,1,1,0,0,0
