"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
".//patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"autfilt %H > %O","ok",0,0.00825686,1,2,3,4,2,2,0,0,0
".//patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.7984,1,2,3,4,0,2,0,0,0
".//patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.509222,1,2,3,4,0,2,0,0,0
".//patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.519065,1,2,3,4,0,2,0,0,0
".//patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.50987,1,2,3,4,0,2,0,0,0
".//patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00883691,2,4,9,16,2,4,0,0,0
".//patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.507999,2,4,9,16,0,4,0,0,0
".//patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.511273,2,4,9,16,0,4,0,0,0
".//patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.504479,2,4,9,16,0,4,0,0,0
".//patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.506579,2,4,9,16,0,4,0,0,0
".//patterns-rabinizer4.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,2,8,0,0,0,"autfilt %H > %O","ok",0,0.00851027,3,8,27,64,2,8,0,0,0
".//patterns-rabinizer4.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,2,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.597653,3,8,27,64,0,8,0,0,0
".//patterns-rabinizer4.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,2,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.505252,3,8,27,64,0,8,0,0,0
".//patterns-rabinizer4.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,2,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.522833,3,8,27,64,0,8,0,0,0
".//patterns-rabinizer4.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,2,8,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.573293,3,8,27,64,0,8,0,0,0
".//patterns-rabinizer4.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,2,16,0,0,0,"autfilt %H > %O","ok",0,0.00859212,4,16,81,256,2,16,0,0,0
".//patterns-rabinizer4.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,2,16,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.548129,4,16,81,256,0,16,0,0,0
".//patterns-rabinizer4.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,2,16,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.562999,4,16,81,256,0,16,0,0,0
".//patterns-rabinizer4.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,2,16,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.530348,4,16,81,256,0,16,0,0,0
".//patterns-rabinizer4.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,2,16,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.528523,4,16,81,256,0,16,0,0,0
".//patterns-rabinizer4.hoa:195.1-208.7","Automaton for F(G(p1))",1,1,2,2,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00803923,1,1,2,2,1,1,0,0,0
".//patterns-rabinizer4.hoa:195.1-208.7","Automaton for F(G(p1))",1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.558421,1,1,2,2,0,1,0,0,0
".//patterns-rabinizer4.hoa:195.1-208.7","Automaton for F(G(p1))",1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.541155,1,1,2,2,0,1,0,0,0
".//patterns-rabinizer4.hoa:195.1-208.7","Automaton for F(G(p1))",1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.512458,1,1,2,2,0,1,0,0,0
".//patterns-rabinizer4.hoa:195.1-208.7","Automaton for F(G(p1))",1,1,2,2,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.522019,1,1,2,2,0,1,0,0,0
".//patterns-rabinizer4.hoa:209.1-222.7","Automaton for ((F(G(p1))) & (F(G(p2))))",2,1,2,4,1,1,0,0,0,"autfilt %H > %O","ok",0,0.008454,2,1,2,4,1,1,0,0,0
".//patterns-rabinizer4.hoa:209.1-222.7","Automaton for ((F(G(p1))) & (F(G(p2))))",2,1,2,4,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.530893,2,1,2,4,0,1,0,0,0
".//patterns-rabinizer4.hoa:209.1-222.7","Automaton for ((F(G(p1))) & (F(G(p2))))",2,1,2,4,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.529277,2,1,2,4,0,1,0,0,0
".//patterns-rabinizer4.hoa:209.1-222.7","Automaton for ((F(G(p1))) & (F(G(p2))))",2,1,2,4,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.5584,2,1,2,4,0,1,0,0,0
".//patterns-rabinizer4.hoa:209.1-222.7","Automaton for ((F(G(p1))) & (F(G(p2))))",2,1,2,4,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.540064,2,1,2,4,0,1,0,0,0
".//patterns-rabinizer4.hoa:223.1-236.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))))",3,1,2,8,1,1,0,0,0,"autfilt %H > %O","ok",0,0.0088388,3,1,2,8,1,1,0,0,0
".//patterns-rabinizer4.hoa:223.1-236.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))))",3,1,2,8,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.527726,3,1,2,8,0,1,0,0,0
".//patterns-rabinizer4.hoa:223.1-236.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))))",3,1,2,8,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.529092,3,1,2,8,0,1,0,0,0
".//patterns-rabinizer4.hoa:223.1-236.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))))",3,1,2,8,1,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.530614,3,1,2,8,0,1,0,0,0
