"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:1.1-41.7",,3,10,22,52,0,10,4,1,0,"autfilt %H > %O","ok",0,0.0122934,3,10,22,52,0,10,4,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:1.1-41.7",,3,10,22,52,0,10,4,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.629537,3,10,22,52,0,10,4,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:1.1-41.7",,3,10,22,52,0,10,4,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.815167,3,10,22,52,0,10,4,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:1.1-41.7",,3,10,22,52,0,10,4,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.593578,3,10,22,52,0,10,4,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:1.1-41.7",,3,10,22,52,0,10,4,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.623001,3,10,22,52,0,10,4,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:42.1-60.7",,2,3,6,12,1,3,0,0,0,"autfilt %H > %O","ok",0,0.0105373,2,3,6,12,1,3,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:42.1-60.7",,2,3,6,12,1,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.584564,2,3,6,12,1,3,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:42.1-60.7",,2,3,6,12,1,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.617797,2,3,6,12,1,3,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:42.1-60.7",,2,3,6,12,1,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.617581,2,3,6,12,1,3,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:42.1-60.7",,2,3,6,12,1,3,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.629595,2,3,6,12,1,3,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:61.1-76.7",,2,2,4,8,1,2,0,0,0,"autfilt %H > %O","ok",0,0.0105075,2,2,4,8,1,2,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:61.1-76.7",,2,2,4,8,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.613157,2,2,4,8,1,2,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:61.1-76.7",,2,2,4,8,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.6175,2,2,4,8,1,2,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:61.1-76.7",,2,2,4,8,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.615323,2,2,4,8,1,2,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:61.1-76.7",,2,2,4,8,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.604693,2,2,4,8,1,2,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:77.1-97.7",,2,3,9,14,2,3,1,1,0,"autfilt %H > %O","ok",0,0.0104237,2,3,9,14,2,3,1,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:77.1-97.7",,2,3,9,14,2,3,1,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.640633,2,3,9,14,2,3,1,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:77.1-97.7",,2,3,9,14,2,3,1,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.631227,2,3,9,14,2,3,1,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:77.1-97.7",,2,3,9,14,2,3,1,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.648617,2,3,9,14,2,3,1,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:77.1-97.7",,2,3,9,14,2,3,1,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.694735,2,3,9,14,2,3,1,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:98.1-115.7",,2,4,5,13,0,4,0,0,0,"autfilt %H > %O","ok",0,0.0103832,2,4,5,13,0,4,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:98.1-115.7",,2,4,5,13,0,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.590686,2,4,5,13,0,4,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:98.1-115.7",,2,4,5,13,0,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.61207,2,4,5,13,0,4,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:98.1-115.7",,2,4,5,13,0,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.613612,2,4,5,13,0,4,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:98.1-115.7",,2,4,5,13,0,4,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.609469,2,4,5,13,0,4,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:116.1-130.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.0104666,1,2,3,4,1,2,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:116.1-130.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.6147,1,2,3,4,1,2,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:116.1-130.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.623703,1,2,3,4,1,2,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:116.1-130.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.598727,1,2,3,4,1,2,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:116.1-130.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.60207,1,2,3,4,1,2,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:131.1-157.7",,3,6,12,45,1,4,2,1,0,"autfilt %H > %O","ok",0,0.0097425,3,6,12,45,1,4,2,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:131.1-157.7",,3,6,12,45,1,4,2,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.599159,3,6,12,45,1,4,2,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:131.1-157.7",,3,6,12,45,1,4,2,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.607318,3,6,12,45,1,4,2,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:131.1-157.7",,3,6,12,45,1,4,2,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.615124,3,6,12,45,1,4,2,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:131.1-157.7",,3,6,12,45,1,4,2,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.597878,3,6,12,45,1,4,2,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:158.1-169.7",,1,1,1,1,0,1,0,0,0,"autfilt %H > %O","ok",0,0.00953791,1,1,1,1,0,1,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:158.1-169.7",,1,1,1,1,0,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.599153,1,1,1,1,0,1,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:158.1-169.7",,1,1,1,1,0,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.631715,1,1,1,1,0,1,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:158.1-169.7",,1,1,1,1,0,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.603474,1,1,1,1,0,1,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:158.1-169.7",,1,1,1,1,0,1,0,0,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.610114,1,1,1,1,0,1,0,0,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:170.1-287.7",,3,29,80,190,1,26,10,1,0,"autfilt %H > %O","ok",0,0.0107828,3,29,80,190,1,26,10,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:170.1-287.7",,3,29,80,190,1,26,10,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.640106,3,29,80,190,1,26,10,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:170.1-287.7",,3,29,80,190,1,26,10,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.67614,3,29,80,190,1,26,10,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:170.1-287.7",,3,29,80,190,1,26,10,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.625513,3,29,80,190,1,26,10,1,0
"/home/xschwar3/telatko/statistics/sat23-camera-ready/random/random-ltl3tela.hoa:170.1-287.7",,3,29,80,190,1,26,10,1,0,"/home/xschwar3/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.596687,3,29,80,190,1,26,10,1,0
