"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"(X(p1)) R (((G(p1)) R (p2)) W (p3))","ltl2tgba_det","ok",0,0.0162883,11,34,57,1,8,0,0,0,"HOA: v1 name: ""Xp1 R ((Gp1 R p2) W p3)"" States: 11 Start: 1 AP: 3 ""p2"" ""p1"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [t] 0 State: 1 [2] 2 [0&1&!2] 4 [0&!1&!2] 6 State: 2 {0} [1] 0 [!1&2] 2 [0&!1&!2] 6 State: 3 {0} [0&!1&2] 3 [0&!1&!2] 6 [0&1] 10 State: 4 [0&!1&2] 3 [0&1&!2] 5 [0&!1&!2] 6 [!0&1&2] 8 [0&1&2] 10 State: 5 {0} [0&1&!2] 5 [0&!1&!2] 7 [!0&1&2] 8 [0&!1&2] 9 [0&1&2] 10 State: 6 {0} [0&!1&2] 3 [0&1&!2] 5 [0&!1&!2] 6 [0&1&2] 10 State: 7 {0} [0&1&!2] 5 [0&!1&!2] 7 [0&!1&2] 9 [0&1&2] 10 State: 8 {0} [1] 8 State: 9 {0} [0&!1] 9 [0&1] 10 State: 10 {0} [!0&1] 8 [0&!1] 9 [0&1] 10 --END--"
"(X(p1)) R (((G(p1)) R (p2)) W (p3))","ltl3tela_det","ok",0,0.0172513,11,34,57,1,8,0,0,0,"HOA: v1 States: 11 Start: 1 AP: 3 ""p2"" ""p1"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [t] 0 State: 1 [2] 2 [0&1&!2] 4 [0&!1&!2] 6 State: 2 {0} [1] 0 [!1&2] 2 [0&!1&!2] 6 State: 3 {0} [0&!1&2] 3 [0&!1&!2] 6 [0&1] 10 State: 4 [0&!1&2] 3 [0&1&!2] 5 [0&!1&!2] 6 [!0&1&2] 9 [0&1&2] 10 State: 5 {0} [0&1&!2] 5 [0&!1&!2] 7 [0&!1&2] 8 [!0&1&2] 9 [0&1&2] 10 State: 6 {0} [0&!1&2] 3 [0&1&!2] 5 [0&!1&!2] 6 [0&1&2] 10 State: 7 {0} [0&1&!2] 5 [0&!1&!2] 7 [0&!1&2] 8 [0&1&2] 10 State: 8 {0} [0&!1] 8 [0&1] 10 State: 9 {0} [1] 9 State: 10 {0} [0&!1] 8 [!0&1] 9 [0&1] 10 --END--"
"(X(p1)) R (((G(p1)) R (p2)) W (p3))","ltl2tgba","ok",0,0.0136847,10,22,52,0,10,4,1,0,"HOA: v1 name: ""Xp1 R ((Gp1 R p2) W p3)"" States: 10 Start: 0 AP: 3 ""p2"" ""p1"" ""p3"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc very-weak --BODY-- State: 0 [2] 0 [2] 1 [0&!2] 2 [0&!2] 3 [0&1&!2] 4 State: 1 [1] 5 State: 2 [0&1&2] 7 [0&1&!2] 8 State: 3 [0&!2] 2 [0] 3 [0&1&!2] 4 [0&1&2] 6 [0&2] 9 State: 4 [!0&1&2] 6 State: 5 [t] 5 State: 6 [1] 6 State: 7 [0&1&!2] 6 [0] 7 State: 8 [0&!1&2] 7 [0&!1&!2] 8 State: 9 [0&1&!2] 6 [0&1] 7 --END--"
"(X(p1)) R (((G(p1)) R (p2)) W (p3))","ltl3tela","ok",0,0.0186622,10,22,52,0,10,4,1,0,"HOA: v1 States: 10 Start: 0 AP: 3 ""p2"" ""p1"" ""p3"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc very-weak --BODY-- State: 0 [2] 0 [2] 1 [0&1&!2] 2 [0&!2] 3 [0&!2] 4 State: 1 [1] 5 State: 2 [!0&1&2] 6 State: 3 [0&1&2] 7 [0&1&!2] 8 State: 4 [0&1&!2] 2 [0&!2] 3 [0] 4 [0&1&2] 6 [0&2] 9 State: 5 [t] 5 State: 6 [1] 6 State: 7 [0&1&!2] 6 [0] 7 State: 8 [0&!1&2] 7 [0&!1&!2] 8 State: 9 [0&1&!2] 6 [0&1] 7 --END--"
"(X(p1)) R (((G(p1)) R (p2)) W (p3))","delag","ok",0,0.30071,11,34,57,0,8,0,0,0,"HOA: v1 name: ""Automaton for ((X(p1)) R (((((G(p1)) R (p2))) W (p3))))"" States: 11 Start: 0 AP: 3 ""p2"" ""p1"" ""p3"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 [0&!1&!2] 1 [0&1&!2] 2 [2] 3 State: 1 [0&!1&!2] 1 [0&!1&2] 4 [0&1&2] 5 [0&1&!2] 6 State: 2 [!0&1&2] 7 [0&!1&!2] 1 [0&!1&2] 4 [0&1&2] 5 [0&1&!2] 6 State: 3 [0&!1&!2] 1 [!1&2] 3 [1] 8 State: 4 [0&!1&!2] 1 [0&!1&2] 4 [0&1] 5 State: 5 [!0&1] 7 [0&!1] 9 [0&1] 5 State: 6 [!0&1&2] 7 [0&!1&2] 9 [0&1&2] 5 [0&!1&!2] 10 [0&1&!2] 6 State: 7 [1] 7 State: 8 [t] 8 State: 9 [0&!1] 9 [0&1] 5 State: 10 [0&!1&2] 9 [0&1&2] 5 [0&!1&!2] 10 [0&1&!2] 6 --END--"
"(X(p1)) R (((G(p1)) R (p2)) W (p3))","rabinizer4","ok",0,0.0306266,11,34,57,1,8,0,0,0,"HOA: v1 name: ""Automaton for ((X(p1)) R (((((G(p1)) R (p2))) W (p3))))"" States: 11 Start: 0 AP: 3 ""p2"" ""p1"" ""p3"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 [2] 1 [0&!1&!2] 2 [0&1&!2] 3 State: 1 [1] 4 [!1&2] 1 [0&!1&!2] 2 State: 2 [0&1&!2] 5 [0&!1&!2] 2 [0&!1&2] 6 [0&1&2] 7 State: 3 [0&1&!2] 5 [0&!1&!2] 2 [0&!1&2] 6 [0&1&2] 7 [!0&1&2] 8 State: 4 [t] 4 State: 5 [0&!1&2] 9 [0&1&!2] 5 [0&!1&!2] 10 [0&1&2] 7 [!0&1&2] 8 State: 6 [0&!1&!2] 2 [0&!1&2] 6 [0&1] 7 State: 7 [0&!1] 9 [0&1] 7 [!0&1] 8 State: 8 [1] 8 State: 9 [0&!1] 9 [0&1] 7 State: 10 [0&!1&2] 9 [0&1&!2] 5 [0&!1&!2] 10 [0&1&2] 7 --END--"
"(F(p3)) | (G(!(p2)))","ltl2tgba_det","ok",0,0.00989666,3,6,12,1,3,0,0,1,"HOA: v1 name: ""Fp3 | G!p2"" States: 3 Start: 2 AP: 2 ""p3"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant very-weak --BODY-- State: 0 [!0] 0 [0] 1 State: 1 {0} [t] 1 State: 2 {0} [!0&1] 0 [0] 1 [!0&!1] 2 --END--"
"(F(p3)) | (G(!(p2)))","ltl3tela_det","ok",0,0.00546665,3,6,12,1,3,0,0,1,"HOA: v1 States: 3 Start: 2 AP: 2 ""p3"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic very-weak --BODY-- State: 0 [!0] 0 [0] 1 State: 1 {0} [t] 1 State: 2 {0} [!0&1] 0 [0] 1 [!0&!1] 2 --END--"
"(F(p3)) | (G(!(p2)))","ltl2tgba","ok",0,0.0100697,3,6,12,1,3,0,0,1,"HOA: v1 name: ""Fp3 | G!p2"" States: 3 Start: 2 AP: 2 ""p3"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant very-weak --BODY-- State: 0 [!0] 0 [0] 1 State: 1 {0} [t] 1 State: 2 {0} [!0&1] 0 [0] 1 [!0&!1] 2 --END--"
"(F(p3)) | (G(!(p2)))","ltl3tela","ok",0,0.00605982,3,6,12,1,3,0,0,1,"HOA: v1 States: 3 Start: 2 AP: 2 ""p3"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic very-weak --BODY-- State: 0 [!0] 0 [0] 1 State: 1 {0} [t] 1 State: 2 {0} [!0&1] 0 [0] 1 [!0&!1] 2 --END--"
