"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00973186,1,2,3,4,1,2,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.622765,1,2,3,4,1,2,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.598971,1,2,3,4,1,2,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.606512,1,2,3,4,1,2,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.589971,1,2,3,4,1,2,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00918335,2,4,9,16,1,4,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.598749,2,4,9,16,1,4,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.601046,2,4,9,16,1,4,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.597254,2,4,9,16,1,4,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.60415,2,4,9,16,1,4,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"autfilt %H > %O","ok",0,0.00974104,3,8,27,64,1,8,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.606151,3,8,27,64,1,8,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.594937,3,8,27,64,1,8,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.589295,3,8,27,64,1,8,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 3 -I -G -O %O","ok",0,0.576309,3,8,27,64,1,8,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"autfilt %H > %O","ok",0,0.00978302,4,16,81,256,1,16,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 1 -I -O %O","ok",0,0.585335,4,16,81,256,1,16,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 2 -I -O %O","ok",0,0.58966,4,16,81,256,1,16,0,0,0
"/home/xschwar3/telatko/sat23/patterns/patterns-ltl3tela.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"/home/xschwar3/Desktop/telatko/telatko.py -F %H -T 30 -L 3 -I -O %O","ok",0,0.592786,4,16,81,256,1,16,0,0,0
