"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-delag.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00845586,1,2,3,4,1,2,0,0,0
"patterns-delag.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,1,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.581502,1,2,3,4,1,2,0,0,0
"patterns-delag.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,1,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.564959,1,2,3,4,1,2,0,0,0
"patterns-delag.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,1,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.560452,1,2,3,4,1,2,0,0,0
"patterns-delag.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,1,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.557882,1,2,3,4,1,2,0,0,0
"patterns-delag.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00736459,2,4,9,16,1,4,0,0,0
"patterns-delag.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,1,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.571292,2,4,9,16,1,4,0,0,0
"patterns-delag.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,1,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.583705,2,4,9,16,1,4,0,0,0
"patterns-delag.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,1,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.568371,2,4,9,16,1,4,0,0,0
"patterns-delag.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,1,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.557726,2,4,9,16,1,4,0,0,0
"patterns-delag.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,1,8,0,0,0,"autfilt %H > %O","ok",0,0.00737355,3,8,27,64,1,8,0,0,0
"patterns-delag.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,1,8,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.562503,3,8,27,64,1,8,0,0,0
"patterns-delag.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,1,8,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.549481,3,8,27,64,1,8,0,0,0
"patterns-delag.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,1,8,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.553526,3,8,27,64,1,8,0,0,0
"patterns-delag.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,1,8,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.568796,3,8,27,64,1,8,0,0,0
"patterns-delag.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,1,16,0,0,0,"autfilt %H > %O","ok",0,0.00824079,4,16,81,256,1,16,0,0,0
"patterns-delag.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,1,16,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.565661,4,16,81,256,1,16,0,0,0
"patterns-delag.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,1,16,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.567442,4,16,81,256,1,16,0,0,0
"patterns-delag.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,1,16,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.568592,4,16,81,256,1,16,0,0,0
"patterns-delag.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,1,16,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.561381,4,16,81,256,1,16,0,0,0
"patterns-delag.hoa:195.1-208.7","Automaton for F(G(p1))",1,1,2,2,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00744468,1,1,2,2,1,1,0,0,0
"patterns-delag.hoa:195.1-208.7","Automaton for F(G(p1))",1,1,2,2,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.550411,1,1,2,2,1,1,0,0,0
"patterns-delag.hoa:195.1-208.7","Automaton for F(G(p1))",1,1,2,2,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.64895,1,1,2,2,1,1,0,0,0
"patterns-delag.hoa:195.1-208.7","Automaton for F(G(p1))",1,1,2,2,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.554583,1,1,2,2,1,1,0,0,0
"patterns-delag.hoa:195.1-208.7","Automaton for F(G(p1))",1,1,2,2,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.563455,1,1,2,2,1,1,0,0,0
"patterns-delag.hoa:209.1-222.7","Automaton for ((F(G(p1))) & (F(G(p2))))",2,1,2,4,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00800255,2,1,2,4,1,1,0,0,0
"patterns-delag.hoa:209.1-222.7","Automaton for ((F(G(p1))) & (F(G(p2))))",2,1,2,4,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.552496,2,1,2,4,1,1,0,0,0
"patterns-delag.hoa:209.1-222.7","Automaton for ((F(G(p1))) & (F(G(p2))))",2,1,2,4,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.558926,2,1,2,4,1,1,0,0,0
"patterns-delag.hoa:209.1-222.7","Automaton for ((F(G(p1))) & (F(G(p2))))",2,1,2,4,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.552346,2,1,2,4,1,1,0,0,0
"patterns-delag.hoa:209.1-222.7","Automaton for ((F(G(p1))) & (F(G(p2))))",2,1,2,4,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.543975,2,1,2,4,1,1,0,0,0
"patterns-delag.hoa:223.1-236.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))))",3,1,2,8,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00742283,3,1,2,8,1,1,0,0,0
"patterns-delag.hoa:223.1-236.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))))",3,1,2,8,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.569063,3,1,2,8,1,1,0,0,0
"patterns-delag.hoa:223.1-236.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))))",3,1,2,8,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.565986,3,1,2,8,1,1,0,0,0
"patterns-delag.hoa:223.1-236.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))))",3,1,2,8,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.556159,3,1,2,8,1,1,0,0,0
"patterns-delag.hoa:223.1-236.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))))",3,1,2,8,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.596153,3,1,2,8,1,1,0,0,0
"patterns-delag.hoa:237.1-250.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))))",4,1,2,16,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00756607,4,1,2,16,1,1,0,0,0
"patterns-delag.hoa:237.1-250.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))))",4,1,2,16,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.560925,4,1,2,16,1,1,0,0,0
"patterns-delag.hoa:237.1-250.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))))",4,1,2,16,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.564175,4,1,2,16,1,1,0,0,0
"patterns-delag.hoa:237.1-250.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))))",4,1,2,16,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.547815,4,1,2,16,1,1,0,0,0
"patterns-delag.hoa:237.1-250.7","Automaton for ((F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))))",4,1,2,16,1,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.549882,4,1,2,16,1,1,0,0,0
"patterns-delag.hoa:251.1-264.7","Automaton for G(F(p1))",1,1,2,2,1,1,0,0,0,"autfilt %H > %O","ok",0,0.00787932,1,1,2,2,1,1,0,0,0
