"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00817884,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.599322,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.564914,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.564148,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:1.1-15.7",,1,2,3,4,1,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.561681,1,2,3,4,1,2,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00757577,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.55708,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.569077,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.584566,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:16.1-38.7",,2,4,9,16,1,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.578926,2,4,9,16,1,4,0,0,0
"patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"autfilt %H > %O","ok",0,0.00731811,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.557126,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.565428,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.567123,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela.hoa:39.1-83.7",,3,8,27,64,1,8,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.547432,3,8,27,64,1,8,0,0,0
"patterns-ltl3tela.hoa:84.1-190.7",,4,16,81,256,1,16,0,0,0,"autfilt %H > %O","ok",0,0.00792126,4,16,81,256,1,16,0,0,0
