"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"autfilt %H > %O","ok",0,0.0073555,1,2,3,4,2,2,0,0,0
"patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.575868,1,2,3,4,1,2,0,0,0
"patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.587795,1,2,3,4,1,2,0,0,0
"patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.564916,1,2,3,4,1,2,0,0,0
"patterns-rabinizer4.hoa:1.1-16.7","Automaton for F(p1)",1,2,3,4,2,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -O %O","ok",0,0.553206,1,2,3,4,1,2,0,0,0
"patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"autfilt %H > %O","ok",0,0.00766285,2,4,9,16,2,4,0,0,0
"patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.595133,2,4,9,16,1,4,0,0,0
"patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.544048,2,4,9,16,1,4,0,0,0
"patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.55635,2,4,9,16,1,4,0,0,0
"patterns-rabinizer4.hoa:17.1-40.7","Automaton for ((F(p1)) & (F(p2)))",2,4,9,16,2,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -O %O","ok",0,0.555395,2,4,9,16,1,4,0,0,0
"patterns-rabinizer4.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,2,8,0,0,0,"autfilt %H > %O","ok",0,0.00732624,3,8,27,64,2,8,0,0,0
"patterns-rabinizer4.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,2,8,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.586258,3,8,27,64,1,8,0,0,0
"patterns-rabinizer4.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,2,8,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.572034,3,8,27,64,1,8,0,0,0
"patterns-rabinizer4.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,2,8,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.582428,3,8,27,64,1,8,0,0,0
"patterns-rabinizer4.hoa:41.1-86.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)))",3,8,27,64,2,8,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -O %O","ok",0,0.664846,3,8,27,64,1,8,0,0,0
"patterns-rabinizer4.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,2,16,0,0,0,"autfilt %H > %O","ok",0,0.00820364,4,16,81,256,2,16,0,0,0
"patterns-rabinizer4.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,2,16,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.567195,4,16,81,256,1,16,0,0,0
"patterns-rabinizer4.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,2,16,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.574621,4,16,81,256,1,16,0,0,0
"patterns-rabinizer4.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,2,16,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.577473,4,16,81,256,1,16,0,0,0
"patterns-rabinizer4.hoa:87.1-194.7","Automaton for ((F(p1)) & (F(p2)) & (F(p3)) & (F(p4)))",4,16,81,256,2,16,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -O %O","ok",0,0.579981,4,16,81,256,1,16,0,0,0
