"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00895049,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.551446,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.507967,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.51891,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -O %O","ok",0,0.517635,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00714337,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.524039,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.506748,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.524271,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -O %O","ok",0,0.519199,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"autfilt %H > %O","ok",0,0.00717822,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.51881,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.520964,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.527637,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"/home/ter/telatko/telatko.py -F %H -T 15 -I -O %O","ok",0,0.520394,3,8,27,64,1,8,0,0,0
