"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./bp_sets/rab4.hoa:1.1-70.7",,3,14,46,72,4,10,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.598693,3,14,46,72,0,10,0,0,0
"./bp_sets/rab4.hoa:1.1-70.7",,3,14,46,72,4,10,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.552492,3,14,46,72,0,10,0,0,0
"./bp_sets/rab4.hoa:71.1-89.7",,2,3,6,12,2,3,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.556165,2,3,6,12,1,3,0,0,0
"./bp_sets/rab4.hoa:71.1-89.7",,2,3,6,12,2,3,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.56252,2,3,6,12,1,3,0,0,0
"./bp_sets/rab4.hoa:90.1-101.7",,0,1,1,1,2,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.555751,0,1,1,1,0,1,0,0,0
"./bp_sets/rab4.hoa:90.1-101.7",,0,1,1,1,2,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.562105,0,1,1,1,0,1,0,0,0
"./bp_sets/rab4.hoa:102.1-117.7",,2,2,4,8,2,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.585532,2,2,4,8,1,2,0,0,0
"./bp_sets/rab4.hoa:102.1-117.7",,2,2,4,8,2,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.580701,2,2,4,8,1,2,0,0,0
"./bp_sets/rab4.hoa:118.1-141.7",,2,4,10,16,4,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.654347,2,4,10,16,2,4,0,0,0
"./bp_sets/rab4.hoa:118.1-141.7",,2,4,10,16,4,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.633222,2,4,10,16,2,4,0,0,0
"./bp_sets/rab4.hoa:142.1-160.7",,2,4,5,13,2,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.538019,2,4,5,13,1,4,0,0,0
"./bp_sets/rab4.hoa:142.1-160.7",,2,4,5,13,2,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.564728,2,4,5,13,0,4,0,0,0
"./bp_sets/rab4.hoa:161.1-178.7",,2,3,5,12,2,3,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.561105,2,3,5,12,1,3,0,0,0
"./bp_sets/rab4.hoa:161.1-178.7",,2,3,5,12,2,3,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.569907,2,3,5,12,1,3,0,0,0
"./bp_sets/rab4.hoa:179.1-189.7",,0,1,0,0,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.564628,0,1,0,0,0,1,0,0,0
"./bp_sets/rab4.hoa:179.1-189.7",,0,1,0,0,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.549107,0,1,0,0,0,1,0,0,0
"./bp_sets/rab4.hoa:190.1-247.7",,4,12,36,138,8,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.952258,4,12,36,138,2,4,0,0,0
"./bp_sets/rab4.hoa:190.1-247.7",,4,12,36,138,8,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,2.85014,4,12,36,138,2,4,0,0,0
"./bp_sets/rab4.hoa:248.1-259.7",,1,1,1,1,1,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.558594,1,1,1,1,0,1,0,0,0
"./bp_sets/rab4.hoa:248.1-259.7",,1,1,1,1,1,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.557566,1,1,1,1,0,1,0,0,0
"./bp_sets/rab4.hoa:260.1-270.7",,0,1,0,0,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.560681,0,1,0,0,0,1,0,0,0
"./bp_sets/rab4.hoa:260.1-270.7",,0,1,0,0,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.553036,0,1,0,0,0,1,0,0,0
"./bp_sets/rab4.hoa:271.1-374.7",,4,21,73,286,2,13,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.659823,4,21,73,286,2,13,0,0,0
"./bp_sets/rab4.hoa:271.1-374.7",,4,21,73,286,2,13,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.638381,4,21,73,286,2,13,0,0,0
"./bp_sets/rab4.hoa:375.1-390.7",,3,2,4,16,1,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.565157,3,2,4,16,1,1,0,0,0
"./bp_sets/rab4.hoa:375.1-390.7",,3,2,4,16,1,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.577054,3,2,4,16,1,1,0,0,0
"./bp_sets/rab4.hoa:391.1-408.7",,3,3,5,14,1,3,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.553033,3,3,5,14,1,3,0,0,0
"./bp_sets/rab4.hoa:391.1-408.7",,3,3,5,14,1,3,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.560837,3,3,5,14,1,3,0,0,0
"./bp_sets/rab4.hoa:409.1-449.7",,3,8,23,47,4,6,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.592771,3,8,23,47,0,6,0,0,0
"./bp_sets/rab4.hoa:409.1-449.7",,3,8,23,47,4,6,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.567391,3,8,23,47,0,6,0,0,0
"./bp_sets/rab4.hoa:450.1-467.7",,2,4,4,7,1,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.555975,2,4,4,7,0,4,0,0,0
"./bp_sets/rab4.hoa:450.1-467.7",,2,4,4,7,1,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.565043,2,4,4,7,0,4,0,0,0
"./bp_sets/rab4.hoa:468.1-479.7",,2,1,1,4,2,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.554969,2,1,1,4,0,1,0,0,0
"./bp_sets/rab4.hoa:468.1-479.7",,2,1,1,4,2,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.560947,2,1,1,4,0,1,0,0,0
"./bp_sets/rab4.hoa:480.1-525.7",,3,8,28,45,3,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.588658,3,8,28,45,1,4,0,0,0
"./bp_sets/rab4.hoa:480.1-525.7",,3,8,28,45,3,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.610351,3,8,28,45,1,4,0,0,0
"./bp_sets/rab4.hoa:526.1-562.7",,3,8,19,47,2,8,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.548224,3,8,19,47,1,8,0,0,0
"./bp_sets/rab4.hoa:526.1-562.7",,3,8,19,47,2,8,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.556756,3,8,19,47,1,8,0,0,0
"./bp_sets/rab4.hoa:563.1-582.7",,3,4,6,32,2,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.557686,3,4,6,32,1,4,0,0,0
"./bp_sets/rab4.hoa:563.1-582.7",,3,4,6,32,2,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.557752,3,4,6,32,1,4,0,0,0
"./bp_sets/rab4.hoa:583.1-605.7",,2,5,8,20,2,5,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.554507,2,5,8,20,1,5,0,0,0
"./bp_sets/rab4.hoa:583.1-605.7",,2,5,8,20,2,5,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.564915,2,5,8,20,1,5,0,0,0
"./bp_sets/rab4.hoa:606.1-622.7",,3,3,4,24,2,3,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.552413,3,3,4,24,1,3,0,0,0
"./bp_sets/rab4.hoa:606.1-622.7",,3,3,4,24,2,3,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.565902,3,3,4,24,1,3,0,0,0
"./bp_sets/rab4.hoa:623.1-637.7",,2,2,3,7,2,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.559514,2,2,3,7,1,2,0,0,0
"./bp_sets/rab4.hoa:623.1-637.7",,2,2,3,7,2,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.556506,2,2,3,7,0,2,0,0,0
"./bp_sets/rab4.hoa:638.1-651.7",,1,2,2,3,2,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.565409,1,2,2,3,1,2,0,0,0
"./bp_sets/rab4.hoa:638.1-651.7",,1,2,2,3,2,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.552098,1,2,2,3,1,2,0,0,0
"./bp_sets/rab4.hoa:652.1-665.7",,1,2,2,3,1,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.563656,1,2,2,3,0,2,0,0,0
"./bp_sets/rab4.hoa:652.1-665.7",,1,2,2,3,1,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,0.564524,1,2,2,3,0,2,0,0,0
"./bp_sets/rab4.hoa:666.1-744.7",,3,12,57,96,6,7,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,1.05842,3,12,57,96,3,7,0,0,0
"./bp_sets/rab4.hoa:666.1-744.7",,3,12,57,96,6,7,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3 -B telatko","ok",0,1.45537,3,12,57,96,3,7,0,0,0
"./bp_sets/rab4.hoa:745.1-799.7",,2,12,33,48,6,9,0,0,0,"python3 ./main.py -F%H -O%O -L 2 -Q z3","ok",0,0.709465,2,12,33,48,1,9,0,0,0
