"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"set1.hoa:1.1-56.7",,3,12,36,69,5,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,100.578,3,12,36,69,5,4,0,0,0
"set1.hoa:57.1-77.7",,3,4,8,26,3,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.440238,3,4,8,26,1,4,0,0,0
"set1.hoa:78.1-102.7",,3,5,10,40,3,5,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.442248,3,5,10,40,2,5,0,0,0
"set1.hoa:103.1-134.7",,2,6,16,24,5,6,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.582392,2,6,16,24,2,6,0,0,0
"set1.hoa:135.1-165.7",,2,6,16,24,3,6,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.421113,2,6,16,24,1,6,0,0,0
"set1.hoa:166.1-190.7",,2,5,12,18,4,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.41804,2,5,12,18,1,4,0,0,0
"set1.hoa:191.1-220.7",,2,8,14,17,2,7,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.415972,2,8,14,17,0,7,0,0,0
"set1.hoa:221.1-275.7",,3,12,34,52,2,10,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.416938,3,12,34,52,1,10,0,0,0
"set1.hoa:276.1-298.7",,2,4,10,16,2,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.43269,2,4,10,16,2,4,0,0,0
"set1.hoa:299.1-325.7",,2,6,12,18,2,6,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.415241,2,6,12,18,1,6,0,0,0
"set1.hoa:326.1-361.7",,2,7,19,28,5,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.53486,2,7,19,28,1,4,0,0,0
"set1.hoa:362.1-391.7",,2,8,14,21,2,7,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.420618,2,8,14,21,1,7,0,0,0
"set1.hoa:392.1-424.7",,2,8,16,23,3,6,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.445507,2,8,16,23,1,6,0,0,0
"set1.hoa:425.1-446.7",,3,4,8,32,5,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.448481,3,4,8,32,1,4,0,0,0
"set1.hoa:447.1-581.7",,3,24,102,136,3,13,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,100.581,3,24,102,136,3,13,0,0,0
"set1.hoa:582.1-618.7",,3,8,21,48,4,6,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.464352,3,8,21,48,1,6,0,0,0
"set1.hoa:619.1-644.7",,3,5,13,32,4,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.482682,3,5,13,32,0,4,0,0,0
"set1.hoa:645.1-677.7",,3,6,19,40,2,5,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.446051,3,6,19,40,1,5,0,0,0
"set1.hoa:678.1-766.7",,3,15,65,120,5,11,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,215.526,3,15,65,120,1,11,0,0,0
"set1.hoa:767.1-822.7",,3,12,35,77,5,10,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.703721,3,12,35,77,2,10,0,0,0
"set1.hoa:823.1-855.7",,3,7,17,38,2,5,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.414451,3,7,17,38,0,5,0,0,0
"set1.hoa:856.1-884.7",,2,7,13,21,0,7,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.3978,2,7,13,21,0,7,0,0,0
"set1.hoa:885.1-934.7",,3,8,32,64,3,6,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.489474,3,8,32,64,1,6,0,0,0
"set1.hoa:935.1-972.7",,2,7,21,28,3,6,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.43168,2,7,21,28,1,6,0,0,0
"set1.hoa:973.1-1028.7",,3,9,37,72,4,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.792053,3,9,37,72,1,4,0,0,0
"set1.hoa:1029.1-1088.7",,3,11,40,88,5,10,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.463285,3,11,40,88,2,10,0,0,0
"set1.hoa:1089.1-1148.7",,3,11,41,54,5,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,100.59,3,11,41,54,4,4,0,0,0
"set1.hoa:1149.1-1220.7",,3,14,50,108,2,13,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.43042,3,14,50,108,1,13,0,0,0
"set1.hoa:1221.1-1254.7",,2,7,17,28,5,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.618462,2,7,17,28,1,4,0,0,0
"set1.hoa:1255.1-1311.7",,2,15,33,40,2,11,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.459523,2,15,33,40,1,11,0,0,0
"set1.hoa:1312.1-1339.7",,2,5,14,20,2,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.422237,2,5,14,20,1,4,0,0,0
"set1.hoa:1340.1-1395.7",,3,11,37,75,4,9,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.423867,3,11,37,75,1,9,0,0,0
"set1.hoa:1396.1-1418.7",,2,5,9,16,0,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.418552,2,5,9,16,0,4,0,0,0
"set1.hoa:1419.1-1445.7",,3,5,13,27,2,4,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.432192,3,5,13,27,0,4,0,0,0
"set1.hoa:1446.1-1608.7",,3,30,125,192,5,23,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,50.5596,3,30,125,192,1,23,0,0,0
"set1.hoa:1609.1-1694.7",,3,16,62,90,3,7,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.426818,3,16,62,90,1,7,0,0,0
"set1.hoa:1695.1-1726.7",,3,6,18,44,2,5,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.429842,3,6,18,44,1,5,0,0,0
"set1.hoa:1727.1-1841.7",,3,24,82,144,9,18,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,193.528,3,24,82,144,3,18,0,0,0
"set1.hoa:1842.1-1862.7",,3,5,8,32,2,5,0,0,0,"python3 ./main.py -F%H -O%O -M 2","ok",0,0.430855,3,5,8,32,0,5,0,0,0
