"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"set1.prec:1.1-56.7",,3,12,36,69,4,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00997509,3,10,29,61,4,4,0,0,0
"set1.prec:57.1-76.7",,3,4,8,26,1,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00774815,1,2,2,3,1,2,0,0,0
"set1.prec:77.1-101.7",,3,5,10,40,2,5,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00755238,3,5,10,40,2,5,0,0,0
"set1.prec:102.1-132.7",,2,6,16,24,2,6,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00711065,2,6,14,24,2,6,0,0,0
"set1.prec:133.1-164.7",,2,6,16,24,1,6,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00715723,2,4,9,16,1,4,0,0,0
"set1.prec:165.1-190.7",,2,5,12,18,1,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00803334,2,5,12,18,1,4,0,0,0
"set1.prec:191.1-221.7",,2,8,14,17,0,7,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00746317,2,8,14,17,1,7,0,0,0
"set1.prec:222.1-276.7",,3,12,34,52,1,10,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00729607,3,3,4,9,1,3,0,0,0
"set1.prec:277.1-300.7",,2,4,10,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00675936,2,4,10,16,2,4,0,0,0
"set1.prec:301.1-327.7",,2,6,12,18,1,6,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00801371,2,4,7,12,1,4,0,0,0
"set1.prec:328.1-363.7",,2,7,19,28,1,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00720099,2,5,12,20,1,3,0,0,0
"set1.prec:364.1-394.7",,2,8,14,21,1,7,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00684277,2,5,8,15,1,5,0,0,0
"set1.prec:395.1-427.7",,2,8,16,23,1,6,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.0075222,2,8,16,23,1,6,0,0,0
"set1.prec:428.1-449.7",,3,4,8,32,1,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00850165,3,4,6,32,1,4,0,0,0
"set1.prec:450.1-583.7",,3,24,102,136,3,13,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.010908,3,10,39,65,3,10,0,0,0
"set1.prec:584.1-621.7",,3,8,21,48,2,6,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00795247,3,8,17,48,1,6,0,0,0
"set1.prec:622.1-648.7",,3,5,13,32,0,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00794092,3,5,10,32,1,4,0,0,0
"set1.prec:649.1-681.7",,3,6,19,40,1,5,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00773346,3,5,10,36,1,4,0,0,0
"set1.prec:682.1-770.7",,3,15,65,120,2,11,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00752157,3,15,60,120,2,11,0,0,0
"set1.prec:771.1-825.7",,3,12,35,77,2,10,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.0067431,3,10,29,63,2,8,0,0,0
"set1.prec:826.1-858.7",,3,7,17,38,0,5,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00789343,3,7,17,38,1,5,0,0,0
"set1.prec:859.1-887.7",,2,7,13,21,0,7,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00738343,2,6,11,19,1,6,0,0,0
"set1.prec:888.1-937.7",,3,8,32,64,2,6,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00833525,3,8,32,64,2,6,0,0,0
"set1.prec:938.1-975.7",,2,7,21,28,1,6,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.007051,2,6,17,24,1,5,0,0,0
"set1.prec:976.1-1031.7",,3,9,37,72,2,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00816797,3,9,37,72,2,4,0,0,0
"set1.prec:1032.1-1092.7",,3,11,40,88,2,10,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.0106141,3,11,40,88,2,10,0,0,0
"set1.prec:1093.1-1152.7",,3,11,41,54,1,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00950366,3,9,30,44,1,3,0,0,0
"set1.prec:1153.1-1225.7",,3,14,50,108,1,13,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00953266,3,11,37,84,1,10,0,0,0
"set1.prec:1226.1-1259.7",,2,7,17,28,1,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00751105,2,6,14,24,1,3,0,0,0
"set1.prec:1260.1-1316.7",,2,15,33,40,1,11,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00808336,2,12,27,33,1,8,0,0,0
"set1.prec:1317.1-1345.7",,2,5,14,20,1,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00736935,2,4,10,16,1,3,0,0,0
"set1.prec:1346.1-1402.7",,3,11,37,75,1,9,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00871128,3,10,31,67,1,8,0,0,0
"set1.prec:1403.1-1425.7",,2,5,9,16,0,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00724372,2,3,5,10,1,3,0,0,0
"set1.prec:1426.1-1452.7",,3,5,13,27,0,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00729798,3,4,8,21,1,3,0,0,0
"set1.prec:1453.1-1615.7",,3,30,125,192,1,23,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00851019,3,10,30,42,1,8,0,0,0
"set1.prec:1616.1-1702.7",,3,16,62,90,1,7,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00779901,3,10,34,54,1,5,0,0,0
"set1.prec:1703.1-1735.7",,3,6,18,44,1,5,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.0076923,3,6,18,44,1,5,0,0,0
"set1.prec:1736.1-1849.7",,3,24,82,144,2,18,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00720372,3,21,69,126,2,15,0,0,0
"set1.prec:1850.1-1871.7",,3,5,8,32,0,5,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.010038,3,4,6,28,1,4,0,0,0
"set1.prec:1872.1-1895.7",,2,4,11,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00790742,2,4,10,16,2,4,0,0,0
"set1.prec:1896.1-1955.7",,3,12,39,64,0,8,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00907875,3,11,34,57,1,8,0,0,0
"set1.prec:1956.1-1979.7",,2,4,10,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00795356,2,4,9,16,2,4,0,0,0
"set1.prec:1980.1-2035.7",,4,12,36,138,2,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00797454,3,10,29,61,2,4,0,0,0
"set1.prec:2036.1-2075.7",,3,8,23,47,0,6,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00742273,3,7,21,43,1,5,0,0,0
"set1.prec:2076.1-2120.7",,3,8,28,45,1,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00729504,3,8,25,45,1,4,0,0,0
"set1.prec:2121.1-2188.7",,3,10,48,80,3,7,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00829805,3,9,43,72,3,7,0,0,0
"set1.prec:2189.1-2242.7",,2,12,33,48,1,9,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00759515,2,12,32,48,1,9,0,0,0
"set1.prec:2243.1-2287.7",,3,8,28,64,3,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00692243,2,8,27,32,3,4,0,0,0
"set1.prec:2288.1-2311.7",,3,4,10,32,3,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.0069738,3,4,10,32,3,4,0,0,0
"set1.prec:2312.1-2335.7",,2,4,10,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00773207,2,4,10,16,2,4,0,0,0
"set1.prec:2336.1-2415.7",,3,13,58,80,1,6,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00797144,3,11,48,68,1,5,0,0,0
"set1.prec:2416.1-2468.7",,3,8,36,64,2,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00963478,3,6,17,48,2,4,0,0,0
"set1.prec:2469.1-2673.7",,4,28,168,424,1,23,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.0111727,4,18,89,264,1,15,0,0,0
"set1.prec:2674.1-2694.7",,3,4,8,14,1,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00834023,3,3,5,10,1,3,0,0,0
"set1.prec:2695.1-2716.7",,3,4,9,24,2,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00769207,3,3,7,20,2,3,0,0,0
"set1.prec:2717.1-2868.7",,4,28,115,346,0,25,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.0093942,4,20,62,262,1,20,0,0,0
"set1.prec:2869.1-2902.7",,3,6,18,48,1,5,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00739068,3,6,18,48,1,5,0,0,0
"set1.prec:2903.1-2931.7",,3,4,15,32,3,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.0078551,3,4,15,32,3,4,0,0,0
"set1.prec:2932.1-2963.7",,2,7,16,28,2,7,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00743797,2,7,16,28,2,7,0,0,0
"set1.prec:2964.1-3016.7",,4,10,35,92,2,8,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00804423,4,8,26,76,2,6,0,0,0
"set1.prec:3017.1-3047.7",,3,5,17,40,3,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00746449,3,5,13,40,3,4,0,0,0
