"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"set3.scc:1.1-37.7",,4,5,23,72,3,4,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0097374,4,5,23,72,3,4,2,1,0
"set3.scc:38.1-110.7",,3,11,53,67,3,6,6,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0182083,3,11,53,67,3,6,6,1,0
"set3.scc:111.1-152.7",,3,6,27,45,3,5,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00864788,3,6,27,45,3,5,2,1,0
"set3.scc:153.1-238.7",,3,15,62,127,3,12,4,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0105932,3,15,62,127,3,12,4,1,0
"set3.scc:239.1-285.7",,3,6,32,50,3,3,3,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00957364,3,6,32,50,3,3,3,1,0
"set3.scc:286.1-394.7",,3,22,78,157,3,15,12,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0116515,3,22,78,157,3,15,12,1,0
"set3.scc:395.1-475.7",,3,15,57,113,3,12,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0112166,3,15,57,113,3,12,2,1,0
"set3.scc:476.1-528.7",,3,9,35,60,3,4,5,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0107335,3,9,35,60,3,4,5,1,0
"set3.scc:529.1-615.7",,3,15,63,149,3,11,7,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0118563,3,15,63,149,3,11,7,1,0
"set3.scc:616.1-733.7",,4,19,90,218,3,9,13,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0118487,4,19,90,218,3,9,13,1,0
"set3.scc:734.1-792.7",,4,9,41,84,3,4,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0109938,4,7,33,76,3,4,2,1,0
"set3.scc:793.1-846.7",,3,9,36,48,3,6,3,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00970226,3,9,36,48,3,6,3,1,0
"set3.scc:847.1-901.7",,4,7,39,56,3,4,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00983442,4,7,39,56,3,4,2,1,0
"set3.scc:902.1-1002.7",,3,21,71,180,3,18,5,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0110278,3,21,71,180,3,18,5,1,0
"set3.scc:1003.1-1066.7",,4,10,45,171,3,8,6,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0111414,4,10,45,171,3,8,6,1,0
"set3.scc:1067.1-1145.7",,3,12,58,88,3,7,5,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0120365,3,12,58,88,3,7,5,1,0
"set3.scc:1146.1-1225.7",,4,17,54,254,3,15,10,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0121284,4,17,54,254,3,15,10,1,0
"set3.scc:1226.1-1292.7",,3,12,46,110,3,10,5,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0102026,3,12,46,110,3,10,5,1,0
"set3.scc:1293.1-1390.7",,4,13,77,163,4,8,6,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0117633,4,13,77,163,4,8,6,1,0
