"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"set1.prec:1.1-56.7",,3,12,36,69,4,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00757803,3,10,29,61,4,4,0,0,0
"set1.prec:57.1-77.7",,3,4,8,26,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0165827,1,2,2,3,1,2,0,0,0
"set1.prec:78.1-102.7",,3,5,10,40,2,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00698233,3,5,10,40,2,5,0,0,0
"set1.prec:103.1-133.7",,2,6,16,24,2,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00774778,2,6,14,24,2,6,0,0,0
"set1.prec:134.1-165.7",,2,6,16,24,1,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00762859,2,4,9,16,1,4,0,0,0
"set1.prec:166.1-191.7",,2,5,12,18,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00678959,2,5,12,18,1,4,0,0,0
"set1.prec:192.1-222.7",,2,8,14,17,0,7,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00658344,2,8,14,17,1,7,0,0,0
"set1.prec:223.1-277.7",,3,12,34,52,1,10,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00758301,3,3,4,9,1,3,0,0,0
"set1.prec:278.1-301.7",,2,4,10,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00722999,2,4,10,16,2,4,0,0,0
"set1.prec:302.1-328.7",,2,6,12,18,1,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00683493,2,4,7,12,1,4,0,0,0
"set1.prec:329.1-364.7",,2,7,19,28,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00680978,2,5,12,20,1,3,0,0,0
"set1.prec:365.1-395.7",,2,8,14,21,1,7,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0078474,2,5,8,15,1,5,0,0,0
"set1.prec:396.1-428.7",,2,8,16,23,1,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00785215,2,8,16,23,1,6,0,0,0
"set1.prec:429.1-450.7",,3,4,8,32,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00683573,3,4,6,32,1,4,0,0,0
"set1.prec:451.1-584.7",,3,24,102,136,3,13,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0082821,3,10,39,65,3,10,0,0,0
"set1.prec:585.1-622.7",,3,8,21,48,2,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00780954,3,8,17,48,1,6,0,0,0
"set1.prec:623.1-649.7",,3,5,13,32,0,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00770819,3,5,10,32,1,4,0,0,0
"set1.prec:650.1-683.7",,3,6,19,40,1,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00679137,3,5,10,36,1,4,0,0,0
"set1.prec:684.1-772.7",,3,15,65,120,2,11,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00692082,3,15,60,120,2,11,0,0,0
"set1.prec:773.1-827.7",,3,12,35,77,2,10,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00741082,3,10,29,63,2,8,0,0,0
"set1.prec:828.1-860.7",,3,7,17,38,0,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00808978,3,7,17,38,1,5,0,0,0
"set1.prec:861.1-889.7",,2,7,13,21,0,7,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00673917,2,6,11,19,1,6,0,0,0
"set1.prec:890.1-939.7",,3,8,32,64,2,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00719362,3,8,32,64,2,6,0,0,0
"set1.prec:940.1-977.7",,2,7,21,28,1,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00751147,2,6,17,24,1,5,0,0,0
"set1.prec:978.1-1033.7",,3,9,37,72,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00850525,3,9,37,72,2,4,0,0,0
"set1.prec:1034.1-1094.7",,3,11,40,88,2,10,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00775799,3,11,40,88,2,10,0,0,0
"set1.prec:1095.1-1155.7",,3,11,41,54,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00803976,3,9,30,44,1,3,0,0,0
"set1.prec:1156.1-1228.7",,3,14,50,108,1,13,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0088261,3,11,37,84,1,10,0,0,0
"set1.prec:1229.1-1262.7",,2,7,17,28,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00691058,2,6,14,24,1,3,0,0,0
"set1.prec:1263.1-1319.7",,2,15,33,40,1,11,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00753735,2,12,27,33,1,8,0,0,0
"set1.prec:1320.1-1348.7",,2,5,14,20,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00771543,2,4,10,16,1,3,0,0,0
"set1.prec:1349.1-1405.7",,3,11,37,75,1,9,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00773795,3,10,31,67,1,8,0,0,0
"set1.prec:1406.1-1428.7",,2,5,9,16,0,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00631111,2,3,5,10,1,3,0,0,0
"set1.prec:1429.1-1455.7",,3,5,13,27,0,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00636601,3,4,8,21,1,3,0,0,0
"set1.prec:1456.1-1619.7",,3,30,125,192,1,23,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00865797,3,10,30,42,1,8,0,0,0
"set1.prec:1620.1-1706.7",,3,16,62,90,1,7,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00800059,3,10,34,54,1,5,0,0,0
"set1.prec:1707.1-1739.7",,3,6,18,44,1,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0072235,3,6,18,44,1,5,0,0,0
"set1.prec:1740.1-1853.7",,3,24,82,144,2,18,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00667086,3,21,69,126,2,15,0,0,0
"set1.prec:1854.1-1875.7",,3,5,8,32,0,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00728848,3,4,6,28,1,4,0,0,0
"set1.prec:1876.1-1899.7",,2,4,11,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00707865,2,4,10,16,2,4,0,0,0
"set1.prec:1900.1-1959.7",,3,12,39,64,0,8,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00782037,3,11,34,57,1,8,0,0,0
"set1.prec:1960.1-1983.7",,2,4,10,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00658248,2,4,9,16,2,4,0,0,0
"set1.prec:1984.1-2039.7",,4,12,36,138,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00848569,3,10,29,61,2,4,0,0,0
"set1.prec:2040.1-2079.7",,3,8,23,47,0,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0078844,3,7,21,43,1,5,0,0,0
"set1.prec:2080.1-2124.7",,3,8,28,45,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00746535,3,8,25,45,1,4,0,0,0
"set1.prec:2125.1-2192.7",,3,10,48,80,3,7,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00772729,3,9,43,72,3,7,0,0,0
"set1.prec:2193.1-2247.7",,2,12,33,48,1,9,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0085796,2,12,32,48,1,9,0,0,0
"set1.prec:2248.1-2292.7",,3,8,28,64,3,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00719905,2,8,27,32,3,4,0,0,0
"set1.prec:2293.1-2316.7",,3,4,10,32,3,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00785472,3,4,10,32,3,4,0,0,0
"set1.prec:2317.1-2340.7",,2,4,10,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00693389,2,4,10,16,2,4,0,0,0
"set1.prec:2341.1-2420.7",,3,13,58,80,1,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00890299,3,11,48,68,1,5,0,0,0
"set1.prec:2421.1-2473.7",,3,8,36,64,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00808691,3,6,17,48,2,4,0,0,0
"set1.prec:2474.1-2678.7",,4,28,168,424,1,23,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00942184,4,18,89,264,1,15,0,0,0
"set1.prec:2679.1-2699.7",,3,4,8,14,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00791557,3,3,5,10,1,3,0,0,0
"set1.prec:2700.1-2721.7",,3,4,9,24,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00760423,3,3,7,20,2,3,0,0,0
"set1.prec:2722.1-2873.7",,4,28,115,346,0,25,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00887057,4,20,62,262,1,20,0,0,0
"set1.prec:2874.1-2907.7",,3,6,18,48,1,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00718291,3,6,18,48,1,5,0,0,0
"set1.prec:2908.1-2936.7",,3,4,15,32,3,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00817812,3,4,15,32,3,4,0,0,0
"set1.prec:2937.1-2968.7",,2,7,16,28,2,7,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0078597,2,7,16,28,2,7,0,0,0
"set1.prec:2969.1-3021.7",,4,10,35,92,2,8,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00747239,4,8,26,76,2,6,0,0,0
"set1.prec:3022.1-3052.7",,3,5,17,40,3,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00745731,3,5,13,40,3,4,0,0,0
"set1.prec:3053.1-3080.7",,3,4,15,32,3,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00795422,3,4,15,32,3,4,0,0,0
"set1.prec:3081.1-3114.7",,4,6,19,64,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0077344,4,6,19,64,1,4,0,0,0
"set1.prec:3115.1-3142.7",,3,5,14,40,2,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0066076,3,5,12,40,2,5,0,0,0
"set1.prec:3143.1-3175.7",,4,6,18,48,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0073744,4,6,18,48,1,4,0,0,0
"set1.prec:3176.1-3248.7",,4,12,52,192,4,8,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00897455,4,7,29,112,4,6,0,0,0
"set1.prec:3249.1-3286.7",,3,8,21,44,1,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00740463,3,8,21,44,1,6,0,0,0
"set1.prec:3287.1-3310.7",,2,4,10,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00644513,2,4,10,16,2,4,0,0,0
