"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"set1.tele:1.1-56.7",,3,12,36,69,5,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00775536,3,12,36,69,5,4,0,0,0
"set1.tele:57.1-77.7",,3,4,8,26,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00820694,1,2,2,3,1,2,0,0,0
"set1.tele:78.1-102.7",,3,5,10,40,2,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00725523,3,5,10,40,2,5,0,0,0
"set1.tele:103.1-134.7",,2,6,16,24,3,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00727238,2,5,12,20,3,5,0,0,0
"set1.tele:135.1-166.7",,2,6,16,24,1,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00638451,2,4,9,16,1,4,0,0,0
"set1.tele:167.1-192.7",,2,5,12,18,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00815858,2,5,12,18,1,4,0,0,0
"set1.tele:193.1-223.7",,2,8,14,17,1,7,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00755901,2,8,14,17,1,7,0,0,0
"set1.tele:224.1-278.7",,3,12,34,52,1,10,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00712327,3,3,4,9,1,3,0,0,0
"set1.tele:279.1-302.7",,2,4,10,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00681072,2,4,10,16,2,4,0,0,0
"set1.tele:303.1-329.7",,2,6,12,18,1,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00778923,2,4,7,12,1,4,0,0,0
"set1.tele:330.1-365.7",,2,7,19,28,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00766842,2,4,9,16,2,3,0,0,0
"set1.tele:366.1-396.7",,2,8,14,21,1,7,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00689273,2,5,8,15,1,5,0,0,0
"set1.tele:397.1-429.7",,2,8,16,23,1,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00681147,2,6,11,17,1,4,0,0,0
"set1.tele:430.1-451.7",,3,4,8,32,3,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00757512,3,4,8,32,3,4,0,0,0
"set1.tele:452.1-585.7",,3,24,102,136,3,13,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00922289,3,10,39,65,3,10,0,0,0
"set1.tele:586.1-623.7",,3,8,21,48,2,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00721261,3,8,17,48,1,6,0,0,0
"set1.tele:624.1-649.7",,3,5,13,32,4,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00697212,3,5,10,32,1,4,0,0,0
"set1.tele:650.1-683.7",,3,6,19,40,1,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00780189,3,5,11,36,1,4,0,0,0
"set1.tele:684.1-772.7",,3,15,65,120,5,11,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00870431,3,13,51,104,5,10,0,0,0
"set1.tele:773.1-828.7",,3,12,35,77,4,10,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0075268,3,8,23,51,4,6,0,0,0
"set1.tele:829.1-861.7",,3,7,17,38,1,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00679821,3,7,17,38,1,5,0,0,0
"set1.tele:862.1-890.7",,2,7,13,21,0,7,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00935057,2,6,11,19,1,6,0,0,0
"set1.tele:891.1-940.7",,3,8,32,64,2,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0080104,3,8,32,64,2,6,0,0,0
"set1.tele:941.1-978.7",,2,7,21,28,1,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00699452,2,6,17,24,1,5,0,0,0
"set1.tele:979.1-1034.7",,3,9,37,72,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0080409,3,9,37,72,2,4,0,0,0
"set1.tele:1035.1-1095.7",,3,11,40,88,2,10,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00864758,3,11,40,88,2,10,0,0,0
"set1.tele:1096.1-1155.7",,3,11,41,54,4,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00741559,3,8,30,42,4,3,0,0,0
"set1.tele:1156.1-1228.7",,3,14,50,108,1,13,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00738484,3,11,37,84,1,10,0,0,0
"set1.tele:1229.1-1262.7",,2,7,17,28,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00786291,2,5,11,20,2,3,0,0,0
"set1.tele:1263.1-1319.7",,2,15,33,40,2,11,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00855136,2,12,27,33,2,8,0,0,0
"set1.tele:1320.1-1348.7",,2,5,14,20,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00663512,2,4,10,16,1,3,0,0,0
"set1.tele:1349.1-1405.7",,3,11,37,75,1,9,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00763707,3,10,31,67,1,8,0,0,0
"set1.tele:1406.1-1428.7",,2,5,9,16,0,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0076636,2,3,5,10,1,3,0,0,0
"set1.tele:1429.1-1455.7",,3,5,13,27,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00738715,3,4,8,21,1,3,0,0,0
"set1.tele:1456.1-1619.7",,3,30,125,192,2,23,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00765703,3,10,30,42,2,8,0,0,0
"set1.tele:1620.1-1706.7",,3,16,62,90,1,7,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0075851,3,10,34,54,1,5,0,0,0
"set1.tele:1707.1-1739.7",,3,6,18,44,1,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00845869,3,6,18,44,1,5,0,0,0
"set1.tele:1740.1-1853.7",,3,24,82,144,8,18,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00911258,3,20,69,121,8,14,0,0,0
"set1.tele:1854.1-1875.7",,3,5,8,32,1,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00663351,3,4,6,28,1,4,0,0,0
"set1.tele:1876.1-1900.7",,2,4,11,16,3,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00657876,2,4,11,16,3,4,0,0,0
"set1.tele:1901.1-1960.7",,3,12,39,64,1,8,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0088239,3,11,34,57,1,8,0,0,0
"set1.tele:1961.1-1984.7",,2,4,10,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00673137,2,4,9,16,2,4,0,0,0
"set1.tele:1985.1-2040.7",,4,12,36,138,5,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00768518,3,12,36,69,5,4,0,0,0
"set1.tele:2041.1-2080.7",,3,8,23,47,1,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00680298,3,7,21,43,1,5,0,0,0
"set1.tele:2081.1-2125.7",,3,8,28,45,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00852904,3,8,25,45,1,4,0,0,0
"set1.tele:2126.1-2193.7",,3,10,48,80,3,7,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00764298,3,9,43,72,3,7,0,0,0
"set1.tele:2194.1-2248.7",,2,12,33,48,2,9,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00737824,2,12,32,48,1,9,0,0,0
"set1.tele:2249.1-2294.7",,3,8,28,64,5,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00760016,2,7,24,28,5,4,0,0,0
"set1.tele:2295.1-2318.7",,3,4,10,32,3,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00731227,3,4,10,32,3,4,0,0,0
"set1.tele:2319.1-2342.7",,2,4,10,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00721339,2,4,10,16,2,4,0,0,0
"set1.tele:2343.1-2422.7",,3,13,58,80,1,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00785634,3,11,48,68,1,5,0,0,0
"set1.tele:2423.1-2475.7",,3,8,36,64,4,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00804083,3,6,18,48,4,4,0,0,0
"set1.tele:2476.1-2680.7",,4,28,168,424,1,23,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00982508,4,18,89,264,1,15,0,0,0
"set1.tele:2681.1-2701.7",,3,4,8,14,1,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00668422,3,3,5,10,1,3,0,0,0
"set1.tele:2702.1-2723.7",,3,4,9,24,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00645786,3,3,7,20,2,3,0,0,0
"set1.tele:2724.1-2875.7",,4,28,115,346,1,25,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00960772,4,20,62,262,1,20,0,0,0
