"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"set3.cycles:1.1-37.7",,4,5,23,72,3,4,2,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00993071,4,5,23,72,3,4,2,1,0
"set3.cycles:38.1-110.7",,3,11,53,67,2,6,6,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0108879,3,11,52,66,2,6,5,1,0
"set3.cycles:111.1-152.7",,3,6,27,45,3,5,2,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00956509,3,6,27,45,3,5,2,1,0
"set3.cycles:153.1-238.7",,3,15,62,127,2,12,4,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0105703,3,15,62,127,2,12,4,1,0
"set3.cycles:239.1-285.7",,3,6,32,50,3,3,3,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00998819,3,6,32,50,3,3,3,1,0
"set3.cycles:286.1-394.7",,3,22,78,157,3,15,12,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0117961,3,22,78,157,3,15,12,1,0
"set3.cycles:395.1-475.7",,3,15,57,113,2,12,2,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0113248,3,15,57,113,2,12,2,1,0
"set3.cycles:476.1-528.7",,3,9,35,60,3,4,5,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00920515,3,9,35,60,3,4,5,1,0
"set3.cycles:529.1-615.7",,3,15,63,149,2,11,7,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0102453,3,15,54,137,2,11,7,1,0
"set3.cycles:616.1-733.7",,4,19,90,218,3,9,13,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0129801,4,19,90,218,3,9,13,1,0
"set3.cycles:734.1-792.7",,4,9,41,84,2,4,2,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0101231,4,9,37,84,2,4,2,1,0
"set3.cycles:793.1-846.7",,3,9,36,48,2,6,3,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00901166,3,9,35,47,2,6,3,1,0
"set3.cycles:847.1-901.7",,4,7,39,56,3,4,2,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00858819,4,7,39,56,3,4,2,1,0
"set3.cycles:902.1-1002.7",,3,21,71,180,1,18,5,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0128414,3,21,70,176,1,18,5,1,0
"set3.cycles:1003.1-1066.7",,4,10,45,171,3,8,6,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00998694,4,10,45,171,3,8,6,1,0
"set3.cycles:1067.1-1145.7",,3,12,58,88,3,7,5,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0104725,3,12,58,88,3,7,5,1,0
"set3.cycles:1146.1-1225.7",,4,17,54,254,3,15,10,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0108259,4,17,54,254,3,15,10,1,0
